,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년03월_계_총인구수,"9,598,484","147,296","124,552","229,013","291,906","343,392","338,875","392,041","434,826","304,078","321,717","518,278","475,501","308,482","368,518","452,677","577,320","401,074","229,844","377,590","388,730","490,352","421,315","534,796","661,411","464,900"
2021년03월_계_연령구간인구수,"9,598,484","147,296","124,552","229,013","291,906","343,392","338,875","392,041","434,826","304,078","321,717","518,278","475,501","308,482","368,518","452,677","577,320","401,074","229,844","377,590","388,730","490,352","421,315","534,796","661,411","464,900"
2021년03월_계_0~9세,"611,000","7,316","6,611","13,360","19,957","18,882","20,219","22,413","28,774","15,190","18,135","32,334","28,823","19,749","24,310","31,335","38,695","27,288","12,163","25,520","24,092","21,474","33,159","36,181","49,503","35,517"
2021년03월_계_10~19세,"773,744","10,946","6,729","15,377","19,669","25,541","23,534","26,288","37,077","21,580","25,215","52,292","38,107","23,426","28,185","50,310","44,259","29,683","14,487","24,119","27,513","28,243","45,074","58,488","58,349","39,253"
2021년03월_계_20~29세,"1,450,425","23,275","18,450","33,787","44,669","62,496","56,228","55,938","66,403","42,420","42,807","72,260","66,590","49,827","61,564","59,186","86,830","55,256","37,102","59,268","65,810","108,851","54,237","72,476","92,926","61,769"
2021년03월_계_30~39세,"1,460,545","19,740","19,874","38,352","48,250","55,432","49,544","57,444","59,486","38,018","40,154","63,950","67,654","44,608","63,777","57,356","98,376","62,245","35,355","69,225","61,730","85,950","62,192","80,503","108,429","72,901"
2021년03월_계_40~49세,"1,511,822","21,775","17,846","35,320","44,575","51,748","49,837","57,143","69,264","45,863","47,634","84,739","75,494","46,700","60,346","78,407","90,440","62,455","32,310","56,028","58,336","67,362","76,596","98,473","108,182","74,949"
2021년03월_계_50~59세,"1,513,916","25,166","20,502","36,849","47,116","54,118","52,649","68,812","69,159","52,171","56,449","87,343","76,783","48,922","54,141","76,280","85,259","62,775","39,782","56,553","58,038","67,516","63,204","80,282","101,730","72,317"
2021년03월_계_60~69세,"1,255,009","20,042","17,835","28,995","37,111","42,914","46,347","59,107","55,316","46,133","50,250","68,778","64,926","38,675","39,735","58,632","77,203","56,508","33,446","47,104","49,499","59,281","47,753","59,810","84,924","64,685"
2021년03월_계_70~79세,"698,222","12,075","10,681","16,839","20,641","22,054","27,568","31,270","33,014","29,570","27,535","37,315","38,789","23,739","23,754","28,626","38,774","31,733","17,820","26,887","29,747","36,688","27,350","34,272","40,569","30,912"
2021년03월_계_80~89세,"280,381","5,949","4,936","8,598","8,680","8,954","11,457","11,904","14,283","11,672","11,779","16,661","16,047","11,201","11,059","10,831","14,958","11,587","6,499","11,352","12,024","13,258","9,860","11,959","14,223","10,650"
2021년03월_계_90~99세,"40,690",946,899,"1,425","1,137","1,182","1,417","1,614","1,949","1,414","1,640","2,492","2,007","1,526","1,542","1,649","2,437","1,485",836,"1,468","1,763","1,625","1,751","2,196","2,459","1,831"
2021년03월_계_100세 이상,"2,730",66,189,111,101,71,75,108,101,47,119,114,281,109,105,65,89,59,44,66,178,104,139,156,117,116
2021년03월_남_총인구수,"4,667,524","71,644","60,851","110,181","142,506","165,747","167,895","193,752","209,902","148,306","156,810","249,942","227,910","147,655","173,624","222,010","278,444","198,034","116,322","186,692","188,045","246,097","201,619","255,880","319,047","228,609"
2021년03월_남_연령구간인구수,"4,667,524","71,644","60,851","110,181","142,506","165,747","167,895","193,752","209,902","148,306","156,810","249,942","227,910","147,655","173,624","222,010","278,444","198,034","116,322","186,692","188,045","246,097","201,619","255,880","319,047","228,609"
2021년03월_남_0~9세,"313,593","3,674","3,418","6,846","10,183","9,623","10,383","11,585","14,694","7,873","9,398","16,637","14,790","10,026","12,371","16,091","19,738","13,907","6,257","13,039","12,309","11,001","17,125","18,676","25,517","18,432"
2021년03월_남_10~19세,"396,480","5,437","3,341","7,797","9,820","12,965","11,894","13,345","18,814","11,070","12,983","27,121","19,473","11,713","14,206","26,228","22,610","15,298","7,292","12,540","14,104","14,443","22,966","30,494","29,865","20,661"
