카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년04월_계_총인구수,"115,780","33,752","23,739","31,519","4,327","5,494","3,506","10,154","3,289"
2020년04월_계_연령구간인구수,"115,780","33,752","23,739","31,519","4,327","5,494","3,506","10,154","3,289"
2020년04월_계_0~9세,"10,055","2,450","1,948","4,738",87,147,75,376,234
2020년04월_계_10~19세,"11,684","3,498","3,145","3,650",133,177,137,764,180
2020년04월_계_20~29세,"12,498","3,969","2,881","3,219",323,458,268,"1,134",246
2020년04월_계_30~39세,"15,945","3,627","2,510","7,771",293,383,239,790,332
2020년04월_계_40~49세,"20,701","5,638","5,091","6,720",408,538,374,"1,507",425
2020년04월_계_50~59세,"19,361","6,281","4,549","2,826",867,"1,195",753,"2,300",590
2020년04월_계_60~69세,"13,051","4,218","2,020","1,472",990,"1,296",833,"1,625",597
2020년04월_계_70~79세,"7,547","2,408","1,025",719,708,757,517,"1,025",388
2020년04월_계_80~89세,"4,292","1,449",506,353,452,458,257,560,257
2020년04월_계_90~99세,604,192,63,46,62,85,50,69,37
2020년04월_계_100세 이상,42,22,1,5,4,0,3,4,3
2020년04월_남_총인구수,"60,414","16,924","12,433","17,011","2,317","2,823","1,924","5,252","1,730"
2020년04월_남_연령구간인구수,"60,414","16,924","12,433","17,011","2,317","2,823","1,924","5,252","1,730"
2020년04월_남_0~9세,"5,178","1,256","1,014","2,434",38,77,38,190,131
2020년04월_남_10~19세,"6,188","1,815","1,674","1,933",75,99,70,415,107
2020년04월_남_20~29세,"6,991","2,272","1,672","1,590",190,277,169,671,150
2020년04월_남_30~39세,"8,757","1,921","1,281","4,358",182,229,153,462,171
2020년04월_남_40~49세,"11,206","2,849","2,581","3,864",277,342,239,801,253
2020년04월_남_50~59세,"10,548","3,222","2,534","1,681",520,599,438,"1,229",325
2020년04월_남_60~69세,"6,768","2,102","1,056",718,565,698,458,848,323
2020년04월_남_70~79세,"3,223",954,437,313,302,361,252,433,171
2020년04월_남_80~89세,"1,411",479,168,107,156,133,90,188,90
2020년04월_남_90~99세,137,51,16,12,12,8,16,14,8
2020년04월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년04월_여_총인구수,"55,366","16,828","11,306","14,508","2,010","2,671","1,582","4,902","1,559"
2020년04월_여_연령구간인구수,"55,366","16,828","11,306","14,508","2,010","2,671","1,582","4,902","1,559"
2020년04월_여_0~9세,"4,877","1,194",934,"2,304",49,70,37,186,103
2020년04월_여_10~19세,"5,496","1,683","1,471","1,717",58,78,67,349,73
2020년04월_여_20~29세,"5,507","1,697","1,209","1,629",133,181,99,463,96
2020년04월_여_30~39세,"7,188","1,706","1,229","3,413",111,154,86,328,161
2020년04월_여_40~49세,"9,495","2,789","2,510","2,856",131,196,135,706,172
2020년04월_여_50~59세,"8,813","3,059","2,015","1,145",347,596,315,"1,071",265
2020년04월_여_60~69세,"6,283","2,116",964,754,425,598,375,777,274
2020년04월_여_70~79세,"4,324","1,454",588,406,406,396,265,592,217
2020년04월_여_80~89세,"2,881",970,338,246,296,325,167,372,167
2020년04월_여_90~99세,467,141,47,34,50,77,34,55,29
2020년04월_여_100세 이상,35,19,1,4,4,0,2,3,2
