카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020년08월_계_총인구수,"83,006","10,663","8,816","5,616","33,545","3,128","6,409","4,744","2,037","5,047","3,001"
2020년08월_계_연령구간인구수,"83,006","10,663","8,816","5,616","33,545","3,128","6,409","4,744","2,037","5,047","3,001"
2020년08월_계_0~9세,"7,329",739,816,183,"4,931",45,212,122,60,128,93
2020년08월_계_10~19세,"8,968","1,117",704,318,"5,456",151,452,221,92,278,179
2020년08월_계_20~29세,"8,407","1,295",681,510,"3,867",238,707,329,159,372,249
2020년08월_계_30~39세,"9,567",987,980,364,"5,841",144,455,260,132,240,164
2020년08월_계_40~49세,"13,002","1,535","1,186",608,"7,236",273,712,445,204,511,292
2020년08월_계_50~59세,"12,574","1,844","1,335","1,171","3,724",601,"1,154",914,359,879,593
2020년08월_계_60~69세,"10,562","1,551","1,323","1,139","1,551",598,"1,231",998,482,"1,047",642
2020년08월_계_70~79세,"7,838","1,061","1,106",816,636,591,879,902,364,979,504
2020년08월_계_80~89세,"4,142",483,598,429,265,432,516,477,146,541,255
2020년08월_계_90~99세,581,51,85,72,36,54,75,75,36,70,27
2020년08월_계_100세 이상,36,0,2,6,2,1,16,1,3,2,3
2020년08월_남_총인구수,"41,659","5,314","4,441","2,941","16,565","1,551","3,299","2,389","1,052","2,554","1,553"
2020년08월_남_연령구간인구수,"41,659","5,314","4,441","2,941","16,565","1,551","3,299","2,389","1,052","2,554","1,553"
2020년08월_남_0~9세,"3,756",381,430,93,"2,506",18,112,68,35,71,42
2020년08월_남_10~19세,"4,586",586,354,152,"2,805",85,226,98,47,145,88
2020년08월_남_20~29세,"4,531",740,373,289,"1,910",136,422,190,90,245,136
2020년08월_남_30~39세,"4,895",520,521,218,"2,764",104,262,170,85,141,110
2020년08월_남_40~49세,"6,910",780,697,364,"3,544",167,424,301,130,319,184
2020년08월_남_50~59세,"6,888",967,743,682,"1,963",349,639,516,193,483,353
2020년08월_남_60~69세,"5,275",744,641,612,730,302,648,497,248,519,334
2020년08월_남_70~79세,"3,475",441,495,395,266,258,396,387,163,450,224
2020년08월_남_80~89세,"1,243",146,171,124,72,121,160,148,55,172,74
2020년08월_남_90~99세,96,9,16,11,4,11,10,14,6,9,6
2020년08월_남_100세 이상,4,0,0,1,1,0,0,0,0,0,2
2020년08월_여_총인구수,"41,347","5,349","4,375","2,675","16,980","1,577","3,110","2,355",985,"2,493","1,448"
2020년08월_여_연령구간인구수,"41,347","5,349","4,375","2,675","16,980","1,577","3,110","2,355",985,"2,493","1,448"
2020년08월_여_0~9세,"3,573",358,386,90,"2,425",27,100,54,25,57,51
2020년08월_여_10~19세,"4,382",531,350,166,"2,651",66,226,123,45,133,91
2020년08월_여_20~29세,"3,876",555,308,221,"1,957",102,285,139,69,127,113
2020년08월_여_30~39세,"4,672",467,459,146,"3,077",40,193,90,47,99,54
2020년08월_여_40~49세,"6,092",755,489,244,"3,692",106,288,144,74,192,108
2020년08월_여_50~59세,"5,686",877,592,489,"1,761",252,515,398,166,396,240
2020년08월_여_60~69세,"5,287",807,682,527,821,296,583,501,234,528,308
2020년08월_여_70~79세,"4,363",620,611,421,370,333,483,515,201,529,280
2020년08월_여_80~89세,"2,899",337,427,305,193,311,356,329,91,369,181
2020년08월_여_90~99세,485,42,69,61,32,43,65,61,30,61,21
2020년08월_여_100세 이상,32,0,2,5,1,1,16,1,3,2,1
