,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020년10월_계_총인구수,"1,452,994","102,151","297,527","215,072","431,684","406,560"
2020년10월_계_연령구간인구수,"1,452,994","102,151","297,527","215,072","431,684","406,560"
2020년10월_계_0~9세,"120,817","7,078","22,020","17,321","33,910","40,488"
2020년10월_계_10~19세,"158,158","7,286","31,907","22,909","43,277","52,779"
2020년10월_계_20~29세,"209,839","14,714","45,366","28,194","62,802","58,763"
2020년10월_계_30~39세,"187,088","13,264","37,129","25,692","55,884","55,119"
2020년10월_계_40~49세,"242,147","13,930","49,152","34,120","67,845","77,100"
2020년10월_계_50~59세,"233,829","15,630","49,530","33,116","72,033","63,520"
2020년10월_계_60~69세,"162,498","14,658","34,078","27,946","52,950","32,866"
2020년10월_계_70~79세,"92,935","10,247","19,125","17,338","29,217","17,008"
2020년10월_계_80~89세,"39,465","4,639","7,951","7,224","11,955","7,696"
2020년10월_계_90~99세,"5,797",638,"1,194","1,118","1,691","1,156"
2020년10월_계_100세 이상,421,67,75,94,120,65
2020년10월_남_총인구수,"718,912","50,495","145,861","103,526","214,238","204,792"
2020년10월_남_연령구간인구수,"718,912","50,495","145,861","103,526","214,238","204,792"
2020년10월_남_0~9세,"62,065","3,686","11,452","8,859","17,278","20,790"
2020년10월_남_10~19세,"82,004","3,794","16,743","11,499","22,830","27,138"
2020년10월_남_20~29세,"109,569","7,524","23,282","14,512","33,046","31,205"
2020년10월_남_30~39세,"95,488","6,930","18,804","12,737","29,028","27,989"
2020년10월_남_40~49세,"120,124","7,278","23,657","16,791","33,992","38,406"
2020년10월_남_50~59세,"115,928","7,703","24,295","15,667","35,203","33,060"
2020년10월_남_60~69세,"77,439","6,923","16,021","12,817","25,248","16,430"
2020년10월_남_70~79세,"41,161","4,531","8,509","7,755","13,062","7,304"
2020년10월_남_80~89세,"13,850","1,937","2,833","2,626","4,197","2,257"
2020년10월_남_90~99세,"1,229",174,255,250,342,208
2020년10월_남_100세 이상,55,15,10,13,12,5
2020년10월_여_총인구수,"734,082","51,656","151,666","111,546","217,446","201,768"
2020년10월_여_연령구간인구수,"734,082","51,656","151,666","111,546","217,446","201,768"
2020년10월_여_0~9세,"58,752","3,392","10,568","8,462","16,632","19,698"
2020년10월_여_10~19세,"76,154","3,492","15,164","11,410","20,447","25,641"
2020년10월_여_20~29세,"100,270","7,190","22,084","13,682","29,756","27,558"
2020년10월_여_30~39세,"91,600","6,334","18,325","12,955","26,856","27,130"
2020년10월_여_40~49세,"122,023","6,652","25,495","17,329","33,853","38,694"
2020년10월_여_50~59세,"117,901","7,927","25,235","17,449","36,830","30,460"
2020년10월_여_60~69세,"85,059","7,735","18,057","15,129","27,702","16,436"
2020년10월_여_70~79세,"51,774","5,716","10,616","9,583","16,155","9,704"
2020년10월_여_80~89세,"25,615","2,702","5,118","4,598","7,758","5,439"
2020년10월_여_90~99세,"4,568",464,939,868,"1,349",948
2020년10월_여_100세 이상,366,52,65,81,108,60
