카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년03월_남_총인구수,"204,435","5,746","3,369","8,127","2,429","16,723","12,775","5,973","8,452","3,855","13,081","22,178","10,938","15,798","38,823","11,881","1,102","1,016","2,247","1,155","1,041","17,726"
2020년03월_남_연령구간인구수,"204,435","5,746","3,369","8,127","2,429","16,723","12,775","5,973","8,452","3,855","13,081","22,178","10,938","15,798","38,823","11,881","1,102","1,016","2,247","1,155","1,041","17,726"
2020년03월_남_0~9세,"21,734",405,186,833,197,"2,144","1,056",398,683,340,"1,010","2,095","1,193","1,687","5,689","1,669",25,30,76,23,19,"1,976"
2020년03월_남_10~19세,"27,677",660,209,959,229,"1,836","1,104",665,"1,121",426,"1,809","3,078","1,646","2,173","6,871","1,656",71,45,73,68,53,"2,925"
2020년03월_남_20~29세,"30,352",963,496,"1,209",330,"2,132","1,986","1,085","1,329",516,"2,560","4,191","1,612","2,437","4,766","1,430",104,108,260,104,82,"2,652"
2020년03월_남_30~39세,"28,352",669,561,"1,191",328,"2,948","2,041",746,968,499,"1,531","3,067","1,349","2,132","5,160","1,860",68,103,302,95,81,"2,653"
2020년03월_남_40~49세,"38,759","1,008",480,"1,455",402,"3,233","1,997",881,"1,505",772,"1,998","3,902","2,278","2,957","8,860","2,493",114,117,337,126,158,"3,686"
2020년03월_남_50~59세,"32,620",978,558,"1,252",403,"2,253","2,320","1,176","1,593",746,"2,587","3,889","1,755","2,763","4,954","1,572",240,207,423,257,190,"2,504"
2020년03월_남_60~69세,"15,380",596,422,667,280,"1,391","1,473",681,806,331,"1,080","1,305",689,995,"1,685",870,234,190,416,242,195,832
2020년03월_남_70~79세,"7,156",339,344,426,204,604,603,258,336,167,359,476,335,483,669,254,167,164,264,155,160,389
2020년03월_남_80~89세,"2,190",117,104,123,51,166,182,76,101,53,133,156,72,155,155,70,74,48,82,78,93,101
2020년03월_남_90~99세,209,11,9,12,5,15,13,7,10,5,14,18,8,16,13,7,5,3,14,6,10,8
2020년03월_남_100세 이상,6,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0
2020년03월_여_총인구수,"201,534","5,634","3,340","8,009","2,405","15,949","12,424","5,752","8,188","3,487","13,319","21,869","10,464","16,318","39,753","11,494","1,038",955,"1,809","1,120","1,051","17,156"
2020년03월_여_연령구간인구수,"201,534","5,634","3,340","8,009","2,405","15,949","12,424","5,752","8,188","3,487","13,319","21,869","10,464","16,318","39,753","11,494","1,038",955,"1,809","1,120","1,051","17,156"
2020년03월_여_0~9세,"20,556",387,169,750,175,"1,972",985,387,615,356,977,"1,976","1,105","1,618","5,398","1,594",30,22,74,33,25,"1,908"
2020년03월_여_10~19세,"26,080",595,203,837,204,"1,808","1,033",592,"1,051",373,"1,784","2,881","1,564","2,020","6,710","1,492",47,45,76,51,40,"2,674"
2020년03월_여_20~29세,"27,030",788,465,"1,047",296,"1,798","1,762",920,"1,166",404,"2,319","3,655","1,352","2,349","4,476","1,360",78,76,164,65,73,"2,417"
2020년03월_여_30~39세,"27,810",601,391,"1,165",284,"2,748","1,661",608,917,447,"1,515","2,867","1,390","2,191","6,120","1,951",47,60,158,57,60,"2,572"
2020년03월_여_40~49세,"38,789",968,408,"1,363",342,"2,717","1,866",917,"1,556",651,"2,423","4,463","2,195","3,147","9,192","2,207",71,73,162,90,95,"3,883"
2020년03월_여_50~59세,"29,834",843,547,"1,210",406,"2,237","2,199","1,158","1,470",570,"2,677","3,613","1,439","2,647","4,379","1,551",153,137,254,155,139,"2,050"
2020년03월_여_60~69세,"15,582",710,513,769,332,"1,418","1,358",660,799,301,892,"1,208",746,"1,153","1,963",787,200,199,352,211,149,862
2020년03월_여_70~79세,"9,608",497,420,558,234,772,866,302,392,221,432,715,441,772,992,335,203,198,309,210,236,503
2020년03월_여_80~89세,"5,294",204,190,262,101,395,583,180,190,146,247,422,205,363,443,184,175,127,209,212,206,250
2020년03월_여_90~99세,893,38,28,43,26,79,109,28,29,17,52,67,24,55,76,29,32,16,49,34,26,36
2020년03월_여_100세 이상,58,3,6,5,5,5,2,0,3,1,1,2,3,3,4,4,2,2,2,2,2,1
