,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2020년09월_계_총인구수,"54,656","21,342","2,239","2,706","2,800","2,559","2,439","2,842","1,816","3,365","2,540","3,142","1,972","2,244","2,650"
2020년09월_계_연령구간인구수,"54,656","21,342","2,239","2,706","2,800","2,559","2,439","2,842","1,816","3,365","2,540","3,142","1,972","2,244","2,650"
2020년09월_계_0~9세,"2,739","1,836",58,81,89,68,63,86,47,80,74,84,45,58,70
2020년09월_계_10~19세,"4,187","2,595",106,102,212,124,151,115,54,157,108,152,74,108,129
2020년09월_계_20~29세,"4,349","2,389",141,176,165,139,170,146,76,196,164,210,120,137,120
2020년09월_계_30~39세,"3,945","2,162",125,146,139,140,129,141,96,162,161,176,113,121,134
2020년09월_계_40~49세,"6,248","3,190",190,255,245,211,249,238,157,303,257,307,175,216,255
2020년09월_계_50~59세,"9,157","3,444",413,505,461,432,433,455,284,598,497,550,308,368,409
2020년09월_계_60~69세,"9,591","2,754",471,543,534,541,445,633,417,679,519,662,423,438,532
2020년09월_계_70~79세,"8,386","1,815",412,524,592,514,480,608,338,677,464,552,399,444,567
2020년09월_계_80~89세,"5,226",977,279,321,325,344,279,369,307,441,260,389,269,294,372
2020년09월_계_90~99세,791,172,43,52,37,44,39,48,39,66,35,55,46,57,58
2020년09월_계_100세 이상,37,8,1,1,1,2,1,3,1,6,1,5,0,3,4
2020년09월_남_총인구수,"26,989","10,535","1,148","1,371","1,385","1,262","1,174","1,385",894,"1,661","1,289","1,524",997,"1,082","1,282"
2020년09월_남_연령구간인구수,"26,989","10,535","1,148","1,371","1,385","1,262","1,174","1,385",894,"1,661","1,289","1,524",997,"1,082","1,282"
2020년09월_남_0~9세,"1,440",956,27,40,47,42,38,48,21,46,45,42,20,31,37
2020년09월_남_10~19세,"2,269","1,399",59,60,130,59,87,51,35,86,52,73,51,50,77
2020년09월_남_20~29세,"2,462","1,309",93,102,99,81,91,81,48,117,95,121,73,76,76
2020년09월_남_30~39세,"2,128","1,072",79,86,78,86,71,85,58,99,96,100,66,68,84
2020년09월_남_40~49세,"3,565","1,620",126,162,153,127,143,161,104,192,178,180,121,136,162
2020년09월_남_50~59세,"4,989","1,706",248,305,257,257,246,260,177,326,272,298,173,210,254
2020년09월_남_60~69세,"4,740","1,312",253,272,261,256,216,307,202,357,269,338,225,225,247
2020년09월_남_70~79세,"3,584",784,183,225,239,233,196,280,143,282,195,228,178,190,228
2020년09월_남_80~89세,"1,670",346,76,109,114,109,77,105,96,141,82,137,83,88,107
2020년09월_남_90~99세,141,31,4,10,7,12,9,7,10,14,5,7,7,8,10
2020년09월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년09월_여_총인구수,"27,667","10,807","1,091","1,335","1,415","1,297","1,265","1,457",922,"1,704","1,251","1,618",975,"1,162","1,368"
2020년09월_여_연령구간인구수,"27,667","10,807","1,091","1,335","1,415","1,297","1,265","1,457",922,"1,704","1,251","1,618",975,"1,162","1,368"
2020년09월_여_0~9세,"1,299",880,31,41,42,26,25,38,26,34,29,42,25,27,33
2020년09월_여_10~19세,"1,918","1,196",47,42,82,65,64,64,19,71,56,79,23,58,52
2020년09월_여_20~29세,"1,887","1,080",48,74,66,58,79,65,28,79,69,89,47,61,44
2020년09월_여_30~39세,"1,817","1,090",46,60,61,54,58,56,38,63,65,76,47,53,50
2020년09월_여_40~49세,"2,683","1,570",64,93,92,84,106,77,53,111,79,127,54,80,93
2020년09월_여_50~59세,"4,168","1,738",165,200,204,175,187,195,107,272,225,252,135,158,155
2020년09월_여_60~69세,"4,851","1,442",218,271,273,285,229,326,215,322,250,324,198,213,285
2020년09월_여_70~79세,"4,802","1,031",229,299,353,281,284,328,195,395,269,324,221,254,339
2020년09월_여_80~89세,"3,556",631,203,212,211,235,202,264,211,300,178,252,186,206,265
2020년09월_여_90~99세,650,141,39,42,30,32,30,41,29,52,30,48,39,49,48
2020년09월_여_100세 이상,36,8,1,1,1,2,1,3,1,5,1,5,0,3,4
