카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2020년05월_계_총인구수,"275,902","33,483","54,215","16,261","27,800","17,493","19,526","22,569","17,203","21,311","20,442","25,599"
2020년05월_계_연령구간인구수,"275,902","33,483","54,215","16,261","27,800","17,493","19,526","22,569","17,203","21,311","20,442","25,599"
2020년05월_계_0~9세,"21,805","2,073","4,982",760,"2,435",888,"1,279","2,116","1,168","1,960","2,295","1,849"
2020년05월_계_10~19세,"27,437","2,760","6,299",926,"2,857","1,232","1,557","2,265","1,711","3,229","1,766","2,835"
2020년05월_계_20~29세,"38,552","5,307","7,418","2,489","3,893","2,731","2,816","2,845","2,182","2,572","2,654","3,645"
2020년05월_계_30~39세,"39,338","4,667","7,471","2,199","3,720","2,364","3,317","3,911","2,260","2,285","3,800","3,344"
2020년05월_계_40~49세,"45,402","5,092","9,349","2,153","4,515","2,622","2,898","3,971","2,825","4,285","3,248","4,444"
2020년05월_계_50~59세,"48,412","6,546","9,447","3,166","4,869","3,550","3,237","3,415","3,016","3,539","3,238","4,389"
2020년05월_계_60~69세,"31,634","4,335","5,606","2,567","3,368","2,552","2,415","2,197","2,010","1,837","2,116","2,631"
2020년05월_계_70~79세,"14,785","1,817","2,424","1,331","1,349","1,094","1,243","1,121","1,184",938,899,"1,385"
2020년05월_계_80~89세,"7,327",748,"1,029",573,676,403,659,646,751,586,354,902
2020년05월_계_90~99세,"1,137",128,176,89,115,49,99,82,92,77,67,163
2020년05월_계_100세 이상,73,10,14,8,3,8,6,0,4,3,5,12
2020년05월_남_총인구수,"137,001","17,620","26,968","8,107","13,498","9,098","9,271","11,021","8,262","10,403","10,296","12,457"
2020년05월_남_연령구간인구수,"137,001","17,620","26,968","8,107","13,498","9,098","9,271","11,021","8,262","10,403","10,296","12,457"
2020년05월_남_0~9세,"11,174","1,072","2,576",396,"1,240",479,649,"1,067",551,"1,049","1,136",959
2020년05월_남_10~19세,"14,104","1,427","3,228",477,"1,476",648,795,"1,178",886,"1,620",918,"1,451"
2020년05월_남_20~29세,"20,151","2,946","3,820","1,330","2,029","1,440","1,405","1,500","1,125","1,366","1,347","1,843"
2020년05월_남_30~39세,"20,368","2,664","3,784","1,262","1,783","1,333","1,710","1,954","1,150","1,067","1,977","1,684"
2020년05월_남_40~49세,"22,309","2,676","4,560","1,135","2,141","1,415","1,381","1,893","1,366","1,966","1,676","2,100"
2020년05월_남_50~59세,"23,741","3,419","4,616","1,493","2,268","1,829","1,484","1,641","1,463","1,761","1,561","2,206"
2020년05월_남_60~69세,"15,643","2,237","2,830","1,218","1,684","1,278","1,116","1,038",923,934,"1,088","1,297"
2020년05월_남_70~79세,"6,599",857,"1,148",601,602,525,485,472,471,398,451,589
2020년05월_남_80~89세,"2,583",284,354,175,246,137,221,253,290,212,125,286
2020년05월_남_90~99세,306,34,47,19,29,11,23,25,35,29,15,39
2020년05월_남_100세 이상,23,4,5,1,0,3,2,0,2,1,2,3
2020년05월_여_총인구수,"138,901","15,863","27,247","8,154","14,302","8,395","10,255","11,548","8,941","10,908","10,146","13,142"
2020년05월_여_연령구간인구수,"138,901","15,863","27,247","8,154","14,302","8,395","10,255","11,548","8,941","10,908","10,146","13,142"
2020년05월_여_0~9세,"10,631","1,001","2,406",364,"1,195",409,630,"1,049",617,911,"1,159",890
2020년05월_여_10~19세,"13,333","1,333","3,071",449,"1,381",584,762,"1,087",825,"1,609",848,"1,384"
2020년05월_여_20~29세,"18,401","2,361","3,598","1,159","1,864","1,291","1,411","1,345","1,057","1,206","1,307","1,802"
2020년05월_여_30~39세,"18,970","2,003","3,687",937,"1,937","1,031","1,607","1,957","1,110","1,218","1,823","1,660"
2020년05월_여_40~49세,"23,093","2,416","4,789","1,018","2,374","1,207","1,517","2,078","1,459","2,319","1,572","2,344"
2020년05월_여_50~59세,"24,671","3,127","4,831","1,673","2,601","1,721","1,753","1,774","1,553","1,778","1,677","2,183"
2020년05월_여_60~69세,"15,991","2,098","2,776","1,349","1,684","1,274","1,299","1,159","1,087",903,"1,028","1,334"
2020년05월_여_70~79세,"8,186",960,"1,276",730,747,569,758,649,713,540,448,796
2020년05월_여_80~89세,"4,744",464,675,398,430,266,438,393,461,374,229,616
2020년05월_여_90~99세,831,94,129,70,86,38,76,57,57,48,52,124
2020년05월_여_100세 이상,50,6,9,7,3,5,4,0,2,2,3,9
