카테고리,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020년03월_계_총인구수,"51,843,195","9,733,655","3,409,932","2,433,568","2,952,689","1,455,705","1,471,858","1,144,563","344,792","13,288,975","1,538,577","1,597,639","2,119,749","1,812,936","1,859,290","2,653,418","3,355,341","670,508"
2020년03월_계_연령구간인구수,"51,843,195","9,733,655","3,409,932","2,433,568","2,952,689","1,455,705","1,471,858","1,144,563","344,792","13,288,975","1,538,577","1,597,639","2,119,749","1,812,936","1,859,290","2,653,418","3,355,341","670,508"
2020년03월_계_0~9세,"4,119,475","655,134","240,857","185,945","238,763","124,957","119,952","102,979","47,449","1,175,669","108,429","127,815","179,194","134,584","137,229","197,251","281,435","61,833"
2020년03월_계_10~19세,"4,902,009","810,349","279,909","233,311","279,780","162,130","151,192","115,019","40,751","1,344,847","141,217","152,506","205,897","179,656","171,854","232,058","330,223","71,310"
2020년03월_계_20~29세,"6,799,238","1,461,212","435,280","322,594","405,826","207,787","212,258","147,434","36,373","1,779,533","179,347","198,733","243,505","212,222","202,245","289,348","383,661","81,880"
2020년03월_계_30~39세,"7,006,749","1,501,662","430,494","302,617","416,119","190,641","198,404","157,548","61,396","1,916,550","169,113","198,047","275,275","194,883","192,216","301,627","416,280","83,877"
2020년03월_계_40~49세,"8,375,429","1,558,128","516,889","390,628","489,213","244,621","241,550","190,195","65,983","2,296,447","227,123","243,255","329,148","273,525","264,233","389,278","542,296","112,917"
2020년03월_계_50~59세,"8,662,400","1,537,114","579,584","428,955","515,257","234,045","242,974","211,169","43,132","2,208,632","269,104","273,598","340,052","302,523","316,811","463,397","584,730","111,323"
2020년03월_계_60~69세,"6,426,006","1,205,699","513,485","313,213","347,493","156,074","171,435","137,496","28,002","1,435,865","228,447","211,370","265,905","246,072","260,605","391,301","438,001","75,543"
2020년03월_계_70~79세,"3,623,899","691,028","286,808","171,945","172,868","91,156","88,762","57,704","13,660","745,509","135,644","119,143","167,821","165,942","191,356","238,953","240,945","44,655"
2020년03월_계_80~89세,"1,667,665","266,097","110,254","74,745","74,768","38,293","39,389","21,847","6,894","332,678","68,707","63,866","98,464","89,805","106,614","131,466","120,699","23,079"
2020년03월_계_90~99세,"239,567","40,809","14,551","8,915","11,685","5,591","5,603","3,013","1,095","49,185","10,637","8,762","13,598","12,902","15,298","17,787","16,317","3,819"
2020년03월_계_100세 이상,"20,758","6,423","1,821",700,917,410,339,159,57,"4,060",809,544,890,822,829,952,754,272
2020년03월_남_총인구수,"25,858,743","4,742,217","1,672,252","1,202,273","1,479,839","720,460","735,179","588,127","171,951","6,684,759","773,983","809,369","1,080,705","901,252","933,896","1,336,289","1,689,137","337,055"
2020년03월_남_연령구간인구수,"25,858,743","4,742,217","1,672,252","1,202,273","1,479,839","720,460","735,179","588,127","171,951","6,684,759","773,983","809,369","1,080,705","901,252","933,896","1,336,289","1,689,137","337,055"
2020년03월_남_0~9세,"2,113,237","336,469","123,551","95,296","122,481","64,161","61,669","52,987","24,286","602,356","55,523","65,263","91,813","68,995","70,031","101,707","144,866","31,783"
2020년03월_남_10~19세,"2,538,510","415,728","144,939","122,210","143,995","84,260","78,321","60,699","20,459","692,468","73,634","79,495","106,905","93,186","89,391","122,401","173,123","37,296"
2020년03월_남_20~29세,"3,573,013","713,226","227,531","173,167","211,904","108,487","111,676","82,604","18,401","935,532","100,504","110,343","134,042","114,357","112,355","163,001","212,541","43,342"
2020년03월_남_30~39세,"3,604,008","751,137","219,981","156,595","214,926","96,986","103,050","83,321","29,894","985,199","88,434","104,568","147,824","100,439","101,265","160,653","217,165","42,571"
2020년03월_남_40~49세,"4,256,517","772,140","259,940","192,730","249,847","121,414","120,473","96,603","33,901","1,166,402","117,128","126,152","175,424","141,379","141,576","203,326","279,663","58,419"
