카테고리,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년09월_계_총인구수,"1,835,690","219,552","277,356","281,977","116,668","150,121","46,178","27,655","25,095","62,965","39,592","62,567","36,742","33,961","67,576","53,020","90,086","31,375","52,119","43,575","48,990","30,129","38,391"
2021년09월_계_연령구간인구수,"1,835,690","219,552","277,356","281,977","116,668","150,121","46,178","27,655","25,095","62,965","39,592","62,567","36,742","33,961","67,576","53,020","90,086","31,375","52,119","43,575","48,990","30,129","38,391"
2021년09월_계_0~9세,"125,935","16,750","19,863","22,842","10,016","12,780","2,242","1,010","1,048","2,463","1,580","3,322","1,862","1,585","3,689","3,246","8,175","1,243","3,668","2,542","2,971","1,582","1,456"
2021년09월_계_10~19세,"163,747","23,844","25,764","29,518","9,639","15,712","2,977","1,882","1,776","3,691","2,522","5,548","2,639","2,435","5,006","4,316","9,562","2,041","4,036","3,170","3,506","2,170","1,993"
2021년09월_계_20~29세,"194,942","26,532","32,972","36,969","12,235","19,400","4,539","2,196","1,830","3,932","2,787","6,644","2,887","2,717","5,419","4,904","9,349","2,334","4,707","3,924","3,655","2,432","2,578"
2021년09월_계_30~39세,"179,879","24,000","29,835","33,072","14,515","17,961","3,576","1,634","1,532","3,443","2,360","4,666","2,567","2,294","4,690","4,471","10,999","1,880","4,642","3,454","3,672","2,086","2,530"
2021년09월_계_40~49세,"253,304","36,291","40,834","42,632","16,699","23,067","5,135","2,909","2,705","6,022","3,965","7,964","3,872","3,573","7,707","7,250","14,275","3,305","6,235","5,268","6,020","3,426","4,150"
2021년09월_계_50~59세,"312,093","35,989","48,142","49,248","17,334","29,254","8,192","4,803","4,504","9,930","6,502","11,356","6,151","5,553","11,391","9,432","13,334","5,347","8,431","7,426","7,903","4,953","6,918"
2021년09월_계_60~69세,"282,701","29,844","42,104","36,182","16,828","18,021","8,688","5,222","4,856","12,982","7,740","10,062","6,725","6,422","12,649","8,455","11,480","6,154","8,620","7,596","8,724","5,462","7,885"
2021년09월_계_70~79세,"191,055","17,761","24,893","19,198","11,409","8,315","6,178","4,135","3,790","11,314","6,467","7,353","5,347","5,095","9,896","6,166","7,840","4,973","6,998","5,772","7,338","4,562","6,255"
