카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020년03월_계_총인구수,"175,731","15,125","7,488","13,872","16,963","28,591","20,043","11,335","14,417","14,045","6,881","9,930","17,041"
2020년03월_계_연령구간인구수,"175,731","15,125","7,488","13,872","16,963","28,591","20,043","11,335","14,417","14,045","6,881","9,930","17,041"
2020년03월_계_0~9세,"11,557",738,333,795,"1,059","2,232","1,106",578,"1,797",858,543,480,"1,038"
2020년03월_계_10~19세,"17,381","1,062",543,"1,126","1,794","4,112","1,730",959,"1,321","1,373",661,890,"1,810"
2020년03월_계_20~29세,"24,591","2,377",866,"1,677","2,378","4,218","3,028","1,535","1,754","2,043","1,079","1,295","2,341"
2020년03월_계_30~39세,"19,917","1,644",885,"1,397","1,775","2,907","2,350","1,177","2,454","1,659","1,089",942,"1,638"
2020년03월_계_40~49세,"28,120","2,089","1,184","1,998","2,719","5,416","3,252","1,657","2,353","2,289","1,225","1,370","2,568"
2020년03월_계_50~59세,"33,522","2,931","1,414","2,712","3,217","5,533","3,814","2,232","2,327","2,682","1,184","1,972","3,504"
2020년03월_계_60~69세,"23,133","2,498","1,281","2,295","2,317","2,416","2,807","1,724","1,453","1,694",656,"1,563","2,429"
2020년03월_계_70~79세,"11,710","1,256",675,"1,215","1,160","1,132","1,393",972,613,961,294,918,"1,121"
2020년03월_계_80~89세,"5,125",453,266,585,490,556,505,434,313,430,127,452,514
2020년03월_계_90~99세,643,72,39,66,49,66,57,62,31,54,22,47,78
2020년03월_계_100세 이상,32,5,2,6,5,3,1,5,1,2,1,1,0
2020년03월_남_총인구수,"89,419","8,018","3,961","7,057","8,457","14,147","10,428","5,808","7,381","7,436","3,755","4,696","8,275"
2020년03월_남_연령구간인구수,"89,419","8,018","3,961","7,057","8,457","14,147","10,428","5,808","7,381","7,436","3,755","4,696","8,275"
2020년03월_남_0~9세,"5,867",386,176,386,523,"1,125",571,276,925,455,277,247,520
2020년03월_남_10~19세,"9,069",573,298,585,949,"2,102",905,521,685,718,335,451,947
2020년03월_남_20~29세,"13,643","1,312",504,935,"1,291","2,263","1,690",852,971,"1,200",633,719,"1,273"
2020년03월_남_30~39세,"10,797",940,486,745,951,"1,433","1,361",668,"1,275",940,659,488,851
2020년03월_남_40~49세,"14,313","1,195",675,"1,068","1,358","2,444","1,738",881,"1,225","1,232",678,659,"1,160"
2020년03월_남_50~59세,"17,124","1,540",766,"1,387","1,585","2,858","1,960","1,169","1,166","1,446",647,952,"1,648"
2020년03월_남_60~69세,"11,435","1,285",670,"1,151","1,078","1,213","1,351",840,733,841,350,709,"1,214"
2020년03월_남_70~79세,"5,223",600,291,562,521,491,642,441,282,432,130,342,489
2020년03월_남_80~89세,"1,817",175,92,217,184,205,200,153,115,161,41,116,158
2020년03월_남_90~99세,124,10,3,17,16,13,10,7,4,11,5,13,15
2020년03월_남_100세 이상,7,2,0,4,1,0,0,0,0,0,0,0,0
2020년03월_여_총인구수,"86,312","7,107","3,527","6,815","8,506","14,444","9,615","5,527","7,036","6,609","3,126","5,234","8,766"
2020년03월_여_연령구간인구수,"86,312","7,107","3,527","6,815","8,506","14,444","9,615","5,527","7,036","6,609","3,126","5,234","8,766"
2020년03월_여_0~9세,"5,690",352,157,409,536,"1,107",535,302,872,403,266,233,518
2020년03월_여_10~19세,"8,312",489,245,541,845,"2,010",825,438,636,655,326,439,863
2020년03월_여_20~29세,"10,948","1,065",362,742,"1,087","1,955","1,338",683,783,843,446,576,"1,068"
2020년03월_여_30~39세,"9,120",704,399,652,824,"1,474",989,509,"1,179",719,430,454,787
2020년03월_여_40~49세,"13,807",894,509,930,"1,361","2,972","1,514",776,"1,128","1,057",547,711,"1,408"
2020년03월_여_50~59세,"16,398","1,391",648,"1,325","1,632","2,675","1,854","1,063","1,161","1,236",537,"1,020","1,856"
2020년03월_여_60~69세,"11,698","1,213",611,"1,144","1,239","1,203","1,456",884,720,853,306,854,"1,215"
2020년03월_여_70~79세,"6,487",656,384,653,639,641,751,531,331,529,164,576,632
2020년03월_여_80~89세,"3,308",278,174,368,306,351,305,281,198,269,86,336,356
2020년03월_여_90~99세,519,62,36,49,33,53,47,55,27,43,17,34,63
2020년03월_여_100세 이상,25,3,2,2,4,3,1,5,1,2,1,1,0
