카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년08월_계_총인구수,"237,792","16,527","14,737","13,665","14,164","4,800","16,042","5,510","6,875","9,885","10,518","13,777","26,583","6,746","13,971","22,978","12,967","28,047"
2020년08월_계_연령구간인구수,"237,792","16,527","14,737","13,665","14,164","4,800","16,042","5,510","6,875","9,885","10,518","13,777","26,583","6,746","13,971","22,978","12,967","28,047"
2020년08월_계_0~9세,"15,783",936,"1,552",780,"1,001",179,760,185,314,548,671,"1,263","2,042",352,918,"1,998",658,"1,626"
2020년08월_계_10~19세,"22,382","1,051","2,441","1,291","1,118",300,"1,184",261,476,768,788,"1,665","3,194",363,"1,037","2,942","1,136","2,367"
2020년08월_계_20~29세,"31,235","2,867","1,625","1,676","2,425",508,"1,857",990,777,"1,836","1,509","1,527","3,093",874,"1,802","2,844","1,609","3,416"
2020년08월_계_30~39세,"26,818","2,487","1,601","1,408","1,995",480,"1,656",596,672,"1,274","1,309","1,638","2,514",899,"1,632","2,555","1,306","2,796"
2020년08월_계_40~49세,"37,456","2,557","3,264","2,201","2,151",609,"2,143",632,939,"1,456","1,520","2,509","4,538",967,"1,952","4,048","1,907","4,063"
2020년08월_계_50~59세,"40,068","2,733","2,069","2,441","2,049",869,"2,916",948,"1,295","1,508","1,717","2,202","4,477","1,228","2,281","3,526","2,441","5,368"
2020년08월_계_60~69세,"33,100","2,177","1,158","2,041","1,797",860,"2,892",889,"1,197","1,172","1,406","1,511","3,430","1,150","2,215","2,519","1,969","4,717"
2020년08월_계_70~79세,"20,533","1,142",684,"1,179","1,075",651,"1,872",641,767,865,963,"1,008","2,173",624,"1,430","1,695","1,233","2,531"
2020년08월_계_80~89세,"9,078",487,301,566,461,302,673,317,366,399,548,411,973,253,612,749,641,"1,019"
2020년08월_계_90~99세,"1,256",83,37,78,85,39,82,44,68,52,86,43,140,34,85,98,64,138
2020년08월_계_100세 이상,83,7,5,4,7,3,7,7,4,7,1,0,9,2,7,4,3,6
2020년08월_남_총인구수,"117,413","8,561","7,053","6,615","6,977","2,513","8,086","2,723","3,451","4,734","4,953","6,688","12,808","3,576","6,852","11,119","6,346","14,358"
2020년08월_남_연령구간인구수,"117,413","8,561","7,053","6,615","6,977","2,513","8,086","2,723","3,451","4,734","4,953","6,688","12,808","3,576","6,852","11,119","6,346","14,358"
2020년08월_남_0~9세,"8,082",451,775,382,538,100,394,114,180,266,333,674,"1,044",195,460,"1,033",327,816
2020년08월_남_10~19세,"11,504",541,"1,202",688,606,167,596,145,246,338,387,825,"1,632",215,544,"1,516",609,"1,247"
2020년08월_남_20~29세,"16,050","1,374",816,884,"1,104",280,"1,013",457,405,853,757,777,"1,653",488,912,"1,435",912,"1,930"
2020년08월_남_30~39세,"13,818","1,349",713,739,991,283,955,341,380,672,641,781,"1,201",494,868,"1,199",713,"1,498"
2020년08월_남_40~49세,"18,999","1,451","1,527","1,109","1,149",354,"1,147",351,507,747,723,"1,206","2,127",566,995,"1,904",953,"2,183"
2020년08월_남_50~59세,"20,216","1,521","1,105","1,191","1,054",508,"1,458",485,646,778,830,"1,109","2,176",647,"1,102","1,738","1,172","2,696"
2020년08월_남_60~69세,"15,762","1,134",507,918,862,428,"1,393",407,572,555,642,725,"1,554",576,"1,017","1,201",922,"2,349"
2020년08월_남_70~79세,"9,223",539,281,495,466,280,860,277,352,368,418,438,"1,009",287,680,749,508,"1,216"
2020년08월_남_80~89세,"3,434",175,120,187,182,103,253,132,145,142,204,146,372,101,249,321,217,385
2020년08월_남_90~99세,305,23,6,22,23,9,17,11,16,11,18,7,39,7,23,22,13,38
2020년08월_남_100세 이상,20,3,1,0,2,1,0,3,2,4,0,0,1,0,2,1,0,0
2020년08월_여_총인구수,"120,379","7,966","7,684","7,050","7,187","2,287","7,956","2,787","3,424","5,151","5,565","7,089","13,775","3,170","7,119","11,859","6,621","13,689"
2020년08월_여_연령구간인구수,"120,379","7,966","7,684","7,050","7,187","2,287","7,956","2,787","3,424","5,151","5,565","7,089","13,775","3,170","7,119","11,859","6,621","13,689"
2020년08월_여_0~9세,"7,701",485,777,398,463,79,366,71,134,282,338,589,998,157,458,965,331,810
