,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2021년10월_계_총인구수,"337,538","30,981","24,707","29,351","18,681","29,051","28,470","38,264","32,535","18,887","10,518","13,830","24,201","18,031","20,031"
2021년10월_계_연령구간인구수,"337,538","30,981","24,707","29,351","18,681","29,051","28,470","38,264","32,535","18,887","10,518","13,830","24,201","18,031","20,031"
2021년10월_계_0~9세,"19,667","1,197",986,"1,799","1,170","2,678","1,785","2,381","2,729",720,411,813,"1,150",668,"1,180"
2021년10월_계_10~19세,"22,890","1,375","1,357","1,820","1,684","1,969","1,854","2,610","2,794","1,041",691,765,"2,011","1,190","1,729"
2021년10월_계_20~29세,"56,418","6,207","4,497","4,525","2,223","4,147","3,626","5,269","3,804","2,178","3,346","3,545","5,506","4,795","2,750"
2021년10월_계_30~39세,"48,929","5,453","3,202","4,133","2,191","5,210","4,342","6,206","4,934","2,104","1,491","2,158","2,914","2,146","2,445"
2021년10월_계_40~49세,"49,068","4,094","2,983","4,226","2,960","4,747","4,079","6,217","5,703","2,351","1,281","1,676","3,423","2,271","3,057"
2021년10월_계_50~59세,"52,222","4,583","3,788","4,815","3,206","4,239","4,819","5,962","4,969","3,232","1,214","1,923","3,527","2,572","3,373"
2021년10월_계_60~69세,"47,408","4,292","3,944","4,328","2,815","3,401","4,343","5,577","4,395","3,782",993,"1,540","3,010","2,175","2,813"
2021년10월_계_70~79세,"27,421","2,484","2,585","2,467","1,563","1,752","2,435","2,880","2,271","2,307",669,933,"1,810","1,428","1,837"
2021년10월_계_80~89세,"11,999","1,163","1,216","1,108",782,799,"1,061","1,030",820,"1,031",371,419,750,702,747
2021년10월_계_90~99세,"1,434",127,139,121,84,99,124,121,106,137,50,55,97,80,94
2021년10월_계_100세 이상,82,6,10,9,3,10,2,11,10,4,1,3,3,4,6
2021년10월_남_총인구수,"166,842","15,586","12,664","14,722","9,005","14,033","13,856","18,964","16,249","9,382","5,011","6,605","12,083","9,001","9,681"
2021년10월_남_연령구간인구수,"166,842","15,586","12,664","14,722","9,005","14,033","13,856","18,964","16,249","9,382","5,011","6,605","12,083","9,001","9,681"
2021년10월_남_0~9세,"10,091",610,500,932,592,"1,365",890,"1,229","1,412",372,213,408,614,344,610
2021년10월_남_10~19세,"11,581",713,711,909,816,"1,004",922,"1,328","1,504",549,317,372,952,618,866
2021년10월_남_20~29세,"27,589","2,827","2,424","2,288","1,140","1,879","1,817","2,468","1,938","1,140","1,558","1,533","2,931","2,346","1,300"
2021년10월_남_30~39세,"25,195","2,824","1,766","2,097","1,131","2,465","2,220","3,191","2,477","1,136",787,"1,112","1,566","1,211","1,212"
2021년10월_남_40~49세,"25,324","2,243","1,642","2,252","1,423","2,456","2,066","3,234","2,896","1,218",632,865,"1,694","1,175","1,528"
2021년10월_남_50~59세,"26,492","2,493","2,014","2,493","1,562","2,080","2,367","2,977","2,490","1,644",622,944,"1,773","1,333","1,700"
2021년10월_남_60~69세,"23,016","2,217","1,922","2,169","1,303","1,673","2,046","2,691","2,113","1,874",447,760,"1,433","1,035","1,333"
2021년10월_남_70~79세,"12,404","1,147","1,169","1,114",670,787,"1,102","1,395","1,074","1,023",285,411,803,621,803
2021년10월_남_80~89세,"4,744",474,477,443,337,295,399,411,317,391,136,186,280,292,306
2021년10월_남_90~99세,385,37,37,24,30,26,26,39,24,35,13,13,37,25,19
2021년10월_남_100세 이상,21,1,2,1,1,3,1,1,4,0,1,1,0,1,4
2021년10월_여_총인구수,"170,696","15,395","12,043","14,629","9,676","15,018","14,614","19,300","16,286","9,505","5,507","7,225","12,118","9,030","10,350"
2021년10월_여_연령구간인구수,"170,696","15,395","12,043","14,629","9,676","15,018","14,614","19,300","16,286","9,505","5,507","7,225","12,118","9,030","10,350"
2021년10월_여_0~9세,"9,576",587,486,867,578,"1,313",895,"1,152","1,317",348,198,405,536,324,570
2021년10월_여_10~19세,"11,309",662,646,911,868,965,932,"1,282","1,290",492,374,393,"1,059",572,863
2021년10월_여_20~29세,"28,829","3,380","2,073","2,237","1,083","2,268","1,809","2,801","1,866","1,038","1,788","2,012","2,575","2,449","1,450"
2021년10월_여_30~39세,"23,734","2,629","1,436","2,036","1,060","2,745","2,122","3,015","2,457",968,704,"1,046","1,348",935,"1,233"
2021년10월_여_40~49세,"23,744","1,851","1,341","1,974","1,537","2,291","2,013","2,983","2,807","1,133",649,811,"1,729","1,096","1,529"
2021년10월_여_50~59세,"25,730","2,090","1,774","2,322","1,644","2,159","2,452","2,985","2,479","1,588",592,979,"1,754","1,239","1,673"
2021년10월_여_60~69세,"24,392","2,075","2,022","2,159","1,512","1,728","2,297","2,886","2,282","1,908",546,780,"1,577","1,140","1,480"
2021년10월_여_70~79세,"15,017","1,337","1,416","1,353",893,965,"1,333","1,485","1,197","1,284",384,522,"1,007",807,"1,034"
2021년10월_여_80~89세,"7,255",689,739,665,445,504,662,619,503,640,235,233,470,410,441
2021년10월_여_90~99세,"1,049",90,102,97,54,73,98,82,82,102,37,42,60,55,75
2021년10월_여_100세 이상,61,5,8,8,2,7,1,10,6,4,0,2,3,3,2
