카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년09월_계_총인구수,"80,905","3,848","2,612","1,164","2,060","1,840","2,337","1,636","1,663","1,531",953,"1,549","1,897","2,294","1,921","2,129","2,730","3,563","3,415","6,222","6,813","4,160","7,280","17,288"
2020년09월_계_연령구간인구수,"80,905","3,848","2,612","1,164","2,060","1,840","2,337","1,636","1,663","1,531",953,"1,549","1,897","2,294","1,921","2,129","2,730","3,563","3,415","6,222","6,813","4,160","7,280","17,288"
2020년09월_계_0~9세,"5,105",162,93,48,66,72,82,55,63,57,25,68,66,99,95,88,121,194,181,592,593,223,420,"1,642"
2020년09월_계_10~19세,"7,385",190,169,55,115,95,120,73,92,60,34,74,94,167,117,190,200,372,252,628,785,324,655,"2,524"
2020년09월_계_20~29세,"7,621",282,227,76,150,123,123,75,101,115,59,101,129,180,117,142,170,381,365,690,635,470,796,"2,114"
2020년09월_계_30~39세,"6,503",216,142,62,124,79,119,70,98,80,60,62,100,130,106,96,147,280,264,718,673,401,614,"1,862"
2020년09월_계_40~49세,"10,862",352,301,110,172,167,242,139,145,118,62,147,174,224,171,275,298,476,482,961,"1,106",524,"1,014","3,202"
2020년09월_계_50~59세,"13,766",698,483,184,383,300,354,243,302,270,167,243,335,420,317,489,537,620,552,987,"1,032",693,"1,338","2,819"
2020년09월_계_60~69세,"12,810",786,523,227,400,364,491,353,352,271,214,262,359,412,389,351,585,544,588,788,959,693,"1,144","1,755"
2020년09월_계_70~79세,"9,802",625,403,196,329,342,452,307,263,299,187,305,344,337,348,285,414,449,474,566,683,531,784,879
2020년09월_계_80~89세,"6,064",456,223,173,274,255,310,271,206,233,126,249,261,276,219,191,220,223,219,259,300,254,446,420
2020년09월_계_90~99세,945,78,44,33,45,42,43,48,40,28,19,34,32,47,39,21,36,24,37,31,45,44,66,69
2020년09월_계_100세 이상,42,3,4,0,2,1,1,2,1,0,0,4,3,2,3,1,2,0,1,2,2,3,3,2
