카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020년10월_계_총인구수,"125,641","2,072","5,182","2,948","4,032","4,684","5,113","1,841","7,642","14,361","17,244","14,095","10,559","10,696","12,637","12,535"
2020년10월_계_연령구간인구수,"125,641","2,072","5,182","2,948","4,032","4,684","5,113","1,841","7,642","14,361","17,244","14,095","10,559","10,696","12,637","12,535"
2020년10월_계_0~9세,"6,950",172,199,88,190,185,140,50,272,581,"1,154",789,587,756,739,"1,048"
2020년10월_계_10~19세,"6,923",110,204,135,176,308,200,34,284,848,984,901,564,871,527,777
2020년10월_계_20~29세,"18,590",221,507,355,730,"1,249",818,194,"1,343","2,411","2,042","2,012","1,675","1,454","2,117","1,462"
2020년10월_계_30~39세,"20,172",426,558,400,624,655,785,310,"1,294","2,270","2,438","2,224","1,739","1,340","2,838","2,271"
2020년10월_계_40~49세,"18,168",446,675,433,485,576,640,199,"1,059","2,091","2,486","1,980","1,577","1,615","1,829","2,077"
2020년10월_계_50~59세,"20,796",305,971,499,611,601,861,334,"1,393","2,354","2,874","2,371","1,885","1,959","1,789","1,989"
2020년10월_계_60~69세,"17,457",228,"1,052",531,624,509,867,406,"1,021","1,963","2,660","1,941","1,309","1,414","1,491","1,441"
2020년10월_계_70~79세,"10,683",105,589,328,355,382,538,203,666,"1,233","1,641","1,172",837,786,904,944
2020년10월_계_80~89세,"4,806",45,296,143,177,185,209,80,245,514,799,607,325,423,339,419
2020년10월_계_90~99세,896,9,88,28,50,31,40,20,57,82,157,89,48,65,56,76
2020년10월_계_100세 이상,200,5,43,8,10,3,15,11,8,14,9,9,13,13,8,31
2020년10월_남_총인구수,"61,432","1,022","2,749","1,265","2,078","2,364","2,674","1,106","3,830","6,967","8,119","6,684","5,149","5,152","6,020","6,253"
2020년10월_남_연령구간인구수,"61,432","1,022","2,749","1,265","2,078","2,364","2,674","1,106","3,830","6,967","8,119","6,684","5,149","5,152","6,020","6,253"
2020년10월_남_0~9세,"3,557",94,111,52,101,99,72,25,119,297,556,394,291,414,387,545
2020년10월_남_10~19세,"3,483",30,88,59,96,149,104,12,152,458,506,457,288,432,255,397
2020년10월_남_20~29세,"8,867",89,226,161,368,666,364,83,634,"1,171","1,024",977,774,722,895,713
2020년10월_남_30~39세,"10,058",209,265,203,347,343,443,180,664,"1,179","1,145","1,108",886,620,"1,380","1,086"
2020년10월_남_40~49세,"9,267",239,371,192,272,307,352,129,577,"1,056","1,230",960,800,789,901,"1,092"
2020년10월_남_50~59세,"10,571",158,570,209,345,307,492,236,743,"1,126","1,366","1,151",991,941,906,"1,030"
2020년10월_남_60~69세,"8,693",127,625,224,299,243,460,276,509,918,"1,236",932,633,716,732,763
2020년10월_남_70~79세,"4,792",54,296,118,167,168,282,114,313,554,712,453,355,348,430,428
2020년10월_남_80~89세,"1,802",18,141,37,64,72,80,39,102,187,296,224,115,147,116,164
2020년10월_남_90~99세,277,3,36,7,16,10,19,8,14,18,44,25,16,19,18,24
2020년10월_남_100세 이상,65,1,20,3,3,0,6,4,3,3,4,3,0,4,0,11
2020년10월_여_총인구수,"64,209","1,050","2,433","1,683","1,954","2,320","2,439",735,"3,812","7,394","9,125","7,411","5,410","5,544","6,617","6,282"
2020년10월_여_연령구간인구수,"64,209","1,050","2,433","1,683","1,954","2,320","2,439",735,"3,812","7,394","9,125","7,411","5,410","5,544","6,617","6,282"
2020년10월_여_0~9세,"3,393",78,88,36,89,86,68,25,153,284,598,395,296,342,352,503
2020년10월_여_10~19세,"3,440",80,116,76,80,159,96,22,132,390,478,444,276,439,272,380
2020년10월_여_20~29세,"9,723",132,281,194,362,583,454,111,709,"1,240","1,018","1,035",901,732,"1,222",749
2020년10월_여_30~39세,"10,114",217,293,197,277,312,342,130,630,"1,091","1,293","1,116",853,720,"1,458","1,185"
2020년10월_여_40~49세,"8,901",207,304,241,213,269,288,70,482,"1,035","1,256","1,020",777,826,928,985
2020년10월_여_50~59세,"10,225",147,401,290,266,294,369,98,650,"1,228","1,508","1,220",894,"1,018",883,959
2020년10월_여_60~69세,"8,764",101,427,307,325,266,407,130,512,"1,045","1,424","1,009",676,698,759,678
2020년10월_여_70~79세,"5,891",51,293,210,188,214,256,89,353,679,929,719,482,438,474,516
2020년10월_여_80~89세,"3,004",27,155,106,113,113,129,41,143,327,503,383,210,276,223,255
2020년10월_여_90~99세,619,6,52,21,34,21,21,12,43,64,113,64,32,46,38,52
2020년10월_여_100세 이상,135,4,23,5,7,3,9,7,5,11,5,6,13,9,8,20
