카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020년04월_계_총인구수,"126,126","2,117","5,219","2,975","3,948","4,696","4,971","1,825","7,538","14,494","17,454","14,146","10,625","10,798","12,725","12,595"
2020년04월_계_연령구간인구수,"126,126","2,117","5,219","2,975","3,948","4,696","4,971","1,825","7,538","14,494","17,454","14,146","10,625","10,798","12,725","12,595"
2020년04월_계_0~9세,"7,151",186,207,89,198,188,142,53,263,618,"1,186",807,620,782,753,"1,059"
2020년04월_계_10~19세,"7,225",118,214,154,174,337,200,36,304,901,"1,040",935,603,884,542,783
2020년04월_계_20~29세,"18,542",207,516,343,677,"1,206",727,208,"1,287","2,412","2,081","2,010","1,681","1,505","2,154","1,528"
2020년04월_계_30~39세,"20,384",441,552,397,605,663,755,280,"1,263","2,303","2,531","2,233","1,763","1,383","2,870","2,345"
2020년04월_계_40~49세,"18,457",456,686,436,495,609,618,197,"1,122","2,130","2,545","2,054","1,603","1,646","1,828","2,032"
2020년04월_계_50~59세,"20,990",310,"1,011",522,601,600,883,354,"1,361","2,369","2,924","2,378","1,871","1,977","1,825","2,004"
2020년04월_계_60~69세,"17,138",233,"1,054",525,610,507,867,395,989,"1,946","2,580","1,889","1,281","1,367","1,477","1,418"
2020년04월_계_70~79세,"10,516",106,573,333,355,375,521,194,644,"1,235","1,649","1,156",823,767,871,914
2020년04월_계_80~89세,"4,670",45,278,141,173,175,207,76,244,489,762,585,324,412,347,412
2020년04월_계_90~99세,856,10,85,26,51,33,37,22,53,78,145,91,45,60,49,71
2020년04월_계_100세 이상,197,5,43,9,9,3,14,10,8,13,11,8,11,15,9,29
2020년04월_남_총인구수,"61,770","1,022","2,805","1,258","2,025","2,387","2,627","1,102","3,751","7,078","8,208","6,720","5,181","5,202","6,102","6,302"
2020년04월_남_연령구간인구수,"61,770","1,022","2,805","1,258","2,025","2,387","2,627","1,102","3,751","7,078","8,208","6,720","5,181","5,202","6,102","6,302"
2020년04월_남_0~9세,"3,627",97,114,51,107,99,71,27,101,319,562,408,305,423,395,548
2020년04월_남_10~19세,"3,624",35,87,62,95,158,108,15,157,490,532,477,304,436,266,402
2020년04월_남_20~29세,"8,929",83,230,158,340,660,353,96,598,"1,184","1,044",991,790,747,904,751
2020년04월_남_30~39세,"10,209",209,274,193,331,349,418,163,657,"1,205","1,182","1,111",888,646,"1,438","1,145"
2020년04월_남_40~49세,"9,410",240,383,185,283,331,340,127,607,"1,070","1,281",982,825,808,898,"1,050"
2020년04월_남_50~59세,"10,678",157,610,217,330,305,502,249,719,"1,150","1,374","1,162",970,947,930,"1,056"
2020년04월_남_60~69세,"8,517",130,630,224,287,248,455,268,495,903,"1,200",896,624,691,722,744
2020년04월_남_70~79세,"4,731",51,294,120,173,163,276,108,302,556,722,452,351,339,411,413
2020년04월_남_80~89세,"1,721",16,129,37,61,64,83,37,97,182,267,211,111,143,124,159
2020년04월_남_90~99세,260,3,35,8,15,10,16,8,15,16,39,27,13,18,14,23
2020년04월_남_100세 이상,64,1,19,3,3,0,5,4,3,3,5,3,0,4,0,11
2020년04월_여_총인구수,"64,356","1,095","2,414","1,717","1,923","2,309","2,344",723,"3,787","7,416","9,246","7,426","5,444","5,596","6,623","6,293"
2020년04월_여_연령구간인구수,"64,356","1,095","2,414","1,717","1,923","2,309","2,344",723,"3,787","7,416","9,246","7,426","5,444","5,596","6,623","6,293"
2020년04월_여_0~9세,"3,524",89,93,38,91,89,71,26,162,299,624,399,315,359,358,511
2020년04월_여_10~19세,"3,601",83,127,92,79,179,92,21,147,411,508,458,299,448,276,381
2020년04월_여_20~29세,"9,613",124,286,185,337,546,374,112,689,"1,228","1,037","1,019",891,758,"1,250",777
2020년04월_여_30~39세,"10,175",232,278,204,274,314,337,117,606,"1,098","1,349","1,122",875,737,"1,432","1,200"
2020년04월_여_40~49세,"9,047",216,303,251,212,278,278,70,515,"1,060","1,264","1,072",778,838,930,982
2020년04월_여_50~59세,"10,312",153,401,305,271,295,381,105,642,"1,219","1,550","1,216",901,"1,030",895,948
2020년04월_여_60~69세,"8,621",103,424,301,323,259,412,127,494,"1,043","1,380",993,657,676,755,674
2020년04월_여_70~79세,"5,785",55,279,213,182,212,245,86,342,679,927,704,472,428,460,501
2020년04월_여_80~89세,"2,949",29,149,104,112,111,124,39,147,307,495,374,213,269,223,253
2020년04월_여_90~99세,596,7,50,18,36,23,21,14,38,62,106,64,32,42,35,48
2020년04월_여_100세 이상,133,4,24,6,6,3,9,6,5,10,6,5,11,11,9,18
