카테고리,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2021년12월_계_총인구수,"806,067","63,258","89,175","41,054","128,805","85,371","81,778","56,200","94,722","82,550","83,154"
2021년12월_계_연령구간인구수,"806,067","63,258","89,175","41,054","128,805","85,371","81,778","56,200","94,722","82,550","83,154"
2021년12월_계_0~9세,"53,029","2,860","5,157","2,554","9,151","7,464","4,446","3,645","9,034","4,101","4,617"
2021년12월_계_10~19세,"67,956","3,727","6,945","3,793","10,831","9,643","6,235","4,151","9,380","6,649","6,602"
2021년12월_계_20~29세,"112,129","9,853","12,530","5,803","18,442","11,694","11,236","7,433","10,751","12,123","12,264"
2021년12월_계_30~39세,"112,466","9,210","11,862","5,282","20,921","12,249","11,260","7,993","13,454","9,649","10,586"
2021년12월_계_40~49세,"125,249","9,327","13,477","6,189","20,172","14,826","12,077","7,717","17,327","11,839","12,298"
2021년12월_계_50~59세,"144,782","11,461","16,401","7,455","22,124","15,260","14,635","9,818","14,364","16,695","16,569"
2021년12월_계_60~69세,"118,614","10,137","13,900","6,269","17,900","9,633","13,174","9,509","12,293","13,034","12,765"
2021년12월_계_70~79세,"47,504","4,632","5,985","2,399","6,042","2,986","5,853","4,013","5,335","5,384","4,875"
2021년12월_계_80~89세,"20,979","1,777","2,574","1,106","2,715","1,363","2,474","1,663","2,375","2,686","2,246"
2021년12월_계_90~99세,"3,236",266,322,200,486,247,374,247,388,382,324
2021년12월_계_100세 이상,123,8,22,4,21,6,14,11,21,8,8
2021년12월_남_총인구수,"399,484","32,206","44,568","20,263","62,203","41,937","40,442","27,745","46,354","41,269","42,497"
2021년12월_남_연령구간인구수,"399,484","32,206","44,568","20,263","62,203","41,937","40,442","27,745","46,354","41,269","42,497"
2021년12월_남_0~9세,"27,336","1,526","2,634","1,310","4,695","3,870","2,273","1,891","4,670","2,087","2,380"
2021년12월_남_10~19세,"34,805","1,902","3,614","1,958","5,465","4,905","3,226","2,082","4,688","3,477","3,488"
2021년12월_남_20~29세,"57,852","5,040","6,565","2,992","9,029","5,974","5,896","3,885","5,520","6,401","6,550"
2021년12월_남_30~39세,"57,906","5,087","6,139","2,687","10,366","5,893","6,008","4,235","6,525","5,162","5,804"
2021년12월_남_40~49세,"63,207","5,110","7,009","3,055","9,681","6,975","6,161","3,892","8,798","6,021","6,505"
2021년12월_남_50~59세,"70,156","5,828","8,114","3,575","10,201","7,363","6,962","4,581","6,890","8,289","8,353"
2021년12월_남_60~69세,"58,182","4,851","6,731","3,088","8,917","5,010","6,197","4,605","5,847","6,501","6,435"
2021년12월_남_70~79세,"22,149","2,182","2,770","1,182","2,866","1,460","2,712","1,913","2,498","2,362","2,204"
2021년12월_남_80~89세,"7,119",632,901,362,876,432,919,593,821,881,702
2021년12월_남_90~99세,745,47,84,54,103,54,85,65,91,88,74
2021년12월_남_100세 이상,27,1,7,0,4,1,3,3,6,0,2
2021년12월_여_총인구수,"406,583","31,052","44,607","20,791","66,602","43,434","41,336","28,455","48,368","41,281","40,657"
2021년12월_여_연령구간인구수,"406,583","31,052","44,607","20,791","66,602","43,434","41,336","28,455","48,368","41,281","40,657"
2021년12월_여_0~9세,"25,693","1,334","2,523","1,244","4,456","3,594","2,173","1,754","4,364","2,014","2,237"
2021년12월_여_10~19세,"33,151","1,825","3,331","1,835","5,366","4,738","3,009","2,069","4,692","3,172","3,114"
2021년12월_여_20~29세,"54,277","4,813","5,965","2,811","9,413","5,720","5,340","3,548","5,231","5,722","5,714"
2021년12월_여_30~39세,"54,560","4,123","5,723","2,595","10,555","6,356","5,252","3,758","6,929","4,487","4,782"
2021년12월_여_40~49세,"62,042","4,217","6,468","3,134","10,491","7,851","5,916","3,825","8,529","5,818","5,793"
2021년12월_여_50~59세,"74,626","5,633","8,287","3,880","11,923","7,897","7,673","5,237","7,474","8,406","8,216"
2021년12월_여_60~69세,"60,432","5,286","7,169","3,181","8,983","4,623","6,977","4,904","6,446","6,533","6,330"
2021년12월_여_70~79세,"25,355","2,450","3,215","1,217","3,176","1,526","3,141","2,100","2,837","3,022","2,671"
2021년12월_여_80~89세,"13,860","1,145","1,673",744,"1,839",931,"1,555","1,070","1,554","1,805","1,544"
2021년12월_여_90~99세,"2,491",219,238,146,383,193,289,182,297,294,250
2021년12월_여_100세 이상,96,7,15,4,17,5,11,8,15,8,6
