,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020년11월_계_총인구수,"111,234","18,043","12,898","15,546","7,612","1,617","3,462","2,850","3,552","6,201","5,213","6,377","15,471","6,781","5,340",271
2020년11월_계_연령구간인구수,"111,234","18,043","12,898","15,546","7,612","1,617","3,462","2,850","3,552","6,201","5,213","6,377","15,471","6,781","5,340",271
2020년11월_계_0~9세,"8,206","1,411","1,381","1,929",650,42,95,75,72,170,230,442,"1,060",343,303,3
2020년11월_계_10~19세,"10,309","1,867","1,517","2,030",624,52,150,87,139,313,313,486,"1,672",624,427,8
2020년11월_계_20~29세,"10,789","2,316","1,417","1,547",524,115,272,156,263,406,482,548,"1,614",674,446,9
2020년11월_계_30~39세,"11,954","2,344","1,810","2,378",873,95,188,134,161,443,460,690,"1,382",539,443,14
2020년11월_계_40~49세,"17,839","3,201","2,396","3,089","1,228",167,342,270,336,718,698,961,"2,521","1,149",729,34
2020년11월_계_50~59세,"18,490","3,063","1,916","1,874","1,217",284,616,543,698,"1,093",979,"1,095","2,900","1,274",894,44
2020년11월_계_60~69세,"16,439","1,978","1,236","1,330","1,222",401,751,670,780,"1,456","1,028","1,089","2,288","1,130","1,014",66
2020년11월_계_70~79세,"10,660","1,123",733,832,775,242,610,511,630,"1,076",663,739,"1,345",661,653,67
2020년11월_계_80~89세,"5,724",638,424,472,426,197,391,355,408,458,321,291,630,325,362,26
2020년11월_계_90~99세,793,94,67,64,72,22,44,46,63,66,39,30,58,61,67,0
2020년11월_계_100세 이상,31,8,1,1,1,0,3,3,2,2,0,6,1,1,2,0
2020년11월_남_총인구수,"56,068","9,343","6,501","8,117","3,794",854,"1,764","1,406","1,750","3,018","2,603","3,121","7,540","3,488","2,627",142
2020년11월_남_연령구간인구수,"56,068","9,343","6,501","8,117","3,794",854,"1,764","1,406","1,750","3,018","2,603","3,121","7,540","3,488","2,627",142
2020년11월_남_0~9세,"4,276",737,708,"1,036",306,25,58,44,38,94,119,223,557,164,165,2
2020년11월_남_10~19세,"5,308",903,803,"1,030",333,29,82,52,72,160,175,264,864,323,213,5
2020년11월_남_20~29세,"6,435","1,352",808,975,303,67,171,95,163,248,312,311,926,420,277,7
2020년11월_남_30~39세,"6,401","1,317",935,"1,243",447,60,106,73,91,273,254,360,698,305,231,8
2020년11월_남_40~49세,"9,507","1,722","1,199","1,651",684,104,210,174,217,413,393,514,"1,207",605,387,27
2020년11월_남_50~59세,"9,773","1,631","1,004","1,053",633,177,345,311,397,567,493,549,"1,444",695,447,27
2020년11월_남_60~69세,"7,915",985,609,629,589,214,380,329,371,663,477,480,"1,090",571,496,32
2020년11월_남_70~79세,"4,553",474,294,356,348,110,275,213,279,445,276,319,551,293,292,28
2020년11월_남_80~89세,"1,765",203,129,134,138,62,124,106,116,148,97,95,196,102,109,6
2020년11월_남_90~99세,126,18,12,10,13,6,12,7,5,7,7,4,7,9,9,0
2020년11월_남_100세 이상,9,1,0,0,0,0,1,2,1,0,0,2,0,1,1,0
2020년11월_여_총인구수,"55,166","8,700","6,397","7,429","3,818",763,"1,698","1,444","1,802","3,183","2,610","3,256","7,931","3,293","2,713",129
2020년11월_여_연령구간인구수,"55,166","8,700","6,397","7,429","3,818",763,"1,698","1,444","1,802","3,183","2,610","3,256","7,931","3,293","2,713",129
2020년11월_여_0~9세,"3,930",674,673,893,344,17,37,31,34,76,111,219,503,179,138,1
2020년11월_여_10~19세,"5,001",964,714,"1,000",291,23,68,35,67,153,138,222,808,301,214,3
2020년11월_여_20~29세,"4,354",964,609,572,221,48,101,61,100,158,170,237,688,254,169,2
2020년11월_여_30~39세,"5,553","1,027",875,"1,135",426,35,82,61,70,170,206,330,684,234,212,6
2020년11월_여_40~49세,"8,332","1,479","1,197","1,438",544,63,132,96,119,305,305,447,"1,314",544,342,7
2020년11월_여_50~59세,"8,717","1,432",912,821,584,107,271,232,301,526,486,546,"1,456",579,447,17
2020년11월_여_60~69세,"8,524",993,627,701,633,187,371,341,409,793,551,609,"1,198",559,518,34
2020년11월_여_70~79세,"6,107",649,439,476,427,132,335,298,351,631,387,420,794,368,361,39
2020년11월_여_80~89세,"3,959",435,295,338,288,135,267,249,292,310,224,196,434,223,253,20
2020년11월_여_90~99세,667,76,55,54,59,16,32,39,58,59,32,26,51,52,58,0
2020년11월_여_100세 이상,22,7,1,1,1,0,2,1,1,2,0,4,1,0,1,0
