,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년04월_계_총인구수,"295,690",340,"3,319","9,824","13,977","14,575","10,669","18,838","11,016","7,728","33,935","13,295","26,210","14,025","20,416","12,442","31,974","50,897","2,210"
2021년04월_계_연령구간인구수,"295,690",340,"3,319","9,824","13,977","14,575","10,669","18,838","11,016","7,728","33,935","13,295","26,210","14,025","20,416","12,442","31,974","50,897","2,210"
2021년04월_계_0~9세,"22,515",0,114,349,677,851,800,"1,216",897,297,"3,000","1,011","2,256",987,"1,446",941,"2,953","4,656",64
2021년04월_계_10~19세,"30,115",11,191,605,932,"1,274","1,156","1,678","1,392",504,"4,286","1,204","3,196","1,053","1,837","1,413","4,278","5,017",88
2021년04월_계_20~29세,"37,730",37,395,"1,298","1,865","1,836","1,286","2,517","1,439","1,123","4,289","1,653","3,253","1,729","2,468","1,672","3,716","6,952",202
2021년04월_계_30~39세,"40,448",48,386,"1,153","1,825","1,798","1,243","2,485","1,467","1,051","3,956","2,327","2,946","2,510","2,829","2,008","3,923","8,269",224
2021년04월_계_40~49세,"50,775",44,467,"1,368","1,969","2,330","1,819","2,913","2,027","1,129","6,320","2,298","4,922","2,398","3,436","2,291","6,122","8,698",224
2021년04월_계_50~59세,"49,310",101,606,"1,880","2,447","2,474","1,787","3,225","1,810","1,605","5,685","2,158","4,486","2,173","3,322","2,046","4,913","8,160",432
2021년04월_계_60~69세,"38,332",72,626,"1,780","2,475","2,315","1,513","2,883","1,225","1,220","3,983","1,610","3,171","1,724","2,617","1,237","3,722","5,620",539
2021년04월_계_70~79세,"17,764",19,378,973,"1,267","1,158",754,"1,325",518,512,"1,603",768,"1,331",849,"1,484",537,"1,602","2,434",252
2021년04월_계_80~89세,"7,543",4,140,372,446,479,280,520,213,248,704,241,543,522,840,262,633,936,160
2021년04월_계_90~99세,"1,105",4,14,43,61,60,29,75,27,38,105,22,100,78,134,34,108,149,24
2021년04월_계_100세 이상,53,0,2,3,13,0,2,1,1,1,4,3,6,2,3,1,4,6,1
2021년04월_남_총인구수,"145,859",184,"1,672","4,756","6,840","7,203","5,264","9,307","5,437","4,059","16,637","6,664","13,078","6,641","9,624","6,036","15,625","25,572","1,260"
2021년04월_남_연령구간인구수,"145,859",184,"1,672","4,756","6,840","7,203","5,264","9,307","5,437","4,059","16,637","6,664","13,078","6,641","9,624","6,036","15,625","25,572","1,260"
2021년04월_남_0~9세,"11,528",0,70,172,334,449,375,591,460,146,"1,521",530,"1,170",500,782,488,"1,512","2,395",33
2021년04월_남_10~19세,"15,478",7,93,316,462,652,604,848,727,269,"2,229",628,"1,634",537,936,731,"2,186","2,563",56
2021년04월_남_20~29세,"19,723",18,219,686,970,"1,016",669,"1,350",749,595,"2,207",877,"1,723",863,"1,222",848,"1,939","3,653",119
2021년04월_남_30~39세,"20,504",27,220,635,986,947,630,"1,303",731,605,"1,861","1,172","1,467","1,318","1,403","1,027","1,847","4,191",134
2021년04월_남_40~49세,"25,055",27,249,707,993,"1,177",888,"1,453",951,600,"2,990","1,153","2,409","1,181","1,681","1,079","2,955","4,423",139
2021년04월_남_50~59세,"24,568",57,311,894,"1,205","1,191",894,"1,552",895,869,"2,830","1,101","2,285","1,027","1,606",991,"2,445","4,153",262
2021년04월_남_60~69세,"18,224",36,286,780,"1,164","1,071",733,"1,374",603,646,"1,953",760,"1,565",714,"1,177",562,"1,781","2,711",308
2021년04월_남_70~79세,"7,995",9,168,425,557,520,364,622,240,225,768,359,634,341,540,216,738,"1,137",132
2021년04월_남_80~89세,"2,529",2,47,131,153,166,101,194,75,95,256,80,170,143,247,89,197,311,72
2021년04월_남_90~99세,244,1,9,8,13,14,6,20,6,9,21,2,21,17,30,5,24,33,5
2021년04월_남_100세 이상,11,0,0,2,3,0,0,0,0,0,1,2,0,0,0,0,1,2,0
2021년04월_여_총인구수,"149,831",156,"1,647","5,068","7,137","7,372","5,405","9,531","5,579","3,669","17,298","6,631","13,132","7,384","10,792","6,406","16,349","25,325",950
2021년04월_여_연령구간인구수,"149,831",156,"1,647","5,068","7,137","7,372","5,405","9,531","5,579","3,669","17,298","6,631","13,132","7,384","10,792","6,406","16,349","25,325",950
2021년04월_여_0~9세,"10,987",0,44,177,343,402,425,625,437,151,"1,479",481,"1,086",487,664,453,"1,441","2,261",31
