카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년04월_계_총인구수,"239,361","17,060","14,921","13,751","14,151","4,779","16,060","5,532","6,905","10,022","10,558","13,852","26,811","6,758","13,933","23,041","13,081","28,146"
2020년04월_계_연령구간인구수,"239,361","17,060","14,921","13,751","14,151","4,779","16,060","5,532","6,905","10,022","10,558","13,852","26,811","6,758","13,933","23,041","13,081","28,146"
2020년04월_계_0~9세,"16,161",962,"1,596",813,"1,008",186,782,188,325,572,665,"1,302","2,099",361,920,"2,056",680,"1,646"
2020년04월_계_10~19세,"22,801","1,125","2,467","1,321","1,121",304,"1,196",265,488,786,815,"1,689","3,239",373,"1,030","2,968","1,167","2,447"
2020년04월_계_20~29세,"31,463","2,945","1,645","1,694","2,397",497,"1,883",985,807,"1,825","1,512","1,528","3,156",873,"1,793","2,858","1,640","3,425"
2020년04월_계_30~39세,"27,288","2,508","1,650","1,483","2,000",476,"1,678",605,667,"1,296","1,316","1,684","2,600",911,"1,635","2,606","1,323","2,850"
2020년04월_계_40~49세,"37,928","2,708","3,298","2,192","2,151",618,"2,152",658,954,"1,505","1,534","2,524","4,561",982,"1,957","4,050","1,966","4,118"
2020년04월_계_50~59세,"40,288","2,837","2,061","2,452","2,061",862,"2,942",959,"1,315","1,525","1,717","2,201","4,486","1,232","2,290","3,499","2,463","5,386"
2020년04월_계_60~69세,"32,823","2,225","1,184","1,994","1,802",846,"2,832",866,"1,166","1,185","1,407","1,508","3,406","1,117","2,206","2,486","1,938","4,655"
2020년04월_계_70~79세,"20,295","1,159",679,"1,172","1,070",644,"1,836",647,761,860,958,969,"2,137",629,"1,406","1,683","1,215","2,470"
2020년04월_계_80~89세,"8,985",497,296,550,453,302,667,314,358,407,549,401,986,246,600,732,622,"1,005"
2020년04월_계_90~99세,"1,252",89,40,76,83,42,86,38,60,54,84,46,132,31,89,99,64,139
2020년04월_계_100세 이상,77,5,5,4,5,2,6,7,4,7,1,0,9,3,7,4,3,5
2020년04월_남_총인구수,"118,212","8,831","7,156","6,656","6,960","2,484","8,088","2,730","3,451","4,813","4,979","6,722","12,940","3,579","6,861","11,173","6,389","14,400"
2020년04월_남_연령구간인구수,"118,212","8,831","7,156","6,656","6,960","2,484","8,088","2,730","3,451","4,813","4,979","6,722","12,940","3,579","6,861","11,173","6,389","14,400"
2020년04월_남_0~9세,"8,263",464,798,403,542,102,407,109,177,278,331,698,"1,077",195,468,"1,062",342,810
2020년04월_남_10~19세,"11,760",577,"1,216",700,603,169,596,145,260,346,412,828,"1,664",222,545,"1,546",630,"1,301"
2020년04월_남_20~29세,"16,155","1,418",831,901,"1,076",277,"1,026",458,414,847,746,784,"1,670",493,922,"1,436",919,"1,937"
