카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021년01월_계_총인구수,"259,700","48,113","4,671","13,723","50,757","38,607","29,745","25,355","23,110","7,932","3,690","13,997"
2021년01월_계_연령구간인구수,"259,700","48,113","4,671","13,723","50,757","38,607","29,745","25,355","23,110","7,932","3,690","13,997"
2021년01월_계_0~9세,"29,341","3,258",275,817,"5,952","6,257","5,289","2,613","2,428",410,110,"1,932"
2021년01월_계_10~19세,"23,970","4,539",172,"1,438","5,910","3,450","3,437","1,788","1,696",492,122,926
2021년01월_계_20~29세,"28,952","6,344",480,"1,898","5,672","3,964","2,462","2,658","3,120",677,285,"1,392"
2021년01월_계_30~39세,"41,549","5,227",571,"1,389","7,245","8,479","6,242","4,022","4,394",644,282,"3,054"
2021년01월_계_40~49세,"43,631","7,129",570,"2,557","9,558","7,027","5,963","3,688","3,605",938,315,"2,281"
2021년01월_계_50~59세,"40,859","9,751",921,"3,020","7,908","4,951","2,940","4,293","3,198","1,374",821,"1,682"
2021년01월_계_60~69세,"30,168","7,091",903,"1,569","5,202","2,989","2,149","3,738","2,607","1,648",847,"1,425"
2021년01월_계_70~79세,"14,057","3,246",480,658,"2,346","1,091",840,"1,751","1,342","1,016",512,775
2021년01월_계_80~89세,"6,340","1,343",262,336,855,349,372,723,648,625,353,474
2021년01월_계_90~99세,800,173,36,37,108,48,49,81,69,103,41,55
2021년01월_계_100세 이상,33,12,1,4,1,2,2,0,3,5,2,1
2021년01월_남_총인구수,"131,867","23,975","2,537","7,256","25,111","19,689","15,073","12,811","12,072","3,947","1,993","7,403"
2021년01월_남_연령구간인구수,"131,867","23,975","2,537","7,256","25,111","19,689","15,073","12,811","12,072","3,947","1,993","7,403"
2021년01월_남_0~9세,"14,954","1,697",144,397,"2,993","3,188","2,709","1,343","1,223",214,49,997
2021년01월_남_10~19세,"12,512","2,332",88,758,"3,086","1,799","1,781",954,896,266,64,488
2021년01월_남_20~29세,"15,893","3,505",286,"1,145","3,013","2,074","1,318","1,423","1,773",393,176,787
2021년01월_남_30~39세,"21,705","2,771",333,747,"3,568","4,329","3,106","2,114","2,522",326,169,"1,720"
2021년01월_남_40~49세,"22,747","3,431",359,"1,369","4,737","3,771","3,107","1,959","1,996",494,200,"1,324"
2021년01월_남_50~59세,"20,330","4,711",503,"1,637","3,771","2,420","1,475","2,103","1,613",729,479,889
2021년01월_남_60~69세,"14,990","3,503",517,833,"2,486","1,495","1,045","1,844","1,277",801,496,693
2021년01월_남_70~79세,"6,478","1,479",214,266,"1,128",510,405,811,570,495,247,353
2021년01월_남_80~89세,"2,076",496,86,98,307,97,109,242,188,204,104,145
2021년01월_남_90~99세,173,45,7,6,22,6,17,18,13,24,8,7
2021년01월_남_100세 이상,9,5,0,0,0,0,1,0,1,1,1,0
2021년01월_여_총인구수,"127,833","24,138","2,134","6,467","25,646","18,918","14,672","12,544","11,038","3,985","1,697","6,594"
2021년01월_여_연령구간인구수,"127,833","24,138","2,134","6,467","25,646","18,918","14,672","12,544","11,038","3,985","1,697","6,594"
2021년01월_여_0~9세,"14,387","1,561",131,420,"2,959","3,069","2,580","1,270","1,205",196,61,935
2021년01월_여_10~19세,"11,458","2,207",84,680,"2,824","1,651","1,656",834,800,226,58,438
2021년01월_여_20~29세,"13,059","2,839",194,753,"2,659","1,890","1,144","1,235","1,347",284,109,605
2021년01월_여_30~39세,"19,844","2,456",238,642,"3,677","4,150","3,136","1,908","1,872",318,113,"1,334"
2021년01월_여_40~49세,"20,884","3,698",211,"1,188","4,821","3,256","2,856","1,729","1,609",444,115,957
2021년01월_여_50~59세,"20,529","5,040",418,"1,383","4,137","2,531","1,465","2,190","1,585",645,342,793
2021년01월_여_60~69세,"15,178","3,588",386,736,"2,716","1,494","1,104","1,894","1,330",847,351,732
2021년01월_여_70~79세,"7,579","1,767",266,392,"1,218",581,435,940,772,521,265,422
2021년01월_여_80~89세,"4,264",847,176,238,548,252,263,481,460,421,249,329
2021년01월_여_90~99세,627,128,29,31,86,42,32,63,56,79,33,48
2021년01월_여_100세 이상,24,7,1,4,1,2,1,0,2,4,1,1
