,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2021년03월_계_총인구수,"350,136","34,904","34,920","40,074","22,090","24,785","37,650","26,000","27,009","27,806","28,942","45,956"
2021년03월_계_연령구간인구수,"350,136","34,904","34,920","40,074","22,090","24,785","37,650","26,000","27,009","27,806","28,942","45,956"
2021년03월_계_0~9세,"34,261","3,220","1,542","3,447","2,243","2,392","4,933","2,914","2,548","2,474","3,164","5,384"
2021년03월_계_10~19세,"37,931","3,344","1,499","3,224","3,019","3,440","4,575","2,937","3,169","3,056","4,522","5,146"
2021년03월_계_20~29세,"52,588","4,394","8,363","8,449","2,866","3,133","3,788","4,137","4,330","4,238","3,713","5,177"
2021년03월_계_30~39세,"55,473","4,406","6,797","6,355","3,174","3,116","6,205","5,183","4,382","4,081","4,034","7,740"
2021년03월_계_40~49세,"60,212","5,919","4,395","5,567","4,329","4,715","7,402","4,239","4,302","4,741","5,916","8,687"
2021년03월_계_50~59세,"53,950","6,195","5,481","5,870","3,238","4,038","5,258","3,496","4,464","4,707","4,463","6,740"
2021년03월_계_60~69세,"34,617","4,445","4,130","4,570","1,858","2,213","3,509","1,999","2,499","2,576","2,134","4,684"
2021년03월_계_70~79세,"13,504","1,893","1,767","1,689",870,"1,111","1,349",647,737,"1,169",656,"1,616"
2021년03월_계_80~89세,"6,461",941,802,775,418,539,532,387,469,659,289,650
2021년03월_계_90~99세,"1,107",137,135,128,74,88,95,61,108,101,51,129
2021년03월_계_100세 이상,32,10,9,0,1,0,4,0,1,4,0,3
2021년03월_남_총인구수,"176,765","17,736","18,033","20,835","10,981","12,185","18,483","13,617","13,860","14,252","14,796","21,987"
2021년03월_남_연령구간인구수,"176,765","17,736","18,033","20,835","10,981","12,185","18,483","13,617","13,860","14,252","14,796","21,987"
2021년03월_남_0~9세,"17,622","1,630",792,"1,724","1,177","1,240","2,490","1,538","1,354","1,271","1,644","2,762"
2021년03월_남_10~19세,"19,598","1,795",765,"1,656","1,549","1,770","2,340","1,507","1,619","1,581","2,353","2,663"
2021년03월_남_20~29세,"28,214","2,399","4,242","4,941","1,490","1,600","1,988","2,274","2,385","2,359","1,982","2,554"
2021년03월_남_30~39세,"28,931","2,270","3,912","3,470","1,575","1,541","2,953","2,867","2,422","2,211","2,066","3,644"
2021년03월_남_40~49세,"29,655","3,055","2,351","2,809","2,067","2,222","3,604","2,135","2,061","2,395","2,811","4,145"
2021년03월_남_50~59세,"26,847","3,095","2,707","2,818","1,664","2,029","2,563","1,805","2,186","2,455","2,426","3,099"
2021년03월_남_60~69세,"17,225","2,246","2,143","2,281",891,"1,079","1,683","1,045","1,320","1,296","1,107","2,134"
2021년03월_남_70~79세,"6,285",901,794,825,398,488,654,323,354,466,325,757
2021년03월_남_80~89세,"2,139",315,286,276,154,198,190,111,128,196,71,214
2021년03월_남_90~99세,243,26,40,35,15,18,18,12,31,22,11,15
2021년03월_남_100세 이상,6,4,1,0,1,0,0,0,0,0,0,0
2021년03월_여_총인구수,"173,371","17,168","16,887","19,239","11,109","12,600","19,167","12,383","13,149","13,554","14,146","23,969"
2021년03월_여_연령구간인구수,"173,371","17,168","16,887","19,239","11,109","12,600","19,167","12,383","13,149","13,554","14,146","23,969"
2021년03월_여_0~9세,"16,639","1,590",750,"1,723","1,066","1,152","2,443","1,376","1,194","1,203","1,520","2,622"
2021년03월_여_10~19세,"18,333","1,549",734,"1,568","1,470","1,670","2,235","1,430","1,550","1,475","2,169","2,483"
2021년03월_여_20~29세,"24,374","1,995","4,121","3,508","1,376","1,533","1,800","1,863","1,945","1,879","1,731","2,623"
2021년03월_여_30~39세,"26,542","2,136","2,885","2,885","1,599","1,575","3,252","2,316","1,960","1,870","1,968","4,096"
2021년03월_여_40~49세,"30,557","2,864","2,044","2,758","2,262","2,493","3,798","2,104","2,241","2,346","3,105","4,542"
2021년03월_여_50~59세,"27,103","3,100","2,774","3,052","1,574","2,009","2,695","1,691","2,278","2,252","2,037","3,641"
2021년03월_여_60~69세,"17,392","2,199","1,987","2,289",967,"1,134","1,826",954,"1,179","1,280","1,027","2,550"
2021년03월_여_70~79세,"7,219",992,973,864,472,623,695,324,383,703,331,859
2021년03월_여_80~89세,"4,322",626,516,499,264,341,342,276,341,463,218,436
2021년03월_여_90~99세,864,111,95,93,59,70,77,49,77,79,40,114
2021년03월_여_100세 이상,26,6,8,0,0,0,4,0,1,4,0,3
