카테고리,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020년01월_계_총인구수,"2,436,488","77,282","344,932","174,803","148,057","437,189","428,770","568,663","256,792"
2020년01월_계_연령구간인구수,"2,436,488","77,282","344,932","174,803","148,057","437,189","428,770","568,663","256,792"
2020년01월_계_0~9세,"187,477","5,474","26,874","8,268","7,238","35,242","30,979","43,168","30,234"
2020년01월_계_10~19세,"235,903","5,184","27,642","11,851","9,955","45,211","53,913","58,586","23,561"
2020년01월_계_20~29세,"323,212","11,600","42,156","22,593","20,124","60,310","56,281","80,700","29,448"
2020년01월_계_30~39세,"304,758","11,099","45,582","18,560","17,822","54,833","44,193","69,662","43,007"
2020년01월_계_40~49세,"392,841","10,985","52,269","24,082","21,034","73,973","75,069","93,009","42,420"
2020년01월_계_50~59세,"428,568","11,546","57,842","35,496","25,495","77,128","75,105","105,351","40,605"
2020년01월_계_60~69세,"309,806","10,160","49,307","29,820","23,418","50,316","49,921","69,343","27,521"
2020년01월_계_70~79세,"170,765","7,403","29,481","16,810","15,025","27,429","28,180","33,160","13,277"
2020년01월_계_80~89세,"73,744","3,256","12,236","6,486","6,991","11,417","13,351","14,032","5,975"
2020년01월_계_90~99세,"8,726",483,"1,424",738,872,"1,247","1,680","1,566",716
2020년01월_계_100세 이상,688,92,119,99,83,83,98,86,28
2020년01월_남_총인구수,"1,204,387","37,289","170,284","87,761","71,342","217,926","208,071","281,202","130,512"
2020년01월_남_연령구간인구수,"1,204,387","37,289","170,284","87,761","71,342","217,926","208,071","281,202","130,512"
2020년01월_남_0~9세,"96,147","2,820","13,781","4,221","3,783","18,078","15,933","22,134","15,397"
2020년01월_남_10~19세,"123,601","2,636","14,484","6,235","5,238","23,545","28,607","30,507","12,349"
2020년01월_남_20~29세,"173,663","5,642","22,684","12,418","10,253","32,797","30,409","43,228","16,232"
2020년01월_남_30~39세,"157,557","5,743","23,848","10,481","9,296","28,445","21,342","36,039","22,363"
2020년01월_남_40~49세,"193,857","5,629","26,990","12,894","10,595","36,306","34,291","44,997","22,155"
2020년01월_남_50~59세,"209,886","5,664","27,995","17,774","12,316","38,348","36,523","51,002","20,264"
2020년01월_남_60~69세,"147,776","4,693","22,971","14,057","10,742","24,499","23,491","33,610","13,713"
2020년01월_남_70~79세,"74,170","3,145","12,836","7,292","6,374","11,699","12,245","14,633","5,946"
2020년01월_남_80~89세,"25,644","1,182","4,346","2,226","2,510","3,938","4,815","4,693","1,934"
2020년01월_남_90~99세,"1,928",118,319,140,215,254,388,343,151
2020년01월_남_100세 이상,158,17,30,23,20,17,27,16,8
2020년01월_여_총인구수,"1,232,101","39,993","174,648","87,042","76,715","219,263","220,699","287,461","126,280"
2020년01월_여_연령구간인구수,"1,232,101","39,993","174,648","87,042","76,715","219,263","220,699","287,461","126,280"
2020년01월_여_0~9세,"91,330","2,654","13,093","4,047","3,455","17,164","15,046","21,034","14,837"
2020년01월_여_10~19세,"112,302","2,548","13,158","5,616","4,717","21,666","25,306","28,079","11,212"
2020년01월_여_20~29세,"149,549","5,958","19,472","10,175","9,871","27,513","25,872","37,472","13,216"
2020년01월_여_30~39세,"147,201","5,356","21,734","8,079","8,526","26,388","22,851","33,623","20,644"
2020년01월_여_40~49세,"198,984","5,356","25,279","11,188","10,439","37,667","40,778","48,012","20,265"
2020년01월_여_50~59세,"218,682","5,882","29,847","17,722","13,179","38,780","38,582","54,349","20,341"
2020년01월_여_60~69세,"162,030","5,467","26,336","15,763","12,676","25,817","26,430","35,733","13,808"
2020년01월_여_70~79세,"96,595","4,258","16,645","9,518","8,651","15,730","15,935","18,527","7,331"
2020년01월_여_80~89세,"48,100","2,074","7,890","4,260","4,481","7,479","8,536","9,339","4,041"
2020년01월_여_90~99세,"6,798",365,"1,105",598,657,993,"1,292","1,223",565
2020년01월_여_100세 이상,530,75,89,76,63,66,71,70,20
