,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020년09월_계_총인구수,"27,940","12,444","2,885","2,333","2,577","3,066","4,635"
2020년09월_계_연령구간인구수,"27,940","12,444","2,885","2,333","2,577","3,066","4,635"
2020년09월_계_0~9세,"1,365",872,71,65,77,88,192
2020년09월_계_10~19세,"1,877","1,140",168,106,89,134,240
2020년09월_계_20~29세,"2,381","1,225",228,189,162,154,423
2020년09월_계_30~39세,"2,380","1,267",170,149,195,235,364
2020년09월_계_40~49세,"3,563","1,931",310,247,232,331,512
2020년09월_계_50~59세,"5,120","2,158",547,465,502,533,915
2020년09월_계_60~69세,"5,442","1,934",645,479,632,718,"1,034"
2020년09월_계_70~79세,"3,672","1,228",468,390,433,520,633
2020년09월_계_80~89세,"1,815",584,238,214,219,293,267
2020년09월_계_90~99세,309,102,40,24,33,56,54
2020년09월_계_100세 이상,16,3,0,5,3,4,1
2020년09월_남_총인구수,"14,200","6,269","1,486","1,186","1,327","1,577","2,355"
2020년09월_남_연령구간인구수,"14,200","6,269","1,486","1,186","1,327","1,577","2,355"
2020년09월_남_0~9세,698,441,39,34,38,48,98
2020년09월_남_10~19세,983,609,93,43,53,66,119
2020년09월_남_20~29세,"1,401",709,139,113,101,93,246
2020년09월_남_30~39세,"1,286",634,104,79,117,138,214
2020년09월_남_40~49세,"1,946",980,171,147,143,212,293
2020년09월_남_50~59세,"2,755","1,138",314,263,245,308,487
2020년09월_남_60~69세,"2,712",942,314,250,335,366,505
2020년09월_남_70~79세,"1,695",575,210,168,198,245,299
2020년09월_남_80~89세,662,215,96,83,89,97,82
2020년09월_남_90~99세,61,25,6,6,8,4,12
2020년09월_남_100세 이상,1,1,0,0,0,0,0
2020년09월_여_총인구수,"13,740","6,175","1,399","1,147","1,250","1,489","2,280"
2020년09월_여_연령구간인구수,"13,740","6,175","1,399","1,147","1,250","1,489","2,280"
2020년09월_여_0~9세,667,431,32,31,39,40,94
2020년09월_여_10~19세,894,531,75,63,36,68,121
2020년09월_여_20~29세,980,516,89,76,61,61,177
2020년09월_여_30~39세,"1,094",633,66,70,78,97,150
2020년09월_여_40~49세,"1,617",951,139,100,89,119,219
2020년09월_여_50~59세,"2,365","1,020",233,202,257,225,428
2020년09월_여_60~69세,"2,730",992,331,229,297,352,529
2020년09월_여_70~79세,"1,977",653,258,222,235,275,334
2020년09월_여_80~89세,"1,153",369,142,131,130,196,185
2020년09월_여_90~99세,248,77,34,18,25,52,42
2020년09월_여_100세 이상,15,2,0,5,3,4,1
