,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년05월_계_총인구수,"238,955","16,926","14,841","13,723","14,145","4,783","16,059","5,508","6,909","10,013","10,559","13,848","26,723","6,772","13,940","23,066","13,056","28,084"
2020년05월_계_연령구간인구수,"238,955","16,926","14,841","13,723","14,145","4,783","16,059","5,508","6,909","10,013","10,559","13,848","26,723","6,772","13,940","23,066","13,056","28,084"
2020년05월_계_0~9세,"16,076",943,"1,580",801,995,187,773,190,328,578,673,"1,291","2,077",361,916,"2,056",687,"1,640"
2020년05월_계_10~19세,"22,684","1,113","2,468","1,312","1,121",300,"1,201",262,485,776,804,"1,686","3,215",375,"1,026","2,966","1,154","2,420"
2020년05월_계_20~29세,"31,361","2,925","1,623","1,684","2,410",497,"1,883",988,795,"1,824","1,516","1,533","3,133",878,"1,797","2,840","1,628","3,407"
2020년05월_계_30~39세,"27,213","2,515","1,646","1,448","1,997",483,"1,668",593,680,"1,294","1,316","1,674","2,590",908,"1,642","2,598","1,322","2,839"
2020년05월_계_40~49세,"37,732","2,655","3,273","2,199","2,145",613,"2,152",656,936,"1,494","1,538","2,517","4,527",986,"1,944","4,062","1,944","4,091"
2020년05월_계_50~59세,"40,297","2,820","2,058","2,458","2,060",860,"2,936",951,"1,323","1,534","1,709","2,210","4,497","1,229","2,287","3,527","2,453","5,385"
2020년05월_계_60~69세,"32,895","2,210","1,174","2,010","1,803",851,"2,835",870,"1,175","1,175","1,408","1,509","3,418","1,123","2,208","2,505","1,956","4,665"
2020년05월_계_70~79세,"20,342","1,151",677,"1,174","1,065",647,"1,842",637,763,869,962,980,"2,142",631,"1,414","1,680","1,214","2,494"
2020년05월_계_80~89세,"9,023",502,295,560,457,300,675,315,358,408,549,403,982,248,609,732,631,999
2020년05월_계_90~99세,"1,256",87,42,73,87,43,88,39,62,54,83,45,133,31,90,96,64,139
2020년05월_계_100세 이상,76,5,5,4,5,2,6,7,4,7,1,0,9,2,7,4,3,5
2020년05월_남_총인구수,"117,992","8,769","7,118","6,632","6,948","2,494","8,092","2,710","3,449","4,814","4,978","6,727","12,886","3,582","6,863","11,177","6,374","14,379"
2020년05월_남_연령구간인구수,"117,992","8,769","7,118","6,632","6,948","2,494","8,092","2,710","3,449","4,814","4,978","6,727","12,886","3,582","6,863","11,177","6,374","14,379"
2020년05월_남_0~9세,"8,230",453,797,390,539,101,401,112,182,280,338,696,"1,066",194,463,"1,064",344,810
2020년05월_남_10~19세,"11,691",568,"1,221",696,606,170,599,142,259,346,405,825,"1,645",221,542,"1,540",621,"1,285"
2020년05월_남_20~29세,"16,095","1,405",820,888,"1,084",272,"1,029",454,404,837,751,784,"1,664",497,927,"1,426",917,"1,936"
2020년05월_남_30~39세,"14,019","1,354",726,757,"1,002",283,963,337,371,692,647,808,"1,241",500,867,"1,229",712,"1,530"
2020년05월_남_40~49세,"19,176","1,513","1,539","1,102","1,148",358,"1,163",364,511,772,728,"1,209","2,132",575,998,"1,907",967,"2,190"
2020년05월_남_50~59세,"20,268","1,572","1,097","1,207","1,042",496,"1,458",481,665,788,828,"1,113","2,176",635,"1,100","1,739","1,174","2,697"
2020년05월_남_60~69세,"15,610","1,147",512,891,864,422,"1,362",400,555,555,644,712,"1,550",564,"1,022","1,189",913,"2,308"
