,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2021년08월_계_총인구수,"2,393,626","74,125","340,242","166,878","144,564","436,827","419,837","549,494","261,659"
2021년08월_계_연령구간인구수,"2,393,626","74,125","340,242","166,878","144,564","436,827","419,837","549,494","261,659"
2021년08월_계_0~9세,"171,117","4,816","24,106","7,049","6,573","32,463","29,209","37,886","29,015"
2021년08월_계_10~19세,"220,036","4,920","26,233","10,383","9,122","42,109","49,708","53,320","24,241"
2021년08월_계_20~29세,"314,020","11,415","40,981","20,639","20,139","61,516","53,830","76,825","28,675"
2021년08월_계_30~39세,"286,886","10,378","42,953","16,928","16,927","52,673","42,305","63,835","40,887"
2021년08월_계_40~49세,"375,350","10,384","50,797","21,882","19,714","70,718","70,958","86,619","44,278"
2021년08월_계_50~59세,"419,481","10,943","56,318","32,799","24,391","77,667","74,720","101,772","40,871"
2021년08월_계_60~69세,"339,189","10,192","53,213","32,040","24,348","56,701","53,746","77,032","31,917"
2021년08월_계_70~79세,"176,352","7,087","30,349","17,174","14,896","28,667","28,936","34,899","14,344"
2021년08월_계_80~89세,"81,008","3,441","13,691","7,206","7,465","12,784","14,430","15,417","6,574"
2021년08월_계_90~99세,"9,813",477,"1,548",746,968,"1,477","1,931","1,830",836
2021년08월_계_100세 이상,374,72,53,32,21,52,64,59,21
2021년08월_남_총인구수,"1,180,223","35,580","167,453","83,453","69,510","217,339","203,120","270,975","132,793"
2021년08월_남_연령구간인구수,"1,180,223","35,580","167,453","83,453","69,510","217,339","203,120","270,975","132,793"
2021년08월_남_0~9세,"87,671","2,476","12,297","3,638","3,394","16,585","15,074","19,426","14,781"
2021년08월_남_10~19세,"114,801","2,505","13,758","5,389","4,812","21,900","26,188","27,621","12,628"
2021년08월_남_20~29세,"167,340","5,451","21,838","11,299","10,018","33,192","28,860","40,890","15,792"
2021년08월_남_30~39세,"150,023","5,370","22,800","9,585","8,929","27,715","20,751","33,495","21,378"
2021년08월_남_40~49세,"185,324","5,252","26,061","11,789","10,000","34,720","32,399","42,023","23,080"
2021년08월_남_50~59세,"205,571","5,436","27,500","16,581","11,940","38,542","36,062","49,120","20,390"
2021년08월_남_60~69세,"161,387","4,707","24,686","15,015","11,187","27,526","25,387","37,099","15,780"
2021년08월_남_70~79세,"77,302","2,994","13,250","7,514","6,324","12,375","12,590","15,600","6,655"
2021년08월_남_80~89세,"28,631","1,256","4,919","2,517","2,696","4,478","5,334","5,287","2,144"
2021년08월_남_90~99세,"2,103",120,331,122,207,298,459,406,160
2021년08월_남_100세 이상,70,13,13,4,3,8,16,8,5
2021년08월_여_총인구수,"1,213,403","38,545","172,789","83,425","75,054","219,488","216,717","278,519","128,866"
2021년08월_여_연령구간인구수,"1,213,403","38,545","172,789","83,425","75,054","219,488","216,717","278,519","128,866"
2021년08월_여_0~9세,"83,446","2,340","11,809","3,411","3,179","15,878","14,135","18,460","14,234"
2021년08월_여_10~19세,"105,235","2,415","12,475","4,994","4,310","20,209","23,520","25,699","11,613"
2021년08월_여_20~29세,"146,680","5,964","19,143","9,340","10,121","28,324","24,970","35,935","12,883"
2021년08월_여_30~39세,"136,863","5,008","20,153","7,343","7,998","24,958","21,554","30,340","19,509"
2021년08월_여_40~49세,"190,026","5,132","24,736","10,093","9,714","35,998","38,559","44,596","21,198"
2021년08월_여_50~59세,"213,910","5,507","28,818","16,218","12,451","39,125","38,658","52,652","20,481"
2021년08월_여_60~69세,"177,802","5,485","28,527","17,025","13,161","29,175","28,359","39,933","16,137"
2021년08월_여_70~79세,"99,050","4,093","17,099","9,660","8,572","16,292","16,346","19,299","7,689"
2021년08월_여_80~89세,"52,377","2,185","8,772","4,689","4,769","8,306","9,096","10,130","4,430"
2021년08월_여_90~99세,"7,710",357,"1,217",624,761,"1,179","1,472","1,424",676
2021년08월_여_100세 이상,304,59,40,28,18,44,48,51,16
