,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2021년10월_계_총인구수,"209,138","5,818","28,104","10,535","8,694","12,956","22,447","13,365","15,236","23,231","13,160","28,359","27,233"
2021년10월_계_연령구간인구수,"209,138","5,818","28,104","10,535","8,694","12,956","22,447","13,365","15,236","23,231","13,160","28,359","27,233"
2021년10월_계_0~9세,"11,490",228,"1,477",249,465,683,"1,040",499,914,"1,382",687,"1,766","2,100"
2021년10월_계_10~19세,"14,491",279,"1,938",403,615,923,"1,009",661,"1,089","1,820","1,038","2,169","2,547"
2021년10월_계_20~29세,"28,007",619,"3,543",805,"1,034","1,616","4,345","1,550","2,033","3,981","1,754","3,275","3,452"
2021년10월_계_30~39세,"24,409",563,"3,283",718,943,"1,448","3,294","1,537","1,741","3,018","1,465","3,212","3,187"
2021년10월_계_40~49세,"28,553",665,"3,677","1,216","1,178","1,699","2,716","1,681","1,983","3,390","1,765","4,234","4,349"
2021년10월_계_50~59세,"39,190","1,229","5,280","2,036","1,715","2,510","4,077","2,689","3,002","3,756","2,377","5,246","5,273"
2021년10월_계_60~69세,"38,385","1,294","5,508","2,550","1,598","2,572","3,852","2,830","2,847","3,491","2,446","5,282","4,115"
2021년10월_계_70~79세,"17,628",670,"2,448","1,695",829,"1,116","1,594","1,400","1,175","1,677","1,110","2,301","1,613"
2021년10월_계_80~89세,"6,281",246,833,793,292,341,468,458,405,645,476,788,536
2021년10월_계_90~99세,666,24,100,67,25,46,47,58,47,69,42,82,59
2021년10월_계_100세 이상,38,1,17,3,0,2,5,2,0,2,0,4,2
2021년10월_남_총인구수,"105,543","3,115","14,027","5,027","4,447","6,568","11,627","7,092","7,786","11,630","6,438","14,185","13,601"
2021년10월_남_연령구간인구수,"105,543","3,115","14,027","5,027","4,447","6,568","11,627","7,092","7,786","11,630","6,438","14,185","13,601"
2021년10월_남_0~9세,"5,883",126,737,128,242,347,538,256,475,683,361,908,"1,082"
2021년10월_남_10~19세,"7,523",145,"1,019",206,327,485,538,355,570,926,527,"1,148","1,277"
2021년10월_남_20~29세,"14,921",360,"1,894",474,601,864,"2,085",845,"1,104","2,050",923,"1,819","1,902"
2021년10월_남_30~39세,"13,178",309,"1,769",397,516,768,"1,837",894,941,"1,624",791,"1,698","1,634"
2021년10월_남_40~49세,"15,035",385,"1,887",731,616,916,"1,502",975,"1,022","1,779",892,"2,188","2,142"
2021년10월_남_50~59세,"19,563",706,"2,581","1,071",905,"1,199","2,151","1,468","1,464","1,800","1,087","2,541","2,590"
2021년10월_남_60~69세,"19,040",689,"2,652","1,184",772,"1,296","2,009","1,465","1,453","1,737","1,176","2,572","2,035"
2021년10월_남_70~79세,"8,134",305,"1,169",620,359,556,779,647,592,787,506,"1,038",776
2021년10월_남_80~89세,"2,149",87,298,206,105,129,182,179,159,232,166,250,156
2021년10월_남_90~99세,114,3,21,10,4,7,5,7,6,12,9,23,7
2021년10월_남_100세 이상,3,0,0,0,0,1,1,1,0,0,0,0,0
2021년10월_여_총인구수,"103,595","2,703","14,077","5,508","4,247","6,388","10,820","6,273","7,450","11,601","6,722","14,174","13,632"
2021년10월_여_연령구간인구수,"103,595","2,703","14,077","5,508","4,247","6,388","10,820","6,273","7,450","11,601","6,722","14,174","13,632"
2021년10월_여_0~9세,"5,607",102,740,121,223,336,502,243,439,699,326,858,"1,018"
2021년10월_여_10~19세,"6,968",134,919,197,288,438,471,306,519,894,511,"1,021","1,270"
2021년10월_여_20~29세,"13,086",259,"1,649",331,433,752,"2,260",705,929,"1,931",831,"1,456","1,550"
2021년10월_여_30~39세,"11,231",254,"1,514",321,427,680,"1,457",643,800,"1,394",674,"1,514","1,553"
2021년10월_여_40~49세,"13,518",280,"1,790",485,562,783,"1,214",706,961,"1,611",873,"2,046","2,207"
2021년10월_여_50~59세,"19,627",523,"2,699",965,810,"1,311","1,926","1,221","1,538","1,956","1,290","2,705","2,683"
2021년10월_여_60~69세,"19,345",605,"2,856","1,366",826,"1,276","1,843","1,365","1,394","1,754","1,270","2,710","2,080"
2021년10월_여_70~79세,"9,494",365,"1,279","1,075",470,560,815,753,583,890,604,"1,263",837
2021년10월_여_80~89세,"4,132",159,535,587,187,212,286,279,246,413,310,538,380
2021년10월_여_90~99세,552,21,79,57,21,39,42,51,41,57,33,59,52
2021년10월_여_100세 이상,35,1,17,3,0,1,4,1,0,2,0,4,2
