카테고리,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2021년04월_계_총인구수,"69,089","22,550","7,870","4,913","7,037","4,531","4,282","3,044","3,991","1,866","3,231","2,880","2,235",389,270
2021년04월_계_연령구간인구수,"69,089","22,550","7,870","4,913","7,037","4,531","4,282","3,044","3,991","1,866","3,231","2,880","2,235",389,270
2021년04월_계_0~9세,"3,300","1,465",500,171,299,141,168,83,123,67,127,72,68,9,7
2021년04월_계_10~19세,"4,547","2,151",665,217,393,202,221,111,150,70,137,105,105,17,3
2021년04월_계_20~29세,"5,207","2,237",704,315,492,253,245,157,213,86,199,164,110,24,8
2021년04월_계_30~39세,"5,281","2,087",654,334,608,322,268,183,235,75,215,149,122,21,8
2021년04월_계_40~49세,"7,678","3,190","1,102",418,747,390,407,259,330,143,272,197,189,21,13
2021년04월_계_50~59세,"11,764","3,741","1,315",843,"1,308",770,738,514,622,334,546,524,391,72,46
2021년04월_계_60~69세,"14,707","3,739","1,467","1,266","1,695","1,203","1,012",791,957,452,712,663,564,101,85
2021년04월_계_70~79세,"9,988","2,458",878,777,956,772,708,593,771,365,590,593,397,66,64
2021년04월_계_80~89세,"5,757","1,317",500,476,453,402,436,324,533,243,380,365,250,49,29
2021년04월_계_90~99세,840,161,85,94,84,75,75,27,56,31,51,47,38,9,7
2021년04월_계_100세 이상,20,4,0,2,2,1,4,2,1,0,2,1,1,0,0
2021년04월_남_총인구수,"34,557","11,131","3,893","2,469","3,533","2,306","2,144","1,500","2,038",914,"1,624","1,491","1,170",198,146
2021년04월_남_연령구간인구수,"34,557","11,131","3,893","2,469","3,533","2,306","2,144","1,500","2,038",914,"1,624","1,491","1,170",198,146
2021년04월_남_0~9세,"1,743",796,238,80,155,67,90,52,67,34,67,42,46,5,4
2021년04월_남_10~19세,"2,327","1,074",337,111,199,120,118,55,80,33,68,54,67,10,1
2021년04월_남_20~29세,"2,955","1,249",391,180,291,141,141,93,136,50,108,100,61,10,4
2021년04월_남_30~39세,"2,769","1,073",323,174,311,188,148,97,121,35,125,85,73,11,5
2021년04월_남_40~49세,"4,168","1,622",565,241,422,230,227,146,193,79,171,130,118,14,10
2021년04월_남_50~59세,"6,040","1,907",676,426,641,366,390,251,335,186,303,288,203,42,26
2021년04월_남_60~69세,"7,339","1,792",722,643,846,626,513,389,502,225,342,338,303,49,49
2021년04월_남_70~79세,"4,720","1,093",424,403,466,376,324,282,368,163,291,281,180,38,31
2021년04월_남_80~89세,"2,288",485,196,188,187,171,173,125,227,104,134,158,110,16,14
2021년04월_남_90~99세,202,39,21,21,13,21,20,9,9,5,15,15,9,3,2
2021년04월_남_100세 이상,6,1,0,2,2,0,0,1,0,0,0,0,0,0,0
2021년04월_여_총인구수,"34,532","11,419","3,977","2,444","3,504","2,225","2,138","1,544","1,953",952,"1,607","1,389","1,065",191,124
2021년04월_여_연령구간인구수,"34,532","11,419","3,977","2,444","3,504","2,225","2,138","1,544","1,953",952,"1,607","1,389","1,065",191,124
2021년04월_여_0~9세,"1,557",669,262,91,144,74,78,31,56,33,60,30,22,4,3
2021년04월_여_10~19세,"2,220","1,077",328,106,194,82,103,56,70,37,69,51,38,7,2
2021년04월_여_20~29세,"2,252",988,313,135,201,112,104,64,77,36,91,64,49,14,4
2021년04월_여_30~39세,"2,512","1,014",331,160,297,134,120,86,114,40,90,64,49,10,3
2021년04월_여_40~49세,"3,510","1,568",537,177,325,160,180,113,137,64,101,67,71,7,3
2021년04월_여_50~59세,"5,724","1,834",639,417,667,404,348,263,287,148,243,236,188,30,20
2021년04월_여_60~69세,"7,368","1,947",745,623,849,577,499,402,455,227,370,325,261,52,36
2021년04월_여_70~79세,"5,268","1,365",454,374,490,396,384,311,403,202,299,312,217,28,33
2021년04월_여_80~89세,"3,469",832,304,288,266,231,263,199,306,139,246,207,140,33,15
2021년04월_여_90~99세,638,122,64,73,71,54,55,18,47,26,36,32,29,6,5
2021년04월_여_100세 이상,14,3,0,0,0,1,4,1,1,0,2,1,1,0,0
