,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020년11월_계_총인구수,"147,477","43,859","8,627","4,601","7,746","12,543","2,172","4,861","9,435","6,249","8,483","2,809","2,753","18,905","14,434"
2020년11월_계_연령구간인구수,"147,477","43,859","8,627","4,601","7,746","12,543","2,172","4,861","9,435","6,249","8,483","2,809","2,753","18,905","14,434"
2020년11월_계_0~9세,"8,615","2,858",604,114,221,672,46,197,505,520,645,58,201,"1,262",712
2020년11월_계_10~19세,"12,338","4,923",589,198,451,972,81,262,686,367,442,151,150,"1,874","1,192"
2020년11월_계_20~29세,"17,895","5,806",935,433,801,"1,501",188,418,953,850,983,232,293,"2,573","1,929"
2020년11월_계_30~39세,"14,608","4,314","1,106",337,617,"1,215",121,292,849,881,996,126,344,"1,986","1,424"
2020년11월_계_40~49세,"20,541","7,236","1,132",554,884,"1,684",206,520,"1,220",628,890,259,278,"2,789","2,261"
2020년11월_계_50~59세,"29,247","8,945","1,644","1,104","1,918","2,526",389,"1,021","1,593",914,"1,323",544,462,"3,633","3,231"
2020년11월_계_60~69세,"24,238","5,751","1,454","1,050","1,627","2,257",565,"1,081","1,816","1,013","1,481",664,536,"2,708","2,235"
2020년11월_계_70~79세,"12,467","2,559",717,499,726,"1,080",367,665,"1,088",686,"1,025",489,295,"1,347",924
2020년11월_계_80~89세,"6,465","1,254",386,280,425,542,187,352,601,351,573,255,170,626,463
2020년11월_계_90~99세,983,200,58,30,74,87,22,49,116,35,108,28,23,97,56
2020년11월_계_100세 이상,80,13,2,2,2,7,0,4,8,4,17,3,1,10,7
2020년11월_남_총인구수,"78,012","22,393","4,648","2,639","4,529","6,893","1,217","2,635","4,881","3,386","4,521","1,466","1,451","9,585","7,768"
2020년11월_남_연령구간인구수,"78,012","22,393","4,648","2,639","4,529","6,893","1,217","2,635","4,881","3,386","4,521","1,466","1,451","9,585","7,768"
2020년11월_남_0~9세,"4,469","1,473",315,70,108,363,28,98,259,268,341,25,101,635,385
2020년11월_남_10~19세,"6,456","2,551",302,114,230,540,52,135,369,173,223,72,67,"1,002",626
2020년11월_남_20~29세,"10,363","3,133",546,267,475,908,125,251,571,580,666,150,169,"1,416","1,106"
2020년11월_남_30~39세,"8,117","2,209",617,211,392,690,84,171,509,516,594,84,195,"1,061",784
2020년11월_남_40~49세,"11,062","3,591",641,350,571,925,117,325,684,373,518,153,160,"1,417","1,237"
2020년11월_남_50~59세,"16,051","4,751",894,650,"1,202","1,464",234,599,828,493,729,293,243,"1,856","1,815"
2020년11월_남_60~69세,"13,123","3,022",826,618,994,"1,262",315,613,924,530,766,349,308,"1,381","1,215"
2020년11월_남_70~79세,"5,757","1,178",351,234,376,515,170,292,494,326,433,231,147,579,431
2020년11월_남_80~89세,"2,356",441,142,120,168,203,84,132,210,117,219,99,56,214,151
2020년11월_남_90~99세,228,40,13,4,12,22,8,17,28,10,26,7,5,20,16
2020년11월_남_100세 이상,30,4,1,1,1,1,0,2,5,0,6,3,0,4,2
2020년11월_여_총인구수,"69,465","21,466","3,979","1,962","3,217","5,650",955,"2,226","4,554","2,863","3,962","1,343","1,302","9,320","6,666"
2020년11월_여_연령구간인구수,"69,465","21,466","3,979","1,962","3,217","5,650",955,"2,226","4,554","2,863","3,962","1,343","1,302","9,320","6,666"
2020년11월_여_0~9세,"4,146","1,385",289,44,113,309,18,99,246,252,304,33,100,627,327
2020년11월_여_10~19세,"5,882","2,372",287,84,221,432,29,127,317,194,219,79,83,872,566
2020년11월_여_20~29세,"7,532","2,673",389,166,326,593,63,167,382,270,317,82,124,"1,157",823
2020년11월_여_30~39세,"6,491","2,105",489,126,225,525,37,121,340,365,402,42,149,925,640
2020년11월_여_40~49세,"9,479","3,645",491,204,313,759,89,195,536,255,372,106,118,"1,372","1,024"
2020년11월_여_50~59세,"13,196","4,194",750,454,716,"1,062",155,422,765,421,594,251,219,"1,777","1,416"
2020년11월_여_60~69세,"11,115","2,729",628,432,633,995,250,468,892,483,715,315,228,"1,327","1,020"
2020년11월_여_70~79세,"6,710","1,381",366,265,350,565,197,373,594,360,592,258,148,768,493
2020년11월_여_80~89세,"4,109",813,244,160,257,339,103,220,391,234,354,156,114,412,312
2020년11월_여_90~99세,755,160,45,26,62,65,14,32,88,25,82,21,18,77,40
2020년11월_여_100세 이상,50,9,1,1,1,6,0,2,3,4,11,0,1,6,5
