카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년12월_계_총인구수,"405,579","11,177","6,641","15,817","4,725","32,945","27,596","11,366","16,260","7,295","27,653","43,947","19,144","31,621","78,158","23,400","2,140","1,932","4,122","2,278","2,065","35,297"
2020년12월_계_연령구간인구수,"405,579","11,177","6,641","15,817","4,725","32,945","27,596","11,366","16,260","7,295","27,653","43,947","19,144","31,621","78,158","23,400","2,140","1,932","4,122","2,278","2,065","35,297"
2020년12월_계_0~9세,"39,912",697,329,"1,491",331,"3,999","2,177",722,"1,144",673,"2,020","3,838","2,105","2,972","10,293","3,048",60,42,135,50,34,"3,752"
2020년12월_계_10~19세,"52,506","1,183",407,"1,661",430,"3,662","2,091","1,166","2,056",770,"3,522","5,726","2,919","3,983","13,662","3,162",122,83,154,114,90,"5,543"
2020년12월_계_20~29세,"58,706","1,753",974,"2,231",623,"4,032","4,238","1,935","2,494",901,"5,184","7,977","2,709","4,779","9,500","2,969",163,175,438,173,154,"5,304"
2020년12월_계_30~39세,"54,702","1,205",898,"2,215",547,"5,516","4,265","1,291","1,786",914,"3,406","5,929","2,416","4,060","10,591","3,569",120,141,458,160,126,"5,089"
2020년12월_계_40~49세,"76,634","1,901",853,"2,759",739,"6,088","4,087","1,696","2,893","1,367","4,437","8,135","4,009","5,859","18,101","4,775",176,181,506,210,231,"7,631"
2020년12월_계_50~59세,"63,802","1,849","1,116","2,460",784,"4,559","4,903","2,279","3,052","1,353","5,500","7,655","2,901","5,527","9,723","3,191",385,317,670,398,326,"4,854"
2020년12월_계_60~69세,"33,246","1,324",932,"1,490",628,"3,034","3,306","1,397","1,727",683,"2,279","2,820","1,161","2,459","3,908","1,788",460,414,797,459,371,"1,809"
2020년12월_계_70~79세,"17,134",890,782,"1,046",451,"1,370","1,593",577,772,402,824,"1,176",652,"1,341","1,702",593,352,366,588,379,380,898
2020년12월_계_80~89세,"7,699",327,305,394,154,589,800,262,296,205,404,604,237,567,576,264,255,185,307,290,312,366
2020년12월_계_90~99세,"1,172",44,39,64,33,90,133,41,38,27,76,82,32,70,100,37,47,25,65,42,39,48
2020년12월_계_100세 이상,66,4,6,6,5,6,3,0,2,0,1,5,3,4,2,4,0,3,4,3,2,3
2020년12월_남_총인구수,"204,296","5,625","3,343","7,963","2,380","16,838","14,036","5,754","8,248","3,845","13,696","22,156","9,766","15,501","38,616","11,969","1,095",988,"2,279","1,172","1,024","18,002"
2020년12월_남_연령구간인구수,"204,296","5,625","3,343","7,963","2,380","16,838","14,036","5,754","8,248","3,845","13,696","22,156","9,766","15,501","38,616","11,969","1,095",988,"2,279","1,172","1,024","18,002"
2020년12월_남_0~9세,"20,463",355,178,781,174,"2,068","1,117",361,591,343,"1,017","1,977","1,089","1,501","5,291","1,562",25,23,64,22,15,"1,909"
2020년12월_남_10~19세,"27,012",613,207,893,225,"1,860","1,088",614,"1,070",411,"1,772","2,959","1,497","2,077","6,842","1,650",67,46,77,60,48,"2,936"
2020년12월_남_20~29세,"31,150",965,512,"1,199",338,"2,218","2,233","1,052","1,334",505,"2,722","4,252","1,470","2,457","4,909","1,566",92,107,264,111,81,"2,763"
2020년12월_남_30~39세,"27,816",632,518,"1,140",296,"2,835","2,360",696,912,479,"1,745","3,085","1,167","2,028","4,930","1,775",72,90,290,103,69,"2,594"
2020년12월_남_40~49세,"38,171",983,465,"1,413",385,"3,286","2,126",842,"1,425",743,"2,015","3,810","2,007","2,823","8,751","2,513",108,110,351,128,150,"3,737"
