카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년06월_계_총인구수,"238,540","16,743","14,779","13,700","14,153","4,779","16,072","5,501","6,867","9,965","10,528","13,828","26,670","6,770","13,984","23,027","13,066","28,108"
2020년06월_계_연령구간인구수,"238,540","16,743","14,779","13,700","14,153","4,779","16,072","5,501","6,867","9,965","10,528","13,828","26,670","6,770","13,984","23,027","13,066","28,108"
2020년06월_계_0~9세,"15,970",940,"1,566",792,983,184,773,185,326,567,671,"1,285","2,074",361,923,"2,031",680,"1,629"
2020년06월_계_10~19세,"22,556","1,088","2,460","1,301","1,125",303,"1,189",263,477,767,794,"1,674","3,198",378,"1,029","2,960","1,154","2,396"
2020년06월_계_20~29세,"31,394","2,899","1,620","1,687","2,429",498,"1,887",987,776,"1,832","1,522","1,540","3,126",874,"1,806","2,851","1,638","3,422"
2020년06월_계_30~39세,"27,059","2,506","1,629","1,434","1,980",478,"1,659",594,668,"1,286","1,309","1,665","2,565",904,"1,657","2,579","1,321","2,825"
2020년06월_계_40~49세,"37,605","2,612","3,262","2,186","2,149",612,"2,147",652,938,"1,473","1,524","2,506","4,521",988,"1,950","4,046","1,941","4,098"
2020년06월_계_50~59세,"40,185","2,785","2,055","2,461","2,061",857,"2,930",943,"1,304","1,525","1,714","2,210","4,477","1,231","2,282","3,523","2,444","5,383"
2020년06월_계_60~69세,"33,006","2,188","1,166","2,014","1,800",859,"2,865",879,"1,186","1,185","1,403","1,501","3,446","1,131","2,212","2,518","1,962","4,691"
2020년06월_계_70~79세,"20,396","1,143",677,"1,179","1,071",643,"1,859",637,765,865,955,994,"2,141",621,"1,422","1,685","1,228","2,511"
2020년06월_계_80~89세,"9,037",489,299,567,461,302,673,314,358,403,551,408,977,249,607,735,630,"1,014"
2020년06월_계_90~99세,"1,254",87,40,75,88,41,84,40,65,55,84,45,136,31,89,95,65,134
2020년06월_계_100세 이상,78,6,5,4,6,2,6,7,4,7,1,0,9,2,7,4,3,5
2020년06월_남_총인구수,"117,801","8,685","7,086","6,615","6,967","2,491","8,094","2,707","3,437","4,775","4,958","6,722","12,857","3,585","6,873","11,161","6,392","14,396"
2020년06월_남_연령구간인구수,"117,801","8,685","7,086","6,615","6,967","2,491","8,094","2,707","3,437","4,775","4,958","6,722","12,857","3,585","6,873","11,161","6,392","14,396"
2020년06월_남_0~9세,"8,180",455,791,385,530,100,401,109,182,275,336,690,"1,064",194,462,"1,052",344,810
2020년06월_남_10~19세,"11,613",556,"1,212",694,612,170,594,144,253,337,397,824,"1,629",222,545,"1,535",619,"1,270"
2020년06월_남_20~29세,"16,134","1,389",815,888,"1,106",274,"1,029",452,398,839,761,787,"1,672",494,924,"1,436",929,"1,941"
2020년06월_남_30~39세,"13,932","1,350",722,754,980,279,961,339,372,687,634,798,"1,229",500,878,"1,216",715,"1,518"
2020년06월_남_40~49세,"19,105","1,495","1,526","1,096","1,150",358,"1,156",360,510,756,725,"1,206","2,121",578,998,"1,910",966,"2,194"
2020년06월_남_50~59세,"20,251","1,553","1,099","1,204","1,054",494,"1,461",482,654,782,829,"1,117","2,176",641,"1,103","1,734","1,167","2,701"
2020년06월_남_60~69세,"15,660","1,139",512,893,867,424,"1,369",401,563,560,638,713,"1,558",567,"1,016","1,195",917,"2,328"
2020년06월_남_70~79세,"9,191",539,280,496,464,277,856,275,346,378,416,432,996,283,677,755,509,"1,212"
2020년06월_남_80~89세,"3,415",181,120,185,179,105,250,131,142,145,205,148,374,99,245,307,213,386
2020년06월_남_90~99세,301,26,8,20,23,9,17,11,15,12,17,7,37,7,23,20,13,36
2020년06월_남_100세 이상,19,2,1,0,2,1,0,3,2,4,0,0,1,0,2,1,0,0
2020년06월_여_총인구수,"120,739","8,058","7,693","7,085","7,186","2,288","7,978","2,794","3,430","5,190","5,570","7,106","13,813","3,185","7,111","11,866","6,674","13,712"
2020년06월_여_연령구간인구수,"120,739","8,058","7,693","7,085","7,186","2,288","7,978","2,794","3,430","5,190","5,570","7,106","13,813","3,185","7,111","11,866","6,674","13,712"
2020년06월_여_0~9세,"7,790",485,775,407,453,84,372,76,144,292,335,595,"1,010",167,461,979,336,819
2020년06월_여_10~19세,"10,943",532,"1,248",607,513,133,595,119,224,430,397,850,"1,569",156,484,"1,425",535,"1,126"
2020년06월_여_20~29세,"15,260","1,510",805,799,"1,323",224,858,535,378,993,761,753,"1,454",380,882,"1,415",709,"1,481"
2020년06월_여_30~39세,"13,127","1,156",907,680,"1,000",199,698,255,296,599,675,867,"1,336",404,779,"1,363",606,"1,307"
2020년06월_여_40~49세,"18,500","1,117","1,736","1,090",999,254,991,292,428,717,799,"1,300","2,400",410,952,"2,136",975,"1,904"
2020년06월_여_50~59세,"19,934","1,232",956,"1,257","1,007",363,"1,469",461,650,743,885,"1,093","2,301",590,"1,179","1,789","1,277","2,682"
2020년06월_여_60~69세,"17,346","1,049",654,"1,121",933,435,"1,496",478,623,625,765,788,"1,888",564,"1,196","1,323","1,045","2,363"
2020년06월_여_70~79세,"11,205",604,397,683,607,366,"1,003",362,419,487,539,562,"1,145",338,745,930,719,"1,299"
2020년06월_여_80~89세,"5,622",308,179,382,282,197,423,183,216,258,346,260,603,150,362,428,417,628
2020년06월_여_90~99세,953,61,32,55,65,32,67,29,50,43,67,38,99,24,66,75,52,98
2020년06월_여_100세 이상,59,4,4,4,4,1,6,4,2,3,1,0,8,2,5,3,3,5
