카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년08월_계_총인구수,"404,413","10,937","6,626","15,375","4,618","32,885","29,050","11,009","15,863","7,364","27,399","43,354","18,542","31,115","77,635","25,193","2,119","1,884","4,069","2,206","2,026","35,144"
2021년08월_계_연령구간인구수,"404,413","10,937","6,626","15,375","4,618","32,885","29,050","11,009","15,863","7,364","27,399","43,354","18,542","31,115","77,635","25,193","2,119","1,884","4,069","2,206","2,026","35,144"
2021년08월_계_0~9세,"38,187",656,315,"1,382",299,"3,815","2,348",673,"1,041",660,"1,964","3,709","2,009","2,734","9,655","3,060",53,40,132,50,29,"3,563"
2021년08월_계_10~19세,"51,567","1,095",369,"1,584",394,"3,711","2,148","1,102","1,955",774,"3,406","5,505","2,804","3,851","13,622","3,332",116,71,137,116,96,"5,379"
2021년08월_계_20~29세,"58,729","1,720","1,040","2,133",590,"4,005","4,388","1,867","2,442",866,"5,031","7,854","2,639","4,670","9,647","3,333",156,162,419,163,145,"5,459"
2021년08월_계_30~39세,"53,393","1,165",885,"2,103",543,"5,329","4,592","1,237","1,742",884,"3,428","5,758","2,300","3,884","9,953","3,700",109,140,456,148,123,"4,914"
2021년08월_계_40~49세,"75,389","1,794",829,"2,636",699,"6,125","4,250","1,586","2,723","1,392","4,263","7,850","3,843","5,700","17,875","5,140",180,173,487,194,213,"7,437"
2021년08월_계_50~59세,"65,420","1,861","1,102","2,455",783,"4,607","5,107","2,199","3,048","1,395","5,504","7,760","2,901","5,590","10,339","3,638",381,308,650,368,314,"5,110"
2021년08월_계_60~69세,"35,272","1,367",938,"1,588",640,"3,173","3,625","1,465","1,791",741,"2,492","3,039","1,179","2,620","4,122","2,020",472,410,812,471,389,"1,918"
2021년08월_계_70~79세,"17,185",892,784,"1,016",464,"1,389","1,601",575,770,400,826,"1,168",612,"1,375","1,742",650,334,362,573,360,358,934
2021년08월_계_80~89세,"8,031",337,316,416,172,635,855,265,313,224,408,625,219,620,583,272,262,188,339,296,310,376
2021년08월_계_90~99세,"1,189",47,42,60,31,91,136,40,37,28,75,83,34,68,96,46,55,27,61,37,47,48
2021년08월_계_100세 이상,51,3,6,2,3,5,0,0,1,0,2,3,2,3,1,2,1,3,3,3,2,6
2021년08월_남_총인구수,"203,743","5,547","3,324","7,760","2,343","16,776","14,764","5,574","8,003","3,896","13,599","21,829","9,426","15,237","38,297","12,950","1,104",963,"2,271","1,141","1,009","17,930"
2021년08월_남_연령구간인구수,"203,743","5,547","3,324","7,760","2,343","16,776","14,764","5,574","8,003","3,896","13,599","21,829","9,426","15,237","38,297","12,950","1,104",963,"2,271","1,141","1,009","17,930"
2021년08월_남_0~9세,"19,567",351,168,730,158,"1,982","1,213",353,527,338,"1,011","1,876","1,037","1,386","4,937","1,554",20,22,67,21,15,"1,801"
2021년08월_남_10~19세,"26,503",559,188,830,209,"1,877","1,107",587,"1,014",412,"1,714","2,861","1,428","2,013","6,804","1,741",62,42,76,63,53,"2,863"
2021년08월_남_20~29세,"31,226",974,552,"1,167",325,"2,194","2,310","1,010","1,288",493,"2,658","4,170","1,415","2,377","5,032","1,792",95,92,253,107,79,"2,843"
2021년08월_남_30~39세,"27,152",607,500,"1,087",304,"2,717","2,491",668,897,462,"1,763","3,004","1,120","1,942","4,600","1,862",68,93,286,93,62,"2,526"
2021년08월_남_40~49세,"37,525",929,460,"1,359",363,"3,305","2,238",783,"1,353",752,"1,934","3,701","1,908","2,748","8,570","2,679",115,108,348,113,136,"3,623"
2021년08월_남_50~59세,"33,918",980,560,"1,250",401,"2,318","2,597","1,078","1,554",791,"2,636","3,958","1,603","2,787","5,506","1,877",230,176,421,233,188,"2,774"
2021년08월_남_60~69세,"17,767",651,428,752,301,"1,560","1,886",733,898,400,"1,359","1,588",574,"1,262","1,952","1,060",264,209,442,260,224,964
2021년08월_남_70~79세,"7,460",365,343,435,219,618,702,274,353,180,366,477,269,512,725,305,156,168,271,172,140,410
2021년08월_남_80~89세,"2,398",118,114,136,56,191,207,79,111,61,147,177,64,190,155,72,88,49,95,73,101,114
2021년08월_남_90~99세,221,12,11,14,7,13,13,9,8,7,10,17,7,20,16,8,6,3,12,6,11,11
2021년08월_남_100세 이상,6,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
2021년08월_여_총인구수,"200,670","5,390","3,302","7,615","2,275","16,109","14,286","5,435","7,860","3,468","13,800","21,525","9,116","15,878","39,338","12,243","1,015",921,"1,798","1,065","1,017","17,214"
2021년08월_여_연령구간인구수,"200,670","5,390","3,302","7,615","2,275","16,109","14,286","5,435","7,860","3,468","13,800","21,525","9,116","15,878","39,338","12,243","1,015",921,"1,798","1,065","1,017","17,214"
