,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020년11월_계_총인구수,"128,595","4,694","12,674","2,922","31,145","2,031","2,022","1,513","8,953","3,011","4,055","9,046","10,672","11,399","10,472","13,986"
2020년11월_계_연령구간인구수,"128,595","4,694","12,674","2,922","31,145","2,031","2,022","1,513","8,953","3,011","4,055","9,046","10,672","11,399","10,472","13,986"
2020년11월_계_0~9세,"9,747",127,"1,234",67,"3,908",44,27,18,401,92,127,483,698,910,503,"1,108"
2020년11월_계_10~19세,"12,849",202,"1,439",126,"3,993",98,58,39,817,181,239,677,983,"1,386",978,"1,633"
2020년11월_계_20~29세,"11,284",304,"1,075",171,"2,699",118,88,70,909,225,281,686,"1,002","1,066",987,"1,603"
2020년11월_계_30~39세,"13,970",323,"1,469",162,"4,769",114,84,74,737,182,284,878,"1,106","1,155",999,"1,634"
2020년11월_계_40~49세,"21,414",552,"2,259",275,"6,488",271,171,122,"1,293",380,540,"1,363","1,609","1,945","1,523","2,623"
2020년11월_계_50~59세,"22,518",940,"2,140",524,"4,512",419,356,307,"1,684",574,840,"1,823","1,829","2,047","2,056","2,467"
2020년11월_계_60~69세,"20,415","1,053","1,628",742,"2,937",474,462,395,"1,657",682,915,"1,798","2,032","1,836","1,908","1,896"
2020년11월_계_70~79세,"11,045",715,914,531,"1,258",306,450,273,"1,014",482,582,955,"1,016",743,"1,054",752
2020년11월_계_80~89세,"4,711",423,445,289,501,169,297,189,392,187,225,345,344,274,399,232
2020년11월_계_90~99세,615,53,70,35,80,18,27,24,46,24,21,35,49,35,61,37
2020년11월_계_100세 이상,27,2,1,0,0,0,2,2,3,2,1,3,4,2,4,1
2020년11월_남_총인구수,"64,656","2,475","6,333","1,507","15,762","1,121","1,042",756,"4,473","1,483","2,009","4,607","5,134","5,601","5,381","6,972"
2020년11월_남_연령구간인구수,"64,656","2,475","6,333","1,507","15,762","1,121","1,042",756,"4,473","1,483","2,009","4,607","5,134","5,601","5,381","6,972"
2020년11월_남_0~9세,"4,886",57,584,37,"2,000",25,12,9,189,34,58,242,349,472,230,588
2020년11월_남_10~19세,"6,673",101,739,70,"2,064",59,28,18,393,87,118,350,515,724,527,880
2020년11월_남_20~29세,"6,254",189,574,107,"1,427",66,53,48,547,137,160,397,556,568,577,848
2020년11월_남_30~39세,"7,206",181,724,93,"2,343",73,50,53,405,97,169,483,588,551,549,847
2020년11월_남_40~49세,"11,545",359,"1,199",183,"3,430",178,115,69,708,230,320,823,810,992,857,"1,272"
2020년11월_남_50~59세,"11,547",557,"1,112",310,"2,321",245,235,174,856,313,443,902,817,994,"1,078","1,190"
2020년11월_남_60~69세,"9,967",570,838,359,"1,449",242,251,218,803,328,417,846,884,909,951,902
2020년11월_남_70~79세,"4,989",330,392,253,564,171,202,114,437,193,248,446,474,323,471,371
2020년11월_남_80~89세,"1,459",124,153,88,147,61,90,49,130,57,69,110,129,60,124,68
2020년11월_남_90~99세,122,7,17,7,17,1,6,4,4,7,7,8,9,7,16,5
2020년11월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020년11월_여_총인구수,"63,939","2,219","6,341","1,415","15,383",910,980,757,"4,480","1,528","2,046","4,439","5,538","5,798","5,091","7,014"
2020년11월_여_연령구간인구수,"63,939","2,219","6,341","1,415","15,383",910,980,757,"4,480","1,528","2,046","4,439","5,538","5,798","5,091","7,014"
2020년11월_여_0~9세,"4,861",70,650,30,"1,908",19,15,9,212,58,69,241,349,438,273,520
2020년11월_여_10~19세,"6,176",101,700,56,"1,929",39,30,21,424,94,121,327,468,662,451,753
2020년11월_여_20~29세,"5,030",115,501,64,"1,272",52,35,22,362,88,121,289,446,498,410,755
2020년11월_여_30~39세,"6,764",142,745,69,"2,426",41,34,21,332,85,115,395,518,604,450,787
2020년11월_여_40~49세,"9,869",193,"1,060",92,"3,058",93,56,53,585,150,220,540,799,953,666,"1,351"
2020년11월_여_50~59세,"10,971",383,"1,028",214,"2,191",174,121,133,828,261,397,921,"1,012","1,053",978,"1,277"
2020년11월_여_60~69세,"10,448",483,790,383,"1,488",232,211,177,854,354,498,952,"1,148",927,957,994
2020년11월_여_70~79세,"6,056",385,522,278,694,135,248,159,577,289,334,509,542,420,583,381
2020년11월_여_80~89세,"3,252",299,292,201,354,108,207,140,262,130,156,235,215,214,275,164
2020년11월_여_90~99세,493,46,53,28,63,17,21,20,42,17,14,27,40,28,45,32
2020년11월_여_100세 이상,19,2,0,0,0,0,2,2,2,2,1,3,1,1,3,0
