,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020년04월_계_총인구수,"148,144","44,368","8,670","4,669","7,786","12,688","2,192","4,892","9,471","6,140","8,577","2,809","2,735","18,705","14,442"
2020년04월_계_연령구간인구수,"148,144","44,368","8,670","4,669","7,786","12,688","2,192","4,892","9,471","6,140","8,577","2,809","2,735","18,705","14,442"
2020년04월_계_0~9세,"9,062","3,053",606,134,248,732,48,201,536,524,661,68,203,"1,295",753
2020년04월_계_10~19세,"12,789","5,134",608,223,426,"1,001",93,283,707,372,468,141,157,"1,937","1,239"
2020년04월_계_20~29세,"17,932","5,872",998,459,813,"1,526",198,423,961,803,962,235,276,"2,519","1,887"
2020년04월_계_30~39세,"14,942","4,461","1,110",359,623,"1,280",129,310,866,844,"1,053",123,339,"1,995","1,450"
2020년04월_계_40~49세,"21,109","7,487","1,152",571,950,"1,735",220,538,"1,219",624,878,280,272,"2,836","2,347"
2020년04월_계_50~59세,"29,557","9,037","1,662","1,097","1,970","2,571",392,"1,044","1,614",928,"1,392",551,474,"3,569","3,256"
2020년04월_계_60~69세,"23,060","5,373","1,377","1,010","1,551","2,155",542,"1,044","1,783",995,"1,437",647,521,"2,545","2,080"
2020년04월_계_70~79세,"12,428","2,551",712,507,714,"1,058",375,678,"1,075",682,"1,044",496,302,"1,314",920
2020년04월_계_80~89세,"6,250","1,193",389,279,418,535,176,321,600,332,556,236,171,593,451
2020년04월_계_90~99세,940,195,53,29,73,88,19,47,103,32,109,29,19,91,53
2020년04월_계_100세 이상,75,12,3,1,0,7,0,3,7,4,17,3,1,11,6
2020년04월_남_총인구수,"78,234","22,618","4,665","2,676","4,539","6,977","1,220","2,650","4,894","3,313","4,557","1,457","1,447","9,481","7,740"
2020년04월_남_연령구간인구수,"78,234","22,618","4,665","2,676","4,539","6,977","1,220","2,650","4,894","3,313","4,557","1,457","1,447","9,481","7,740"
2020년04월_남_0~9세,"4,702","1,552",319,75,121,397,27,98,275,281,344,29,105,661,418
2020년04월_남_10~19세,"6,689","2,664",312,128,221,546,56,142,390,180,238,69,75,"1,025",643
2020년04월_남_20~29세,"10,384","3,185",568,296,490,922,137,253,570,533,655,152,153,"1,404","1,066"
2020년04월_남_30~39세,"8,207","2,254",628,223,375,737,81,183,502,496,617,77,195,"1,041",798
2020년04월_남_40~49세,"11,376","3,730",646,360,619,952,130,330,679,376,505,165,158,"1,439","1,287"
2020년04월_남_50~59세,"16,242","4,806",921,642,"1,226","1,474",226,624,849,491,773,298,253,"1,826","1,833"
2020년04월_남_60~69세,"12,427","2,787",775,594,948,"1,220",303,577,908,521,743,338,298,"1,298","1,117"
2020년04월_남_70~79세,"5,713","1,187",339,237,373,507,173,304,484,313,436,231,147,561,421
2020년04월_남_80~89세,"2,252",414,145,117,156,196,80,120,209,112,211,89,58,203,142
2020년04월_남_90~99세,214,36,10,4,10,25,7,17,23,10,29,6,5,19,13
2020년04월_남_100세 이상,28,3,2,0,0,1,0,2,5,0,6,3,0,4,2
2020년04월_여_총인구수,"69,910","21,750","4,005","1,993","3,247","5,711",972,"2,242","4,577","2,827","4,020","1,352","1,288","9,224","6,702"
2020년04월_여_연령구간인구수,"69,910","21,750","4,005","1,993","3,247","5,711",972,"2,242","4,577","2,827","4,020","1,352","1,288","9,224","6,702"
2020년04월_여_0~9세,"4,360","1,501",287,59,127,335,21,103,261,243,317,39,98,634,335
2020년04월_여_10~19세,"6,100","2,470",296,95,205,455,37,141,317,192,230,72,82,912,596
2020년04월_여_20~29세,"7,548","2,687",430,163,323,604,61,170,391,270,307,83,123,"1,115",821
2020년04월_여_30~39세,"6,735","2,207",482,136,248,543,48,127,364,348,436,46,144,954,652
2020년04월_여_40~49세,"9,733","3,757",506,211,331,783,90,208,540,248,373,115,114,"1,397","1,060"
2020년04월_여_50~59세,"13,315","4,231",741,455,744,"1,097",166,420,765,437,619,253,221,"1,743","1,423"
2020년04월_여_60~69세,"10,633","2,586",602,416,603,935,239,467,875,474,694,309,223,"1,247",963
2020년04월_여_70~79세,"6,715","1,364",373,270,341,551,202,374,591,369,608,265,155,753,499
2020년04월_여_80~89세,"3,998",779,244,162,262,339,96,201,391,220,345,147,113,390,309
2020년04월_여_90~99세,726,159,43,25,63,63,12,30,80,22,80,23,14,72,40
2020년04월_여_100세 이상,47,9,1,1,0,6,0,1,2,4,11,0,1,7,4
