카테고리,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021년09월_계_총인구수,"148,434","45,394","8,672","4,575","7,667","12,426","2,133","4,755","9,427","6,256","8,188","2,741","2,710","18,841","14,649"
2021년09월_계_연령구간인구수,"148,434","45,394","8,672","4,575","7,667","12,426","2,133","4,755","9,427","6,256","8,188","2,741","2,710","18,841","14,649"
2021년09월_계_0~9세,"8,155","2,846",571,102,202,614,42,162,455,509,593,54,185,"1,156",664
2021년09월_계_10~19세,"11,880","4,899",547,183,436,917,63,224,677,351,439,135,140,"1,766","1,103"
2021년09월_계_20~29세,"18,063","6,045",953,429,769,"1,439",175,401,949,853,960,234,299,"2,529","2,028"
2021년09월_계_30~39세,"14,632","4,466","1,097",349,623,"1,201",123,288,860,903,940,121,335,"1,938","1,388"
2021년09월_계_40~49세,"19,848","7,126","1,108",496,814,"1,590",190,479,"1,175",629,839,234,272,"2,706","2,190"
2021년09월_계_50~59세,"29,122","9,252","1,585","1,112","1,824","2,439",367,960,"1,563",852,"1,235",512,435,"3,650","3,336"
2021년09월_계_60~69세,"26,528","6,565","1,608","1,094","1,758","2,492",604,"1,160","1,945","1,101","1,563",695,561,"2,962","2,420"
2021년09월_계_70~79세,"12,333","2,615",727,491,706,"1,055",335,664,"1,056",673,951,466,280,"1,358",956
2021년09월_계_80~89세,"6,845","1,376",408,282,457,575,213,365,629,346,578,262,177,678,499
2021년09월_계_90~99세,990,195,67,36,76,99,21,50,114,38,88,27,25,94,60
2021년09월_계_100세 이상,38,9,1,1,2,5,0,2,4,1,2,1,1,4,5
2021년09월_남_총인구수,"78,653","23,140","4,659","2,649","4,499","6,852","1,192","2,580","4,912","3,431","4,420","1,432","1,435","9,546","7,906"
2021년09월_남_연령구간인구수,"78,653","23,140","4,659","2,649","4,499","6,852","1,192","2,580","4,912","3,431","4,420","1,432","1,435","9,546","7,906"
2021년09월_남_0~9세,"4,168","1,442",284,62,98,329,27,86,234,253,310,23,87,578,355
2021년09월_남_10~19세,"6,243","2,559",282,99,237,508,39,117,365,171,220,59,64,946,577
2021년09월_남_20~29세,"10,484","3,252",557,271,453,869,119,239,597,603,669,153,175,"1,375","1,152"
2021년09월_남_30~39세,"8,194","2,295",607,219,384,711,85,173,505,545,571,85,188,"1,054",772
2021년09월_남_40~49세,"10,692","3,555",620,312,537,865,110,299,675,373,483,142,163,"1,338","1,220"
2021년09월_남_50~59세,"15,995","4,874",880,666,"1,146","1,431",220,564,820,449,700,268,236,"1,872","1,869"
2021년09월_남_60~69세,"14,377","3,436",904,653,"1,074","1,385",337,646,988,586,807,373,316,"1,538","1,334"
2021년09월_남_70~79세,"5,750","1,201",368,238,371,504,160,305,489,314,414,218,138,584,446
2021년09월_남_80~89세,"2,491",488,144,119,183,221,87,131,205,127,219,105,61,238,163
2021년09월_남_90~99세,244,35,13,9,15,28,8,19,33,9,25,5,7,22,16
2021년09월_남_100세 이상,15,3,0,1,1,1,0,1,1,1,2,1,0,1,2
2021년09월_여_총인구수,"69,781","22,254","4,013","1,926","3,168","5,574",941,"2,175","4,515","2,825","3,768","1,309","1,275","9,295","6,743"
2021년09월_여_연령구간인구수,"69,781","22,254","4,013","1,926","3,168","5,574",941,"2,175","4,515","2,825","3,768","1,309","1,275","9,295","6,743"
2021년09월_여_0~9세,"3,987","1,404",287,40,104,285,15,76,221,256,283,31,98,578,309
2021년09월_여_10~19세,"5,637","2,340",265,84,199,409,24,107,312,180,219,76,76,820,526
2021년09월_여_20~29세,"7,579","2,793",396,158,316,570,56,162,352,250,291,81,124,"1,154",876
2021년09월_여_30~39세,"6,438","2,171",490,130,239,490,38,115,355,358,369,36,147,884,616
2021년09월_여_40~49세,"9,156","3,571",488,184,277,725,80,180,500,256,356,92,109,"1,368",970
2021년09월_여_50~59세,"13,127","4,378",705,446,678,"1,008",147,396,743,403,535,244,199,"1,778","1,467"
2021년09월_여_60~69세,"12,151","3,129",704,441,684,"1,107",267,514,957,515,756,322,245,"1,424","1,086"
2021년09월_여_70~79세,"6,583","1,414",359,253,335,551,175,359,567,359,537,248,142,774,510
2021년09월_여_80~89세,"4,354",888,264,163,274,354,126,234,424,219,359,157,116,440,336
2021년09월_여_90~99세,746,160,54,27,61,71,13,31,81,29,63,22,18,72,44
2021년09월_여_100세 이상,23,6,1,0,1,4,0,1,3,0,0,0,1,3,3
