카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년02월_계_총인구수,"234,654","16,082","14,606","13,261","14,075","4,740","15,862","5,512","6,735","9,628","10,443","13,543","26,235","6,710","13,876","22,727","12,829","27,790"
2021년02월_계_연령구간인구수,"234,654","16,082","14,606","13,261","14,075","4,740","15,862","5,512","6,735","9,628","10,443","13,543","26,235","6,710","13,876","22,727","12,829","27,790"
2021년02월_계_0~9세,"14,839",874,"1,496",698,914,172,698,162,297,510,619,"1,160","1,940",336,903,"1,908",628,"1,524"
2021년02월_계_10~19세,"21,768","1,009","2,430","1,225","1,115",297,"1,128",253,448,737,777,"1,635","3,112",357,971,"2,862","1,096","2,316"
2021년02월_계_20~29세,"30,806","2,817","1,599","1,581","2,471",487,"1,832","1,031",765,"1,788","1,477","1,500","3,062",880,"1,805","2,867","1,530","3,314"
2021년02월_계_30~39세,"25,834","2,362","1,512","1,336","1,938",460,"1,610",616,647,"1,262","1,295","1,518","2,381",897,"1,625","2,405","1,266","2,704"
2021년02월_계_40~49세,"36,578","2,475","3,263","2,098","2,165",595,"2,069",605,889,"1,386","1,470","2,465","4,399",967,"1,922","3,960","1,853","3,997"
2021년02월_계_50~59세,"39,461","2,661","2,084","2,374","2,002",841,"2,817",906,"1,251","1,487","1,717","2,213","4,466","1,156","2,227","3,565","2,404","5,290"
2021년02월_계_60~69세,"33,975","2,169","1,181","2,085","1,826",890,"3,020",922,"1,234","1,183","1,467","1,543","3,507","1,192","2,250","2,581","2,080","4,845"
2021년02월_계_70~79세,"20,656","1,136",684,"1,205","1,072",642,"1,875",632,750,820,976,"1,030","2,224",626,"1,475","1,676","1,231","2,602"
2021년02월_계_80~89세,"9,343",489,310,575,473,314,718,334,379,393,551,430,995,262,605,800,664,"1,051"
2021년02월_계_90~99세,"1,307",82,42,78,91,38,88,45,70,56,93,49,142,35,86,97,74,141
2021년02월_계_100세 이상,87,8,5,6,8,4,7,6,5,6,1,0,7,2,7,6,3,6
2021년02월_남_총인구수,"115,744","8,309","6,979","6,463","6,958","2,493","7,957","2,691","3,402","4,624","4,923","6,564","12,627","3,538","6,822","10,952","6,253","14,189"
2021년02월_남_연령구간인구수,"115,744","8,309","6,979","6,463","6,958","2,493","7,957","2,691","3,402","4,624","4,923","6,564","12,627","3,538","6,822","10,952","6,253","14,189"
2021년02월_남_0~9세,"7,604",424,757,347,495,99,360,95,170,252,301,626,990,177,448,990,307,766
2021년02월_남_10~19세,"11,233",509,"1,197",660,606,162,578,140,234,329,380,807,"1,591",208,518,"1,493",585,"1,236"
2021년02월_남_20~29세,"15,743","1,336",788,858,"1,128",275,982,453,392,826,749,768,"1,632",495,909,"1,414",873,"1,865"
2021년02월_남_30~39세,"13,275","1,275",673,702,979,257,914,349,375,671,644,736,"1,124",494,843,"1,120",682,"1,437"
2021년02월_남_40~49세,"18,572","1,397","1,515","1,055","1,156",356,"1,109",332,481,706,697,"1,175","2,080",558,"1,014","1,861",935,"2,145"
2021년02월_남_50~59세,"19,948","1,513","1,116","1,151","1,045",492,"1,401",472,643,774,822,"1,110","2,166",614,"1,076","1,749","1,145","2,659"
2021년02월_남_60~69세,"16,172","1,125",520,957,876,446,"1,456",424,585,560,686,735,"1,578",593,"1,039","1,226",966,"2,400"
2021년02월_남_70~79세,"9,320",527,284,518,464,279,864,273,347,352,427,445,"1,042",290,702,740,517,"1,249"
2021년02월_남_80~89세,"3,538",178,116,191,181,119,274,138,157,141,195,154,385,102,249,334,228,396
2021년02월_남_90~99세,318,21,12,23,26,7,19,12,16,10,22,8,39,7,22,23,15,36
2021년02월_남_100세 이상,21,4,1,1,2,1,0,3,2,3,0,0,0,0,2,2,0,0
2021년02월_여_총인구수,"118,910","7,773","7,627","6,798","7,117","2,247","7,905","2,821","3,333","5,004","5,520","6,979","13,608","3,172","7,054","11,775","6,576","13,601"
2021년02월_여_연령구간인구수,"118,910","7,773","7,627","6,798","7,117","2,247","7,905","2,821","3,333","5,004","5,520","6,979","13,608","3,172","7,054","11,775","6,576","13,601"
2021년02월_여_0~9세,"7,235",450,739,351,419,73,338,67,127,258,318,534,950,159,455,918,321,758
2021년02월_여_10~19세,"10,535",500,"1,233",565,509,135,550,113,214,408,397,828,"1,521",149,453,"1,369",511,"1,080"
2021년02월_여_20~29세,"15,063","1,481",811,723,"1,343",212,850,578,373,962,728,732,"1,430",385,896,"1,453",657,"1,449"
2021년02월_여_30~39세,"12,559","1,087",839,634,959,203,696,267,272,591,651,782,"1,257",403,782,"1,285",584,"1,267"
2021년02월_여_40~49세,"18,006","1,078","1,748","1,043","1,009",239,960,273,408,680,773,"1,290","2,319",409,908,"2,099",918,"1,852"
2021년02월_여_50~59세,"19,513","1,148",968,"1,223",957,349,"1,416",434,608,713,895,"1,103","2,300",542,"1,151","1,816","1,259","2,631"
2021년02월_여_60~69세,"17,803","1,044",661,"1,128",950,444,"1,564",498,649,623,781,808,"1,929",599,"1,211","1,355","1,114","2,445"
2021년02월_여_70~79세,"11,336",609,400,687,608,363,"1,011",359,403,468,549,585,"1,182",336,773,936,714,"1,353"
2021년02월_여_80~89세,"5,805",311,194,384,292,195,444,196,222,252,356,276,610,160,356,466,436,655
