,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020년04월_계_총인구수,"232,396","21,436","42,297","19,249","24,994","15,816","33,949","22,237","11,275","21,147","19,996"
2020년04월_계_연령구간인구수,"232,396","21,436","42,297","19,249","24,994","15,816","33,949","22,237","11,275","21,147","19,996"
2020년04월_계_0~9세,"13,319",740,"3,320",967,"1,123",674,"2,022","1,667",591,"1,210","1,005"
2020년04월_계_10~19세,"15,373",739,"2,363","1,301","1,474","1,040","2,389","2,216",759,"1,587","1,505"
2020년04월_계_20~29세,"36,555","5,578","7,448","2,839","3,917","2,347","4,945","2,580","1,482","2,814","2,605"
2020년04월_계_30~39세,"35,505","4,948","8,543","2,529","3,499","2,012","4,859","2,594","1,474","2,679","2,368"
2020년04월_계_40~49세,"33,810","2,682","6,237","2,733","3,490","2,262","5,146","3,599","1,602","3,076","2,983"
2020년04월_계_50~59세,"40,962","2,951","6,208","3,919","4,949","3,335","6,030","3,852","2,062","4,010","3,646"
2020년04월_계_60~69세,"32,020","2,267","4,658","2,899","3,769","2,408","4,664","3,140","1,873","3,293","3,049"
2020년04월_계_70~79세,"17,681","1,116","2,505","1,509","1,963","1,279","2,781","1,786","1,028","1,783","1,931"
2020년04월_계_80~89세,"6,194",360,895,470,685,393,949,668,353,614,807
2020년04월_계_90~99세,807,46,104,67,104,51,142,99,47,67,80
2020년04월_계_100세 이상,170,9,16,16,21,15,22,36,4,14,17
2020년04월_남_총인구수,"117,935","11,870","21,879","9,767","12,600","7,946","17,001","10,803","5,638","10,499","9,932"
2020년04월_남_연령구간인구수,"117,935","11,870","21,879","9,767","12,600","7,946","17,001","10,803","5,638","10,499","9,932"
2020년04월_남_0~9세,"6,807",366,"1,721",484,602,362,"1,022",839,297,597,517
2020년04월_남_10~19세,"7,796",374,"1,171",692,735,514,"1,288","1,096",376,798,752
2020년04월_남_20~29세,"18,706","2,714","3,785","1,518","1,977","1,179","2,524","1,350",788,"1,483","1,388"
2020년04월_남_30~39세,"19,686","3,078","4,791","1,363","1,934","1,098","2,622","1,275",808,"1,429","1,288"
2020년04월_남_40~49세,"17,640","1,660","3,385","1,379","1,811","1,129","2,630","1,754",831,"1,532","1,529"
2020년04월_남_50~59세,"20,625","1,721","3,143","1,980","2,485","1,702","2,974","1,837",992,"1,953","1,838"
2020년04월_남_60~69세,"15,720","1,236","2,360","1,428","1,824","1,178","2,238","1,532",899,"1,596","1,429"
2020년04월_남_70~79세,"8,253",556,"1,124",725,924,613,"1,293",814,495,845,864
2020년04월_남_80~89세,"2,446",152,373,176,277,157,361,263,144,239,304
2020년04월_남_90~99세,200,10,23,17,25,10,43,24,8,22,18
2020년04월_남_100세 이상,56,3,3,5,6,4,6,19,0,5,5
2020년04월_여_총인구수,"114,461","9,566","20,418","9,482","12,394","7,870","16,948","11,434","5,637","10,648","10,064"
2020년04월_여_연령구간인구수,"114,461","9,566","20,418","9,482","12,394","7,870","16,948","11,434","5,637","10,648","10,064"
2020년04월_여_0~9세,"6,512",374,"1,599",483,521,312,"1,000",828,294,613,488
2020년04월_여_10~19세,"7,577",365,"1,192",609,739,526,"1,101","1,120",383,789,753
2020년04월_여_20~29세,"17,849","2,864","3,663","1,321","1,940","1,168","2,421","1,230",694,"1,331","1,217"
2020년04월_여_30~39세,"15,819","1,870","3,752","1,166","1,565",914,"2,237","1,319",666,"1,250","1,080"
2020년04월_여_40~49세,"16,170","1,022","2,852","1,354","1,679","1,133","2,516","1,845",771,"1,544","1,454"
2020년04월_여_50~59세,"20,337","1,230","3,065","1,939","2,464","1,633","3,056","2,015","1,070","2,057","1,808"
2020년04월_여_60~69세,"16,300","1,031","2,298","1,471","1,945","1,230","2,426","1,608",974,"1,697","1,620"
2020년04월_여_70~79세,"9,428",560,"1,381",784,"1,039",666,"1,488",972,533,938,"1,067"
2020년04월_여_80~89세,"3,748",208,522,294,408,236,588,405,209,375,503
2020년04월_여_90~99세,607,36,81,50,79,41,99,75,39,45,62
2020년04월_여_100세 이상,114,6,13,11,15,11,16,17,4,9,12
