카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020년08월_계_총인구수,"162,751","12,209","29,658","38,243","21,406","24,237","36,998"
2020년08월_계_연령구간인구수,"162,751","12,209","29,658","38,243","21,406","24,237","36,998"
2020년08월_계_0~9세,"13,334",802,"2,247","2,919","1,598","2,427","3,341"
2020년08월_계_10~19세,"14,802",983,"2,491","3,958","2,076","2,135","3,159"
2020년08월_계_20~29세,"22,945","1,599","4,193","5,105","3,391","3,474","5,183"
2020년08월_계_30~39세,"22,485","1,647","4,260","4,924","2,503","3,687","5,464"
2020년08월_계_40~49세,"24,810","1,712","4,420","6,078","3,252","3,680","5,668"
2020년08월_계_50~59세,"29,585","2,055","5,154","6,845","4,293","4,358","6,880"
2020년08월_계_60~69세,"20,882","2,020","3,709","5,264","2,583","2,741","4,565"
2020년08월_계_70~79세,"9,018",932,"2,011","2,152","1,055","1,085","1,783"
2020년08월_계_80~89세,"4,130",375,"1,019",841,555,550,790
2020년08월_계_90~99세,708,80,142,150,86,95,155
2020년08월_계_100세 이상,52,4,12,7,14,5,10
2020년08월_남_총인구수,"81,006","6,187","15,083","19,053","10,489","11,920","18,274"
2020년08월_남_연령구간인구수,"81,006","6,187","15,083","19,053","10,489","11,920","18,274"
2020년08월_남_0~9세,"6,919",432,"1,177","1,465",839,"1,240","1,766"
2020년08월_남_10~19세,"7,624",508,"1,275","2,060","1,092","1,137","1,552"
2020년08월_남_20~29세,"12,120",881,"2,291","2,692","1,731","1,783","2,742"
2020년08월_남_30~39세,"11,514",880,"2,320","2,509","1,244","1,782","2,779"
2020년08월_남_40~49세,"12,205",881,"2,301","2,947","1,537","1,814","2,725"
2020년08월_남_50~59세,"14,308",981,"2,549","3,342","2,046","2,097","3,293"
2020년08월_남_60~69세,"10,498","1,011","1,870","2,653","1,325","1,386","2,253"
2020년08월_남_70~79세,"4,226",471,881,"1,051",471,476,876
2020년08월_남_80~89세,"1,419",128,373,302,185,183,248
2020년08월_남_90~99세,158,12,42,30,17,21,36
2020년08월_남_100세 이상,15,2,4,2,2,1,4
2020년08월_여_총인구수,"81,745","6,022","14,575","19,190","10,917","12,317","18,724"
2020년08월_여_연령구간인구수,"81,745","6,022","14,575","19,190","10,917","12,317","18,724"
2020년08월_여_0~9세,"6,415",370,"1,070","1,454",759,"1,187","1,575"
2020년08월_여_10~19세,"7,178",475,"1,216","1,898",984,998,"1,607"
2020년08월_여_20~29세,"10,825",718,"1,902","2,413","1,660","1,691","2,441"
2020년08월_여_30~39세,"10,971",767,"1,940","2,415","1,259","1,905","2,685"
2020년08월_여_40~49세,"12,605",831,"2,119","3,131","1,715","1,866","2,943"
2020년08월_여_50~59세,"15,277","1,074","2,605","3,503","2,247","2,261","3,587"
2020년08월_여_60~69세,"10,384","1,009","1,839","2,611","1,258","1,355","2,312"
2020년08월_여_70~79세,"4,792",461,"1,130","1,101",584,609,907
2020년08월_여_80~89세,"2,711",247,646,539,370,367,542
2020년08월_여_90~99세,550,68,100,120,69,74,119
2020년08월_여_100세 이상,37,2,8,5,12,4,6
