카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020년11월_계_총인구수,"176,293","14,829","7,233","12,850","16,726","28,041","19,565","11,063","16,342","13,660","6,699","12,712","16,573"
2020년11월_계_연령구간인구수,"176,293","14,829","7,233","12,850","16,726","28,041","19,565","11,063","16,342","13,660","6,699","12,712","16,573"
2020년11월_계_0~9세,"11,306",682,321,702,986,"2,090",994,507,"2,031",780,474,759,980
2020년11월_계_10~19세,"16,798",999,518,"1,034","1,737","3,934","1,602",926,"1,455","1,265",610,"1,042","1,676"
2020년11월_계_20~29세,"24,519","2,344",799,"1,484","2,315","4,158","2,973","1,489","2,010","2,013","1,038","1,674","2,222"
2020년11월_계_30~39세,"20,094","1,582",865,"1,261","1,679","2,761","2,262","1,106","2,855","1,611","1,032","1,473","1,607"
2020년11월_계_40~49세,"27,320","1,982","1,095","1,809","2,628","5,113","3,076","1,567","2,656","2,111","1,184","1,711","2,388"
2020년11월_계_50~59세,"33,754","2,838","1,370","2,450","3,185","5,605","3,737","2,171","2,657","2,661","1,187","2,554","3,339"
2020년11월_계_60~69세,"24,459","2,567","1,296","2,266","2,435","2,590","2,905","1,781","1,648","1,739",710,"1,927","2,595"
2020년11월_계_70~79세,"12,066","1,300",665,"1,192","1,201","1,133","1,419","1,017",647,976,310,"1,045","1,161"
2020년11월_계_80~89세,"5,243",453,252,573,497,580,532,437,341,442,130,477,529
2020년11월_계_90~99세,695,77,49,72,57,73,64,54,41,60,23,49,76
2020년11월_계_100세 이상,39,5,3,7,6,4,1,8,1,2,1,1,0
2020년11월_남_총인구수,"89,677","7,862","3,823","6,519","8,350","13,892","10,155","5,661","8,398","7,247","3,642","6,053","8,075"
2020년11월_남_연령구간인구수,"89,677","7,862","3,823","6,519","8,350","13,892","10,155","5,661","8,398","7,247","3,642","6,053","8,075"
2020년11월_남_0~9세,"5,688",353,167,343,488,"1,055",494,236,"1,047",419,226,368,492
2020년11월_남_10~19세,"8,764",550,286,540,917,"2,010",858,491,765,647,309,521,870
2020년11월_남_20~29세,"13,602","1,292",472,809,"1,277","2,234","1,647",835,"1,097","1,188",614,909,"1,228"
2020년11월_남_30~39세,"10,979",900,465,684,926,"1,381","1,306",633,"1,484",939,630,780,851
2020년11월_남_40~49세,"13,918","1,124",633,964,"1,289","2,289","1,640",829,"1,404","1,148",673,824,"1,101"
2020년11월_남_50~59세,"17,149","1,505",742,"1,265","1,563","2,876","1,909","1,138","1,309","1,438",631,"1,214","1,559"
2020년11월_남_60~69세,"12,131","1,317",673,"1,132","1,144","1,320","1,425",864,851,846,371,894,"1,294"
2020년11월_남_70~79세,"5,445",632,294,550,538,498,655,474,306,446,142,408,502
2020년11월_남_80~89세,"1,849",177,86,205,190,213,208,154,126,161,42,121,166
2020년11월_남_90~99세,142,10,5,23,16,15,13,6,9,15,4,14,12
2020년11월_남_100세 이상,10,2,0,4,2,1,0,1,0,0,0,0,0
2020년11월_여_총인구수,"86,616","6,967","3,410","6,331","8,376","14,149","9,410","5,402","7,944","6,413","3,057","6,659","8,498"
2020년11월_여_연령구간인구수,"86,616","6,967","3,410","6,331","8,376","14,149","9,410","5,402","7,944","6,413","3,057","6,659","8,498"
2020년11월_여_0~9세,"5,618",329,154,359,498,"1,035",500,271,984,361,248,391,488
2020년11월_여_10~19세,"8,034",449,232,494,820,"1,924",744,435,690,618,301,521,806
2020년11월_여_20~29세,"10,917","1,052",327,675,"1,038","1,924","1,326",654,913,825,424,765,994
2020년11월_여_30~39세,"9,115",682,400,577,753,"1,380",956,473,"1,371",672,402,693,756
2020년11월_여_40~49세,"13,402",858,462,845,"1,339","2,824","1,436",738,"1,252",963,511,887,"1,287"
2020년11월_여_50~59세,"16,605","1,333",628,"1,185","1,622","2,729","1,828","1,033","1,348","1,223",556,"1,340","1,780"
2020년11월_여_60~69세,"12,328","1,250",623,"1,134","1,291","1,270","1,480",917,797,893,339,"1,033","1,301"
2020년11월_여_70~79세,"6,621",668,371,642,663,635,764,543,341,530,168,637,659
2020년11월_여_80~89세,"3,394",276,166,368,307,367,324,283,215,281,88,356,363
2020년11월_여_90~99세,553,67,44,49,41,58,51,48,32,45,19,35,64
2020년11월_여_100세 이상,29,3,3,3,4,3,1,7,1,2,1,1,0
