,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2021년05월_계_총인구수,"51,683,025","9,575,355","3,367,334","2,402,940","2,936,382","1,443,154","1,457,161","1,127,175","362,036","13,488,910","1,535,491","1,596,955","2,117,260","1,794,682","1,842,423","2,633,592","3,327,298","674,877"
2021년05월_계_연령구간인구수,"51,683,025","9,575,355","3,367,334","2,402,940","2,936,382","1,443,154","1,457,161","1,127,175","362,036","13,488,910","1,535,491","1,596,955","2,117,260","1,794,682","1,842,423","2,633,592","3,327,298","674,877"
2021년05월_계_0~9세,"3,874,174","605,053","226,629","173,269","222,752","116,808","111,167","95,327","47,074","1,126,119","103,387","120,558","168,278","124,523","128,551","184,571","260,666","59,442"
2021년05월_계_10~19세,"4,746,103","768,326","268,529","221,672","272,047","154,488","144,225","110,728","43,846","1,325,034","135,474","147,489","201,399","172,288","165,018","224,023","321,295","70,222"
2021년05월_계_20~29세,"6,754,283","1,445,718","425,129","316,866","396,381","208,001","211,313","141,607","38,094","1,812,032","177,230","197,119","240,593","209,564","198,363","281,517","372,640","82,116"
2021년05월_계_30~39세,"6,788,072","1,455,366","412,056","289,317","401,434","183,175","191,713","148,396","61,318","1,900,224","163,622","192,514","263,718","185,440","182,218","285,527","390,421","81,613"
2021년05월_계_40~49세,"8,220,344","1,503,313","506,123","378,018","480,455","238,125","233,876","185,524","70,319","2,295,083","220,994","238,517","326,325","264,055","256,081","379,683","531,777","112,076"
2021년05월_계_50~59세,"8,606,589","1,509,933","559,326","421,792","509,592","234,190","239,909","207,212","46,469","2,247,171","264,724","270,172","338,051","298,283","312,594","455,782","577,936","113,453"
2021년05월_계_60~69세,"6,957,802","1,264,139","540,745","335,269","383,139","167,438","185,594","150,619","31,833","1,600,436","250,142","233,727","290,722","262,317","278,221","422,381","479,373","81,707"
2021년05월_계_70~79세,"3,694,633","696,670","294,051","176,065","177,840","93,732","91,503","61,261","14,457","768,097","134,102","119,892","171,113","170,496","191,406","241,308","247,090","45,550"
2021년05월_계_80~89세,"1,774,716","283,490","119,162","80,339","79,701","40,969","41,696","23,300","7,321","359,388","74,025","67,252","101,792","93,082","112,602","138,556","127,635","24,406"
2021년05월_계_90~99세,"255,247","40,827","14,830","9,830","12,508","5,985","5,963","3,116","1,268","53,011","11,329","9,385","14,746","14,093","16,760","19,559","17,947","4,090"
2021년05월_계_100세 이상,"11,062","2,520",754,503,533,243,202,85,37,"2,315",462,330,523,541,609,685,518,202
2021년05월_남_총인구수,"25,775,853","4,654,720","1,648,965","1,184,977","1,470,528","714,101","727,279","579,316","180,778","6,789,327","772,893","809,946","1,081,854","892,833","927,074","1,327,307","1,675,389","338,566"
2021년05월_남_연령구간인구수,"25,775,853","4,654,720","1,648,965","1,184,977","1,470,528","714,101","727,279","579,316","180,778","6,789,327","772,893","809,946","1,081,854","892,833","927,074","1,327,307","1,675,389","338,566"
2021년05월_남_0~9세,"1,986,395","310,505","116,268","88,761","114,400","59,943","57,181","48,966","24,055","576,706","52,931","61,631","86,129","63,920","65,508","95,037","133,891","30,563"
2021년05월_남_10~19세,"2,452,759","393,586","138,490","115,747","139,854","80,051","74,520","58,274","22,029","681,245","70,384","76,671","104,556","89,253","85,570","117,709","168,063","36,757"
2021년05월_남_20~29세,"3,545,802","698,539","221,156","169,020","206,594","108,619","110,845","79,729","19,507","954,382","99,712","109,643","132,913","113,292","110,985","159,701","207,779","43,386"
2021년05월_남_30~39세,"3,500,737","727,357","211,072","150,980","207,679","93,653","100,259","78,935","29,930","980,791","85,976","102,448","142,098","95,730","95,917","152,564","204,210","41,138"
2021년05월_남_40~49세,"4,178,536","744,902","255,182","186,596","245,819","118,291","116,591","94,749","35,768","1,167,514","113,383","123,676","174,050","135,999","136,838","197,873","273,754","57,551"
2021년05월_남_50~59세,"4,350,445","743,420","272,092","206,719","254,664","116,299","119,735","105,313","24,260","1,139,132","136,626","139,032","179,102","154,800","168,207","236,333","295,652","59,059"
2021년05월_남_60~69세,"3,405,985","597,120","255,579","159,410","189,846","79,766","90,083","75,837","15,768","795,828","124,676","117,251","145,794","129,661","140,481","210,066","238,250","40,569"
2021년05월_남_70~79세,"1,668,937","317,430","132,747","77,140","81,296","41,627","41,654","29,164","6,693","349,523","60,273","54,234","77,973","75,685","84,518","108,264","110,010","20,706"
2021년05월_남_80~89세,"627,553","110,869","43,098","28,380","27,624","14,545","15,015","7,823","2,498","131,185","26,348","23,227","35,719","31,300","35,674","45,692","40,341","8,215"
2021년05월_남_90~99세,"56,377","10,357","3,134","2,107","2,625","1,279","1,361",515,262,"12,462","2,470","2,053","3,433","3,103","3,308","3,956","3,345",607
2021년05월_남_100세 이상,"2,327",635,147,117,127,28,35,11,8,559,114,80,87,90,68,112,94,15
2021년05월_여_총인구수,"25,907,172","4,920,635","1,718,369","1,217,963","1,465,854","729,053","729,882","547,859","181,258","6,699,583","762,598","787,009","1,035,406","901,849","915,349","1,306,285","1,651,909","336,311"
2021년05월_여_연령구간인구수,"25,907,172","4,920,635","1,718,369","1,217,963","1,465,854","729,053","729,882","547,859","181,258","6,699,583","762,598","787,009","1,035,406","901,849","915,349","1,306,285","1,651,909","336,311"
2021년05월_여_0~9세,"1,887,779","294,548","110,361","84,508","108,352","56,865","53,986","46,361","23,019","549,413","50,456","58,927","82,149","60,603","63,043","89,534","126,775","28,879"
2021년05월_여_10~19세,"2,293,344","374,740","130,039","105,925","132,193","74,437","69,705","52,454","21,817","643,789","65,090","70,818","96,843","83,035","79,448","106,314","153,232","33,465"
2021년05월_여_20~29세,"3,208,481","747,179","203,973","147,846","189,787","99,382","100,468","61,878","18,587","857,650","77,518","87,476","107,680","96,272","87,378","121,816","164,861","38,730"
2021년05월_여_30~39세,"3,287,335","728,009","200,984","138,337","193,755","89,522","91,454","69,461","31,388","919,433","77,646","90,066","121,620","89,710","86,301","132,963","186,211","40,475"
2021년05월_여_40~49세,"4,041,808","758,411","250,941","191,422","234,636","119,834","117,285","90,775","34,551","1,127,569","107,611","114,841","152,275","128,056","119,243","181,810","258,023","54,525"
