,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020년09월_계_총인구수,"177,266","14,044","12,363","15,045","27,936","11,634","26,262","18,698","9,966","12,544","28,774"
2020년09월_계_연령구간인구수,"177,266","14,044","12,363","15,045","27,936","11,634","26,262","18,698","9,966","12,544","28,774"
2020년09월_계_0~9세,"10,452",710,867,625,"1,718",728,"1,341","1,137",329,709,"2,288"
2020년09월_계_10~19세,"11,978","1,206","1,205",680,"1,974",863,"1,677","1,269",437,827,"1,840"
2020년09월_계_20~29세,"24,394","1,873","1,424","1,820","3,152","1,260","5,112","2,895","1,896","1,632","3,330"
2020년09월_계_30~39세,"24,071","1,653","1,265","1,836","3,472","1,473","4,112","2,698","1,505","1,853","4,204"
2020년09월_계_40~49세,"25,669","2,051","1,987","1,920","3,747","1,752","3,732","2,869","1,275","1,908","4,428"
2020년09월_계_50~59세,"27,783","2,420","2,187","2,349","4,453","1,891","3,578","2,765","1,426","1,978","4,736"
2020년09월_계_60~69세,"28,309","2,120","1,889","2,972","5,071","1,979","3,604","2,579","1,625","1,915","4,555"
2020년09월_계_70~79세,"17,051","1,295","1,047","1,970","2,948","1,234","2,191","1,754","1,031","1,141","2,440"
2020년09월_계_80~89세,"6,619",610,399,782,"1,224",398,796,663,394,520,833
2020년09월_계_90~99세,876,100,83,85,169,52,112,62,42,56,115
2020년09월_계_100세 이상,64,6,10,6,8,4,7,7,6,5,5
2020년09월_남_총인구수,"83,830","6,463","5,765","7,200","13,417","5,716","12,323","8,709","4,726","5,655","13,856"
2020년09월_남_연령구간인구수,"83,830","6,463","5,765","7,200","13,417","5,716","12,323","8,709","4,726","5,655","13,856"
2020년09월_남_0~9세,"5,376",337,436,322,898,376,719,583,175,376,"1,154"
2020년09월_남_10~19세,"6,156",613,605,350,"1,033",460,897,636,220,407,935
2020년09월_남_20~29세,"11,910",934,743,894,"1,639",704,"2,263","1,344",841,784,"1,764"
2020년09월_남_30~39세,"11,992",803,598,972,"1,760",750,"2,074","1,316",782,863,"2,074"
2020년09월_남_40~49세,"12,589",924,894,"1,011","1,884",912,"1,815","1,406",664,852,"2,227"
2020년09월_남_50~59세,"12,738","1,113",954,"1,104","2,042",900,"1,620","1,265",675,874,"2,191"
2020년09월_남_60~69세,"12,653",929,865,"1,319","2,262",899,"1,601","1,133",758,803,"2,084"
2020년09월_남_70~79세,"7,673",548,495,898,"1,386",547,"1,002",743,454,495,"1,105"
2020년09월_남_80~89세,"2,514",227,158,310,464,160,296,264,149,188,298
2020년09월_남_90~99세,216,35,14,20,46,8,33,17,8,13,22
2020년09월_남_100세 이상,13,0,3,0,3,0,3,2,0,0,2
2020년09월_여_총인구수,"93,436","7,581","6,598","7,845","14,519","5,918","13,939","9,989","5,240","6,889","14,918"
2020년09월_여_연령구간인구수,"93,436","7,581","6,598","7,845","14,519","5,918","13,939","9,989","5,240","6,889","14,918"
2020년09월_여_0~9세,"5,076",373,431,303,820,352,622,554,154,333,"1,134"
2020년09월_여_10~19세,"5,822",593,600,330,941,403,780,633,217,420,905
2020년09월_여_20~29세,"12,484",939,681,926,"1,513",556,"2,849","1,551","1,055",848,"1,566"
2020년09월_여_30~39세,"12,079",850,667,864,"1,712",723,"2,038","1,382",723,990,"2,130"
2020년09월_여_40~49세,"13,080","1,127","1,093",909,"1,863",840,"1,917","1,463",611,"1,056","2,201"
2020년09월_여_50~59세,"15,045","1,307","1,233","1,245","2,411",991,"1,958","1,500",751,"1,104","2,545"
2020년09월_여_60~69세,"15,656","1,191","1,024","1,653","2,809","1,080","2,003","1,446",867,"1,112","2,471"
2020년09월_여_70~79세,"9,378",747,552,"1,072","1,562",687,"1,189","1,011",577,646,"1,335"
2020년09월_여_80~89세,"4,105",383,241,472,760,238,500,399,245,332,535
2020년09월_여_90~99세,660,65,69,65,123,44,79,45,34,43,93
2020년09월_여_100세 이상,51,6,7,6,5,4,4,5,6,5,3
