,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2020년07월_계_총인구수,"352,316","35,326","34,558","40,231","22,296","25,127","37,913","25,626","27,366","28,156","29,176","46,541"
2020년07월_계_연령구간인구수,"352,316","35,326","34,558","40,231","22,296","25,127","37,913","25,626","27,366","28,156","29,176","46,541"
2020년07월_계_0~9세,"35,941","3,408","1,557","3,596","2,344","2,594","5,153","3,017","2,708","2,678","3,266","5,620"
2020년07월_계_10~19세,"38,567","3,442","1,549","3,274","3,049","3,505","4,568","2,920","3,304","3,183","4,608","5,165"
2020년07월_계_20~29세,"52,765","4,470","8,230","8,307","2,896","3,211","3,885","3,979","4,305","4,274","3,739","5,469"
2020년07월_계_30~39세,"57,009","4,588","6,635","6,578","3,285","3,235","6,590","5,223","4,478","4,246","4,072","8,079"
2020년07월_계_40~49세,"60,845","5,994","4,373","5,597","4,366","4,901","7,362","4,126","4,448","4,867","6,104","8,707"
2020년07월_계_50~59세,"54,086","6,285","5,638","5,997","3,242","3,982","5,205","3,474","4,488","4,632","4,348","6,795"
2020년07월_계_60~69세,"32,455","4,197","3,861","4,365","1,750","2,020","3,257","1,824","2,352","2,385","2,054","4,390"
2020년07월_계_70~79세,"13,294","1,903","1,752","1,655",867,"1,076","1,286",645,728,"1,156",655,"1,571"
2020년07월_계_80~89세,"6,253",904,800,741,424,516,514,363,454,632,280,625
2020년07월_계_90~99세,"1,045",126,140,115,72,86,89,54,98,99,49,117
2020년07월_계_100세 이상,56,9,23,6,1,1,4,1,3,4,1,3
2020년07월_남_총인구수,"177,867","17,947","17,875","20,921","11,003","12,356","18,645","13,425","13,991","14,432","14,938","22,334"
2020년07월_남_연령구간인구수,"177,867","17,947","17,875","20,921","11,003","12,356","18,645","13,425","13,991","14,432","14,938","22,334"
2020년07월_남_0~9세,"18,521","1,737",791,"1,811","1,200","1,327","2,621","1,565","1,458","1,390","1,719","2,902"
2020년07월_남_10~19세,"20,008","1,836",804,"1,711","1,582","1,800","2,330","1,532","1,682","1,638","2,410","2,683"
2020년07월_남_20~29세,"28,269","2,441","4,231","4,874","1,471","1,653","2,038","2,203","2,345","2,386","1,975","2,652"
2020년07월_남_30~39세,"29,576","2,367","3,816","3,559","1,609","1,601","3,128","2,872","2,426","2,280","2,092","3,826"
2020년07월_남_40~49세,"29,983","3,085","2,346","2,818","2,060","2,298","3,621","2,073","2,122","2,475","2,906","4,179"
2020년07월_남_50~59세,"26,902","3,146","2,777","2,869","1,655","2,022","2,528","1,788","2,210","2,390","2,371","3,146"
2020년07월_남_60~69세,"16,190","2,114","1,998","2,191",854,983,"1,565",950,"1,250","1,197","1,067","2,021"
2020년07월_남_70~79세,"6,128",908,776,796,394,471,613,331,338,461,316,724
2020년07월_남_80~89세,"2,038",286,289,257,157,182,183,99,130,193,71,191
2020년07월_남_90~99세,239,24,44,34,20,18,17,12,28,21,11,10
2020년07월_남_100세 이상,13,3,3,1,1,1,1,0,2,1,0,0
2020년07월_여_총인구수,"174,449","17,379","16,683","19,310","11,293","12,771","19,268","12,201","13,375","13,724","14,238","24,207"
2020년07월_여_연령구간인구수,"174,449","17,379","16,683","19,310","11,293","12,771","19,268","12,201","13,375","13,724","14,238","24,207"
2020년07월_여_0~9세,"17,420","1,671",766,"1,785","1,144","1,267","2,532","1,452","1,250","1,288","1,547","2,718"
2020년07월_여_10~19세,"18,559","1,606",745,"1,563","1,467","1,705","2,238","1,388","1,622","1,545","2,198","2,482"
2020년07월_여_20~29세,"24,496","2,029","3,999","3,433","1,425","1,558","1,847","1,776","1,960","1,888","1,764","2,817"
2020년07월_여_30~39세,"27,433","2,221","2,819","3,019","1,676","1,634","3,462","2,351","2,052","1,966","1,980","4,253"
2020년07월_여_40~49세,"30,862","2,909","2,027","2,779","2,306","2,603","3,741","2,053","2,326","2,392","3,198","4,528"
2020년07월_여_50~59세,"27,184","3,139","2,861","3,128","1,587","1,960","2,677","1,686","2,278","2,242","1,977","3,649"
2020년07월_여_60~69세,"16,265","2,083","1,863","2,174",896,"1,037","1,692",874,"1,102","1,188",987,"2,369"
2020년07월_여_70~79세,"7,166",995,976,859,473,605,673,314,390,695,339,847
2020년07월_여_80~89세,"4,215",618,511,484,267,334,331,264,324,439,209,434
2020년07월_여_90~99세,806,102,96,81,52,68,72,42,70,78,38,107
2020년07월_여_100세 이상,43,6,20,5,0,0,3,1,1,3,1,3
