,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년07월_계_총인구수,"398,645","22,613","30,912","28,821","27,472","15,966","18,141","32,155","16,221","23,299","9,937","34,777","12,805","8,722","16,215","13,987","23,558","38,092","24,952"
2021년07월_계_연령구간인구수,"398,645","22,613","30,912","28,821","27,472","15,966","18,141","32,155","16,221","23,299","9,937","34,777","12,805","8,722","16,215","13,987","23,558","38,092","24,952"
2021년07월_계_0~9세,"27,724","1,254","2,849","2,903","2,172","1,239","1,204","2,007","1,047","1,718",496,"2,529",467,227,"1,238",350,863,"3,922","1,239"
2021년07월_계_10~19세,"37,248","1,530","3,092","3,122","2,507","1,171","1,971","2,828","1,789","2,941",498,"4,137",605,493,"1,529",727,"1,438","4,913","1,957"
2021년07월_계_20~29세,"47,818","2,967","3,428","2,779","3,419","1,677","2,773","5,042","1,915","2,919","1,136","4,128","1,405",960,"2,029","1,575","2,367","4,164","3,135"
2021년07월_계_30~39세,"45,847","2,892","3,784","3,417","3,519","2,223","2,072","4,480","1,624","2,407","1,247","3,575","1,503",782,"1,927","1,110","1,882","4,610","2,793"
2021년07월_계_40~49세,"64,822","3,369","5,232","5,028","4,690","2,735","3,173","4,949","2,496","3,986","1,340","6,066","1,715","1,106","2,602","1,701","3,070","7,740","3,824"
2021년07월_계_50~59세,"69,397","3,836","5,379","4,797","4,769","2,779","3,194","5,677","2,949","4,287","1,697","6,268","2,307","1,642","2,913","2,637","4,117","5,546","4,603"
2021년07월_계_60~69세,"59,577","3,692","4,022","3,956","3,580","2,511","1,929","4,021","2,329","2,807","1,988","4,802","2,581","1,887","2,557","2,858","5,142","4,352","4,563"
2021년07월_계_70~79세,"30,942","2,130","2,083","1,874","1,864","1,135","1,102","1,961","1,217","1,371","1,002","2,243","1,544","1,099","1,042","2,041","3,179","2,073","1,982"
2021년07월_계_80~89세,"13,436",829,899,825,837,411,642,"1,053",751,762,466,890,623,481,331,886,"1,315",680,755
2021년07월_계_90~99세,"1,759",107,140,116,97,78,78,134,103,99,66,137,52,45,45,97,180,88,97
2021년07월_계_100세 이상,75,7,4,4,18,7,3,3,1,2,1,2,3,0,2,5,5,4,4
2021년07월_남_총인구수,"191,773","10,760","14,720","13,656","13,232","7,576","8,472","14,824","7,620","11,064","4,795","17,176","6,219","4,283","7,989","7,005","11,465","18,748","12,169"
2021년07월_남_연령구간인구수,"191,773","10,760","14,720","13,656","13,232","7,576","8,472","14,824","7,620","11,064","4,795","17,176","6,219","4,283","7,989","7,005","11,465","18,748","12,169"
2021년07월_남_0~9세,"14,342",623,"1,482","1,500","1,145",597,607,"1,048",526,905,270,"1,299",222,127,647,176,452,"2,076",640
2021년07월_남_10~19세,"19,196",774,"1,580","1,555","1,304",611,"1,039","1,433",933,"1,493",275,"2,176",321,268,786,364,758,"2,525","1,001"
2021년07월_남_20~29세,"24,934","1,460","1,774","1,476","1,742",862,"1,306","2,368","1,030","1,530",617,"2,242",782,536,"1,081",894,"1,308","2,194","1,732"
2021년07월_남_30~39세,"22,413","1,444","1,731","1,470","1,680","1,050",962,"2,132",782,"1,141",662,"1,716",829,462,973,664,"1,060","2,188","1,467"
2021년07월_남_40~49세,"30,820","1,607","2,373","2,320","2,191","1,337","1,379","2,195","1,098","1,727",716,"2,834",924,587,"1,292",962,"1,672","3,664","1,942"
2021년07월_남_50~59세,"33,062","1,806","2,572","2,196","2,284","1,273","1,562","2,525","1,367","2,027",766,"3,126","1,109",815,"1,349","1,382","2,033","2,769","2,101"
2021년07월_남_60~69세,"28,099","1,690","1,877","1,884","1,705","1,171",916,"1,905","1,089","1,372",905,"2,377","1,165",856,"1,229","1,402","2,403","2,052","2,101"
2021년07월_남_70~79세,"13,705",990,958,880,824,504,445,795,498,571,422,"1,058",652,466,521,824,"1,344","1,014",939
2021년07월_남_80~89세,"4,788",341,344,342,329,149,223,384,268,276,151,318,202,158,102,317,404,250,230
2021년07월_남_90~99세,392,22,28,32,24,20,32,38,29,21,11,29,12,8,8,18,30,15,15
2021년07월_남_100세 이상,22,3,1,1,4,2,1,1,0,1,0,1,1,0,1,2,1,1,1
2021년07월_여_총인구수,"206,872","11,853","16,192","15,165","14,240","8,390","9,669","17,331","8,601","12,235","5,142","17,601","6,586","4,439","8,226","6,982","12,093","19,344","12,783"
2021년07월_여_연령구간인구수,"206,872","11,853","16,192","15,165","14,240","8,390","9,669","17,331","8,601","12,235","5,142","17,601","6,586","4,439","8,226","6,982","12,093","19,344","12,783"
2021년07월_여_0~9세,"13,382",631,"1,367","1,403","1,027",642,597,959,521,813,226,"1,230",245,100,591,174,411,"1,846",599
2021년07월_여_10~19세,"18,052",756,"1,512","1,567","1,203",560,932,"1,395",856,"1,448",223,"1,961",284,225,743,363,680,"2,388",956
2021년07월_여_20~29세,"22,884","1,507","1,654","1,303","1,677",815,"1,467","2,674",885,"1,389",519,"1,886",623,424,948,681,"1,059","1,970","1,403"
2021년07월_여_30~39세,"23,434","1,448","2,053","1,947","1,839","1,173","1,110","2,348",842,"1,266",585,"1,859",674,320,954,446,822,"2,422","1,326"
2021년07월_여_40~49세,"34,002","1,762","2,859","2,708","2,499","1,398","1,794","2,754","1,398","2,259",624,"3,232",791,519,"1,310",739,"1,398","4,076","1,882"
2021년07월_여_50~59세,"36,335","2,030","2,807","2,601","2,485","1,506","1,632","3,152","1,582","2,260",931,"3,142","1,198",827,"1,564","1,255","2,084","2,777","2,502"
2021년07월_여_60~69세,"31,478","2,002","2,145","2,072","1,875","1,340","1,013","2,116","1,240","1,435","1,083","2,425","1,416","1,031","1,328","1,456","2,739","2,300","2,462"
2021년07월_여_70~79세,"17,237","1,140","1,125",994,"1,040",631,657,"1,166",719,800,580,"1,185",892,633,521,"1,217","1,835","1,059","1,043"
2021년07월_여_80~89세,"8,648",488,555,483,508,262,419,669,483,486,315,572,421,323,229,569,911,430,525
2021년07월_여_90~99세,"1,367",85,112,84,73,58,46,96,74,78,55,108,40,37,37,79,150,73,82
2021년07월_여_100세 이상,53,4,3,3,14,5,2,2,1,1,1,1,2,0,1,3,4,3,3
