,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동
2020년05월_계_총인구수,"376,753","110,532","44,080","22,870","9,144","14,552","1,500","2,666","43,434","60,882","67,093"
2020년05월_계_연령구간인구수,"376,753","110,532","44,080","22,870","9,144","14,552","1,500","2,666","43,434","60,882","67,093"
2020년05월_계_0~9세,"35,836","11,433","3,768","1,440",512,"1,054",41,150,"4,146","5,040","8,252"
2020년05월_계_10~19세,"33,608","8,673","4,788","1,878",613,"1,181",73,217,"4,014","5,698","6,473"
2020년05월_계_20~29세,"44,433","13,258","5,158","2,841",961,"1,107",113,183,"5,723","7,835","7,254"
2020년05월_계_30~39세,"58,846","20,579","5,849","2,793",969,"1,448",91,228,"6,634","8,522","11,733"
2020년05월_계_40~49세,"65,372","19,330","7,861","3,591","1,331","2,332",164,398,"7,368","10,520","12,477"
2020년05월_계_50~59세,"62,593","16,997","7,566","4,563","1,786","2,519",259,501,"7,420","11,124","9,858"
2020년05월_계_60~69세,"45,466","12,203","5,342","3,264","1,673","2,751",371,499,"4,908","7,530","6,925"
2020년05월_계_70~79세,"21,397","5,717","2,559","1,609",830,"1,504",242,301,"2,288","3,335","3,012"
2020년05월_계_80~89세,"7,899","2,005","1,039",764,400,556,127,160,801,"1,099",948
2020년05월_계_90~99세,"1,208",322,146,108,61,94,19,27,116,158,157
2020년05월_계_100세 이상,95,15,4,19,8,6,0,2,16,21,4
2020년05월_남_총인구수,"192,894","56,134","22,977","12,217","5,040","7,411",775,"1,427","22,106","30,829","33,978"
2020년05월_남_연령구간인구수,"192,894","56,134","22,977","12,217","5,040","7,411",775,"1,427","22,106","30,829","33,978"
2020년05월_남_0~9세,"18,411","5,898","1,937",730,276,532,20,73,"2,196","2,527","4,222"
2020년05월_남_10~19세,"17,259","4,466","2,476",990,320,636,43,114,"2,024","2,859","3,331"
2020년05월_남_20~29세,"23,479","6,942","2,739","1,580",558,610,58,90,"2,988","4,171","3,743"
2020년05월_남_30~39세,"30,735","10,771","3,093","1,558",560,735,44,129,"3,406","4,543","5,896"
2020년05월_남_40~49세,"34,624","10,304","4,203","1,961",796,"1,288",91,228,"3,829","5,418","6,506"
2020년05월_남_50~59세,"31,931","8,294","4,109","2,535","1,012","1,277",144,288,"3,786","5,520","4,966"
2020년05월_남_60~69세,"22,825","5,906","2,776","1,755",926,"1,335",200,280,"2,478","3,752","3,417"
2020년05월_남_70~79세,"10,380","2,726","1,227",792,419,771,113,150,"1,077","1,595","1,510"
2020년05월_남_80~89세,"2,959",747,388,284,155,205,53,69,301,402,355
2020년05월_남_90~99세,269,76,28,27,16,21,9,6,15,39,32
2020년05월_남_100세 이상,22,4,1,5,2,1,0,0,6,3,0
2020년05월_여_총인구수,"183,859","54,398","21,103","10,653","4,104","7,141",725,"1,239","21,328","30,053","33,115"
2020년05월_여_연령구간인구수,"183,859","54,398","21,103","10,653","4,104","7,141",725,"1,239","21,328","30,053","33,115"
2020년05월_여_0~9세,"17,425","5,535","1,831",710,236,522,21,77,"1,950","2,513","4,030"
2020년05월_여_10~19세,"16,349","4,207","2,312",888,293,545,30,103,"1,990","2,839","3,142"
2020년05월_여_20~29세,"20,954","6,316","2,419","1,261",403,497,55,93,"2,735","3,664","3,511"
2020년05월_여_30~39세,"28,111","9,808","2,756","1,235",409,713,47,99,"3,228","3,979","5,837"
2020년05월_여_40~49세,"30,748","9,026","3,658","1,630",535,"1,044",73,170,"3,539","5,102","5,971"
2020년05월_여_50~59세,"30,662","8,703","3,457","2,028",774,"1,242",115,213,"3,634","5,604","4,892"
2020년05월_여_60~69세,"22,641","6,297","2,566","1,509",747,"1,416",171,219,"2,430","3,778","3,508"
2020년05월_여_70~79세,"11,017","2,991","1,332",817,411,733,129,151,"1,211","1,740","1,502"
2020년05월_여_80~89세,"4,940","1,258",651,480,245,351,74,91,500,697,593
2020년05월_여_90~99세,939,246,118,81,45,73,10,21,101,119,125
2020년05월_여_100세 이상,73,11,3,14,6,5,0,2,10,18,4
