,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021년03월_계_총인구수,"175,572","14,596","7,127","12,593","16,471","27,684","19,533","11,020","16,534","13,814","6,634","13,242","16,324"
2021년03월_계_연령구간인구수,"175,572","14,596","7,127","12,593","16,471","27,684","19,533","11,020","16,534","13,814","6,634","13,242","16,324"
2021년03월_계_0~9세,"11,035",635,305,671,940,"2,004",969,494,"2,018",767,449,846,937
2021년03월_계_10~19세,"16,387","1,000",481,995,"1,655","3,817","1,565",877,"1,505","1,238",612,"1,052","1,590"
2021년03월_계_20~29세,"24,396","2,281",792,"1,445","2,292","4,059","2,992","1,497","1,990","2,101","1,024","1,727","2,196"
2021년03월_계_30~39세,"19,904","1,539",837,"1,241","1,583","2,678","2,223","1,089","2,899","1,656",994,"1,616","1,549"
2021년03월_계_40~49세,"26,882","1,934","1,078","1,763","2,568","4,971","3,017","1,513","2,706","2,101","1,189","1,745","2,297"
2021년03월_계_50~59세,"33,452","2,756","1,351","2,341","3,171","5,631","3,704","2,163","2,621","2,642","1,154","2,612","3,306"
2021년03월_계_60~69세,"25,322","2,614","1,317","2,308","2,482","2,725","3,018","1,859","1,749","1,810",740,"2,040","2,660"
2021년03월_계_70~79세,"12,069","1,294",664,"1,172","1,207","1,142","1,423","1,011",654,985,313,"1,044","1,160"
2021년03월_계_80~89세,"5,388",459,252,587,509,582,559,455,343,454,136,505,547
2021년03월_계_90~99세,711,80,49,68,62,72,61,55,48,58,22,54,82
2021년03월_계_100세 이상,26,4,1,2,2,3,2,7,1,2,1,1,0
2021년03월_남_총인구수,"89,343","7,762","3,762","6,411","8,215","13,699","10,146","5,630","8,489","7,338","3,606","6,301","7,984"
2021년03월_남_연령구간인구수,"89,343","7,762","3,762","6,411","8,215","13,699","10,146","5,630","8,489","7,338","3,606","6,301","7,984"
2021년03월_남_0~9세,"5,564",335,162,335,466,"1,003",476,232,"1,038",406,221,416,474
2021년03월_남_10~19세,"8,566",553,264,521,878,"1,944",853,464,785,637,309,524,834
2021년03월_남_20~29세,"13,537","1,266",455,795,"1,260","2,191","1,658",836,"1,093","1,222",594,937,"1,230"
2021년03월_남_30~39세,"10,880",879,439,678,875,"1,348","1,271",615,"1,493",978,619,861,824
2021년03월_남_40~49세,"13,736","1,104",628,931,"1,262","2,231","1,603",808,"1,442","1,148",670,849,"1,060"
2021년03월_남_50~59세,"17,000","1,466",726,"1,238","1,553","2,862","1,908","1,122","1,292","1,438",620,"1,224","1,551"
2021년03월_남_60~69세,"12,521","1,338",696,"1,137","1,158","1,388","1,482",911,899,878,379,940,"1,315"
2021년03월_남_70~79세,"5,490",629,298,550,547,502,665,476,311,447,147,408,510
2021년03월_남_80~89세,"1,902",178,87,206,199,215,218,160,125,169,44,128,173
2021년03월_남_90~99세,144,13,7,20,16,15,11,6,11,15,3,14,13
2021년03월_남_100세 이상,3,1,0,0,1,0,1,0,0,0,0,0,0
2021년03월_여_총인구수,"86,229","6,834","3,365","6,182","8,256","13,985","9,387","5,390","8,045","6,476","3,028","6,941","8,340"
2021년03월_여_연령구간인구수,"86,229","6,834","3,365","6,182","8,256","13,985","9,387","5,390","8,045","6,476","3,028","6,941","8,340"
2021년03월_여_0~9세,"5,471",300,143,336,474,"1,001",493,262,980,361,228,430,463
2021년03월_여_10~19세,"7,821",447,217,474,777,"1,873",712,413,720,601,303,528,756
2021년03월_여_20~29세,"10,859","1,015",337,650,"1,032","1,868","1,334",661,897,879,430,790,966
2021년03월_여_30~39세,"9,024",660,398,563,708,"1,330",952,474,"1,406",678,375,755,725
2021년03월_여_40~49세,"13,146",830,450,832,"1,306","2,740","1,414",705,"1,264",953,519,896,"1,237"
2021년03월_여_50~59세,"16,452","1,290",625,"1,103","1,618","2,769","1,796","1,041","1,329","1,204",534,"1,388","1,755"
2021년03월_여_60~69세,"12,801","1,276",621,"1,171","1,324","1,337","1,536",948,850,932,361,"1,100","1,345"
2021년03월_여_70~79세,"6,579",665,366,622,660,640,758,535,343,538,166,636,650
2021년03월_여_80~89세,"3,486",281,165,381,310,367,341,295,218,285,92,377,374
2021년03월_여_90~99세,567,67,42,48,46,57,50,49,37,43,19,40,69
2021년03월_여_100세 이상,23,3,1,2,1,3,1,7,1,2,1,1,0
