,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년08월_계_총인구수,"1,838,353","219,944","277,752","281,878","116,670","150,643","46,314","27,754","25,161","63,124","39,734","62,439","36,876","34,099","67,797","53,108","89,675","31,418","52,288","43,715","49,171","30,242","38,551"
2021년08월_계_연령구간인구수,"1,838,353","219,944","277,752","281,878","116,670","150,643","46,314","27,754","25,161","63,124","39,734","62,439","36,876","34,099","67,797","53,108","89,675","31,418","52,288","43,715","49,171","30,242","38,551"
2021년08월_계_0~9세,"126,566","16,892","19,946","22,873","10,036","12,863","2,280","1,005","1,054","2,489","1,601","3,333","1,885","1,615","3,722","3,266","8,143","1,253","3,678","2,569","2,986","1,601","1,476"
2021년08월_계_10~19세,"164,135","23,873","25,846","29,569","9,655","15,764","2,980","1,908","1,781","3,701","2,543","5,557","2,644","2,435","5,026","4,342","9,530","2,038","4,084","3,180","3,518","2,172","1,989"
2021년08월_계_20~29세,"196,634","26,624","33,189","37,059","12,302","19,689","4,646","2,250","1,866","4,002","2,824","6,676","2,945","2,766","5,511","4,954","9,309","2,357","4,777","4,003","3,738","2,475","2,672"
2021년08월_계_30~39세,"180,509","24,161","29,939","33,059","14,510","18,036","3,600","1,641","1,549","3,459","2,379","4,651","2,591","2,321","4,726","4,503","10,925","1,913","4,666","3,486","3,722","2,118","2,554"
2021년08월_계_40~49세,"254,139","36,385","41,015","42,668","16,712","23,205","5,156","2,917","2,725","6,066","3,999","7,986","3,890","3,602","7,748","7,270","14,234","3,309","6,277","5,308","6,033","3,459","4,175"
2021년08월_계_50~59세,"311,930","36,020","48,151","49,197","17,290","29,237","8,193","4,811","4,519","9,966","6,511","11,292","6,164","5,559","11,419","9,417","13,198","5,333","8,411","7,410","7,935","4,956","6,941"
2021년08월_계_60~69세,"281,851","29,768","41,924","36,044","16,779","17,964","8,636","5,223","4,826","12,959","7,747","9,986","6,723","6,422","12,638","8,421","11,430","6,155","8,609","7,566","8,719","5,447","7,865"
2021년08월_계_70~79세,"191,117","17,726","24,869","19,156","11,423","8,297","6,201","4,147","3,812","11,337","6,495","7,335","5,352","5,108","9,884","6,180","7,844","4,984","7,029","5,794","7,324","4,573","6,247"
2021년08월_계_80~89세,"113,947","7,476","11,121","10,545","6,888","4,755","3,993","3,275","2,613","7,805","4,843","4,911","3,988","3,659","6,194","4,170","4,422","3,545","4,183","3,858","4,553","3,044","4,106"
2021년08월_계_90~99세,"16,911",979,"1,696","1,642","1,042",813,605,560,400,"1,292",768,681,669,583,887,566,614,516,549,524,626,385,514
2021년08월_계_100세 이상,614,40,56,66,33,20,24,17,16,48,24,31,25,29,42,19,26,15,25,17,17,12,12
2021년08월_남_총인구수,"924,912","109,535","141,667","140,664","58,844","78,647","23,497","13,619","12,241","30,683","19,387","30,870","17,931","16,514","33,556","27,504","45,064","15,815","26,129","22,394","24,757","14,992","20,602"
2021년08월_남_연령구간인구수,"924,912","109,535","141,667","140,664","58,844","78,647","23,497","13,619","12,241","30,683","19,387","30,870","17,931","16,514","33,556","27,504","45,064","15,815","26,129","22,394","24,757","14,992","20,602"
2021년08월_남_0~9세,"64,481","8,729","10,102","11,692","5,172","6,541","1,125",519,513,"1,236",844,"1,695",939,797,"1,881","1,656","4,170",646,"1,858","1,296","1,530",786,754
2021년08월_남_10~19세,"85,027","12,191","13,354","15,404","4,961","8,171","1,551","1,030",936,"1,983","1,299","2,889","1,403","1,252","2,599","2,298","4,845","1,096","2,138","1,675","1,831","1,098","1,023"
2021년08월_남_20~29세,"110,045","14,423","18,903","20,160","6,499","11,433","2,751","1,241","1,036","2,337","1,625","3,631","1,663","1,571","3,116","2,913","5,003","1,398","2,707","2,369","2,195","1,458","1,613"
2021년08월_남_30~39세,"94,956","12,465","16,054","17,025","7,578","9,709","1,846",862,811,"1,888","1,254","2,369","1,372","1,191","2,512","2,434","5,536","1,023","2,402","1,869","2,011","1,130","1,615"
2021년08월_남_40~49세,"135,745","18,788","21,664","21,052","9,249","11,981","2,957","1,614","1,477","3,507","2,285","4,109","2,143","1,979","4,317","4,350","7,479","1,973","3,518","2,990","3,533","2,006","2,774"
2021년08월_남_50~59세,"167,965","18,203","25,367","24,790","9,501","15,948","4,531","2,688","2,519","5,611","3,642","6,146","3,389","3,041","6,353","5,411","7,249","3,131","4,672","4,251","4,470","2,798","4,254"
2021년08월_남_60~69세,"142,359","14,138","20,686","18,056","8,535","9,447","4,498","2,744","2,405","6,451","3,946","5,280","3,345","3,233","6,343","4,384","5,767","3,246","4,390","4,019","4,348","2,767","4,331"
2021년08월_남_70~79세,"84,719","7,844","11,462","8,669","5,033","3,763","2,795","1,793","1,607","4,943","2,806","3,096","2,293","2,210","4,339","2,660","3,566","2,116","3,039","2,555","3,270","1,973","2,887"
2021년08월_남_80~89세,"36,205","2,539","3,765","3,481","2,096","1,512","1,306","1,024",853,"2,448","1,528","1,493","1,254","1,127","1,935","1,287","1,345","1,071","1,293","1,253","1,444",902,"1,249"
2021년08월_남_90~99세,"3,341",209,303,329,214,140,136,101,81,274,155,159,125,106,161,109,101,115,112,116,123,74,98
2021년08월_남_100세 이상,69,6,7,6,6,2,1,3,3,5,3,3,5,7,0,2,3,0,0,1,2,0,4
2021년08월_여_총인구수,"913,441","110,409","136,085","141,214","57,826","71,996","22,817","14,135","12,920","32,441","20,347","31,569","18,945","17,585","34,241","25,604","44,611","15,603","26,159","21,321","24,414","15,250","17,949"
2021년08월_여_연령구간인구수,"913,441","110,409","136,085","141,214","57,826","71,996","22,817","14,135","12,920","32,441","20,347","31,569","18,945","17,585","34,241","25,604","44,611","15,603","26,159","21,321","24,414","15,250","17,949"
2021년08월_여_0~9세,"62,085","8,163","9,844","11,181","4,864","6,322","1,155",486,541,"1,253",757,"1,638",946,818,"1,841","1,610","3,973",607,"1,820","1,273","1,456",815,722
2021년08월_여_10~19세,"79,108","11,682","12,492","14,165","4,694","7,593","1,429",878,845,"1,718","1,244","2,668","1,241","1,183","2,427","2,044","4,685",942,"1,946","1,505","1,687","1,074",966
2021년08월_여_20~29세,"86,589","12,201","14,286","16,899","5,803","8,256","1,895","1,009",830,"1,665","1,199","3,045","1,282","1,195","2,395","2,041","4,306",959,"2,070","1,634","1,543","1,017","1,059"
2021년08월_여_30~39세,"85,553","11,696","13,885","16,034","6,932","8,327","1,754",779,738,"1,571","1,125","2,282","1,219","1,130","2,214","2,069","5,389",890,"2,264","1,617","1,711",988,939
