,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년05월_계_총인구수,"216,083","6,147","28,641","11,308","9,119","13,480","21,856","14,051","15,872","23,683","13,578","29,699","28,649"
2020년05월_계_연령구간인구수,"216,083","6,147","28,641","11,308","9,119","13,480","21,856","14,051","15,872","23,683","13,578","29,699","28,649"
2020년05월_계_0~9세,"13,258",234,"1,693",337,548,796,"1,139",571,979,"1,596",800,"2,093","2,472"
2020년05월_계_10~19세,"15,735",330,"2,048",540,681,974,"1,095",767,"1,199","1,909","1,082","2,375","2,735"
2020년05월_계_20~29세,"29,555",681,"3,773",936,"1,104","1,804","3,923","1,771","2,242","4,070","1,873","3,615","3,763"
2020년05월_계_30~39세,"26,270",614,"3,436",890,"1,057","1,562","3,155","1,656","1,893","3,128","1,572","3,686","3,621"
2020년05월_계_40~49세,"30,192",770,"3,848","1,380","1,280","1,742","2,753","1,861","2,088","3,495","1,845","4,421","4,709"
2020년05월_계_50~59세,"42,442","1,367","5,759","2,271","1,890","2,879","4,343","2,964","3,281","4,027","2,533","5,602","5,526"
2020년05월_계_60~69세,"35,558","1,221","4,999","2,489","1,450","2,353","3,479","2,653","2,631","3,223","2,314","4,952","3,794"
2020년05월_계_70~79세,"16,672",685,"2,251","1,670",796,"1,007","1,484","1,330","1,133","1,604","1,088","2,147","1,477"
2020년05월_계_80~89세,"5,687",218,744,719,276,315,422,419,377,562,428,716,491
2020년05월_계_90~99세,647,22,74,74,33,46,49,51,47,63,43,86,59
2020년05월_계_100세 이상,67,5,16,2,4,2,14,8,2,6,0,6,2
2020년05월_남_총인구수,"109,279","3,289","14,418","5,393","4,676","6,839","11,310","7,449","8,130","11,878","6,677","14,852","14,368"
2020년05월_남_연령구간인구수,"109,279","3,289","14,418","5,393","4,676","6,839","11,310","7,449","8,130","11,878","6,677","14,852","14,368"
2020년05월_남_0~9세,"6,729",126,829,167,275,410,572,299,496,794,412,"1,078","1,271"
2020년05월_남_10~19세,"8,237",174,"1,076",296,359,502,589,411,625,979,561,"1,254","1,411"
2020년05월_남_20~29세,"15,886",389,"2,083",540,642,969,"1,943",964,"1,237","2,102",981,"1,979","2,057"
2020년05월_남_30~39세,"14,084",341,"1,859",491,564,830,"1,732",967,"1,023","1,656",864,"1,916","1,841"
2020년05월_남_40~49세,"15,756",452,"1,985",802,679,913,"1,496","1,064","1,054","1,830",911,"2,256","2,314"
2020년05월_남_50~59세,"21,167",763,"2,784","1,186","1,015","1,405","2,267","1,586","1,617","1,927","1,169","2,723","2,725"
2020년05월_남_60~69세,"17,714",652,"2,460","1,098",690,"1,203","1,824","1,376","1,375","1,614","1,108","2,430","1,884"
2020년05월_남_70~79세,"7,738",317,"1,075",623,357,496,725,620,567,775,509,963,711
2020년05월_남_80~89세,"1,857",71,253,180,89,106,156,152,130,190,155,232,143
2020년05월_남_90~99세,103,4,14,9,5,4,5,8,5,11,7,20,11
2020년05월_남_100세 이상,8,0,0,1,1,1,1,2,1,0,0,1,0
2020년05월_여_총인구수,"106,804","2,858","14,223","5,915","4,443","6,641","10,546","6,602","7,742","11,805","6,901","14,847","14,281"
2020년05월_여_연령구간인구수,"106,804","2,858","14,223","5,915","4,443","6,641","10,546","6,602","7,742","11,805","6,901","14,847","14,281"
2020년05월_여_0~9세,"6,529",108,864,170,273,386,567,272,483,802,388,"1,015","1,201"
2020년05월_여_10~19세,"7,498",156,972,244,322,472,506,356,574,930,521,"1,121","1,324"
2020년05월_여_20~29세,"13,669",292,"1,690",396,462,835,"1,980",807,"1,005","1,968",892,"1,636","1,706"
2020년05월_여_30~39세,"12,186",273,"1,577",399,493,732,"1,423",689,870,"1,472",708,"1,770","1,780"
2020년05월_여_40~49세,"14,436",318,"1,863",578,601,829,"1,257",797,"1,034","1,665",934,"2,165","2,395"
2020년05월_여_50~59세,"21,275",604,"2,975","1,085",875,"1,474","2,076","1,378","1,664","2,100","1,364","2,879","2,801"
2020년05월_여_60~69세,"17,844",569,"2,539","1,391",760,"1,150","1,655","1,277","1,256","1,609","1,206","2,522","1,910"
2020년05월_여_70~79세,"8,934",368,"1,176","1,047",439,511,759,710,566,829,579,"1,184",766
2020년05월_여_80~89세,"3,830",147,491,539,187,209,266,267,247,372,273,484,348
2020년05월_여_90~99세,544,18,60,65,28,42,44,43,42,52,36,66,48
2020년05월_여_100세 이상,59,5,16,1,3,1,13,6,1,6,0,5,2
