카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년03월_계_총인구수,"80,227","3,834","2,622","1,130","2,041","1,834","2,312","1,609","1,669","1,494",955,"1,511","1,861","2,266","1,882","2,116","2,718","3,477","3,331","6,187","6,713","4,153","7,144","17,368"
2021년03월_계_연령구간인구수,"80,227","3,834","2,622","1,130","2,041","1,834","2,312","1,609","1,669","1,494",955,"1,511","1,861","2,266","1,882","2,116","2,718","3,477","3,331","6,187","6,713","4,153","7,144","17,368"
2021년03월_계_0~9세,"4,877",162,95,44,60,67,67,46,66,56,25,54,67,94,89,83,114,176,173,569,561,204,395,"1,610"
2021년03월_계_10~19세,"7,174",187,163,55,112,97,120,70,87,61,34,66,84,150,116,179,194,346,238,627,761,325,614,"2,488"
2021년03월_계_20~29세,"7,514",265,234,61,147,116,128,75,95,106,58,99,125,174,93,139,170,374,362,679,615,475,766,"2,158"
2021년03월_계_30~39세,"6,303",214,152,63,113,82,110,66,93,67,52,56,94,124,99,91,148,271,271,687,636,395,595,"1,824"
2021년03월_계_40~49세,"10,581",349,275,108,164,160,222,131,153,114,69,133,164,217,166,257,290,457,449,939,"1,106",492,980,"3,186"
2021년03월_계_50~59세,"13,620",688,484,177,368,306,354,234,286,258,156,238,332,407,312,504,525,607,523,989,"1,020",688,"1,321","2,843"
2021년03월_계_60~69세,"13,170",796,548,230,429,375,494,360,366,277,228,271,348,438,395,359,598,545,571,822,978,734,"1,166","1,842"
2021년03월_계_70~79세,"9,778",628,388,192,325,332,454,300,272,284,184,302,346,330,349,292,417,438,489,568,680,526,780,902
2021년03월_계_80~89세,"6,210",469,236,169,275,261,316,279,210,244,129,255,262,278,225,190,225,235,215,272,310,261,453,441
2021년03월_계_90~99세,967,76,43,31,47,38,45,47,41,27,20,35,37,52,35,21,35,28,38,33,46,48,71,73
2021년03월_계_100세 이상,33,0,4,0,1,0,2,1,0,0,0,2,2,2,3,1,2,0,2,2,0,5,3,1
2021년03월_남_총인구수,"39,334","1,842","1,337",554,"1,009",907,"1,096",772,843,770,492,764,920,"1,120",925,"1,048","1,337","1,642","1,569","2,981","3,242","2,027","3,610","8,527"
2021년03월_남_연령구간인구수,"39,334","1,842","1,337",554,"1,009",907,"1,096",772,843,770,492,764,920,"1,120",925,"1,048","1,337","1,642","1,569","2,981","3,242","2,027","3,610","8,527"
2021년03월_남_0~9세,"2,588",87,55,23,27,39,26,28,35,34,19,29,35,53,52,43,59,94,93,305,284,105,205,858
2021년03월_남_10~19세,"3,690",95,72,29,55,53,60,35,49,37,20,34,45,84,59,94,115,173,111,295,374,187,317,"1,297"
2021년03월_남_20~29세,"4,204",139,138,36,84,74,79,41,58,66,33,55,75,87,54,78,111,214,202,369,354,276,422,"1,159"
2021년03월_남_30~39세,"3,215",120,81,32,67,46,59,36,55,31,29,29,50,74,55,50,67,133,140,345,304,226,310,876
2021년03월_남_40~49세,"5,412",183,152,73,99,100,141,84,93,70,48,92,102,115,103,127,157,215,217,446,561,235,513,"1,486"
2021년03월_남_50~59세,"7,279",368,273,96,206,178,198,139,165,168,97,145,198,229,184,285,278,300,272,503,522,334,719,"1,422"
2021년03월_남_60~69세,"6,568",427,287,121,242,197,244,185,197,142,119,133,175,245,196,194,293,241,247,402,461,344,592,884
2021년03월_남_70~79세,"4,150",254,185,92,133,130,183,128,120,130,80,145,156,135,145,123,167,177,204,223,272,221,359,388
2021년03월_남_80~89세,"2,004",155,79,45,86,83,98,83,63,85,39,92,77,86,69,53,84,86,73,85,100,84,152,147
2021년03월_남_90~99세,218,14,15,7,10,7,8,12,8,7,8,9,7,12,7,1,6,9,9,7,10,14,21,10
2021년03월_남_100세 이상,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0
2021년03월_여_총인구수,"40,893","1,992","1,285",576,"1,032",927,"1,216",837,826,724,463,747,941,"1,146",957,"1,068","1,381","1,835","1,762","3,206","3,471","2,126","3,534","8,841"
2021년03월_여_연령구간인구수,"40,893","1,992","1,285",576,"1,032",927,"1,216",837,826,724,463,747,941,"1,146",957,"1,068","1,381","1,835","1,762","3,206","3,471","2,126","3,534","8,841"
2021년03월_여_0~9세,"2,289",75,40,21,33,28,41,18,31,22,6,25,32,41,37,40,55,82,80,264,277,99,190,752
2021년03월_여_10~19세,"3,484",92,91,26,57,44,60,35,38,24,14,32,39,66,57,85,79,173,127,332,387,138,297,"1,191"
2021년03월_여_20~29세,"3,310",126,96,25,63,42,49,34,37,40,25,44,50,87,39,61,59,160,160,310,261,199,344,999
2021년03월_여_30~39세,"3,088",94,71,31,46,36,51,30,38,36,23,27,44,50,44,41,81,138,131,342,332,169,285,948
2021년03월_여_40~49세,"5,169",166,123,35,65,60,81,47,60,44,21,41,62,102,63,130,133,242,232,493,545,257,467,"1,700"
2021년03월_여_50~59세,"6,341",320,211,81,162,128,156,95,121,90,59,93,134,178,128,219,247,307,251,486,498,354,602,"1,421"
2021년03월_여_60~69세,"6,602",369,261,109,187,178,250,175,169,135,109,138,173,193,199,165,305,304,324,420,517,390,574,958
2021년03월_여_70~79세,"5,628",374,203,100,192,202,271,172,152,154,104,157,190,195,204,169,250,261,285,345,408,305,421,514
2021년03월_여_80~89세,"4,206",314,157,124,189,178,218,196,147,159,90,163,185,192,156,137,141,149,142,187,210,177,301,294
2021년03월_여_90~99세,749,62,28,24,37,31,37,35,33,20,12,26,30,40,28,20,29,19,29,26,36,34,50,63
2021년03월_여_100세 이상,27,0,4,0,1,0,2,0,0,0,0,1,2,2,2,1,2,0,1,1,0,4,3,1
