,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020년11월_계_총인구수,"104,736","7,481","3,297","2,985","5,575","4,243","4,682","4,680","5,271","2,962","3,250","4,669","8,295","5,435","7,972","19,461","14,478"
2020년11월_계_연령구간인구수,"104,736","7,481","3,297","2,985","5,575","4,243","4,682","4,680","5,271","2,962","3,250","4,669","8,295","5,435","7,972","19,461","14,478"
2020년11월_계_0~9세,"5,824",271,101,72,176,162,187,119,163,78,81,192,443,362,319,"1,428","1,670"
2020년11월_계_10~19세,"8,228",402,133,131,283,194,365,221,298,154,89,340,710,568,555,"2,063","1,722"
2020년11월_계_20~29세,"11,346",493,210,196,329,349,469,296,381,195,174,570,951,753,875,"3,228","1,877"
2020년11월_계_30~39세,"9,507",491,203,180,302,319,371,275,340,152,188,383,851,524,691,"2,282","1,955"
2020년11월_계_40~49세,"13,342",800,270,235,513,471,584,432,543,259,310,589,"1,145",783,992,"3,022","2,394"
2020년11월_계_50~59세,"18,552","1,351",617,505,"1,041",967,971,821,944,528,633,817,"1,412",882,"1,563","3,256","2,244"
2020년11월_계_60~69세,"18,261","1,747",742,641,"1,365",979,843,"1,106","1,123",665,849,787,"1,418",851,"1,461","2,314","1,370"
2020년11월_계_70~79세,"11,479","1,112",561,534,880,505,514,738,822,491,541,599,855,440,967,"1,195",725
2020년11월_계_80~89세,"7,111",717,403,425,595,252,324,571,559,395,330,334,446,239,492,588,441
2020년11월_계_90~99세,"1,024",90,52,63,86,44,53,97,91,41,50,55,57,31,56,81,77
2020년11월_계_100세 이상,62,7,5,3,5,1,1,4,7,4,5,3,7,2,1,4,3
2020년11월_남_총인구수,"52,394","3,764","1,674","1,547","2,847","2,233","2,424","2,427","2,737","1,482","1,455","2,329","4,075","2,711","4,017","9,521","7,151"
2020년11월_남_연령구간인구수,"52,394","3,764","1,674","1,547","2,847","2,233","2,424","2,427","2,737","1,482","1,455","2,329","4,075","2,711","4,017","9,521","7,151"
2020년11월_남_0~9세,"3,024",148,44,37,92,98,87,66,87,44,41,101,239,184,166,747,843
2020년11월_남_10~19세,"4,249",205,87,65,151,112,186,119,146,72,44,181,348,282,288,"1,061",902
2020년11월_남_20~29세,"6,291",306,113,131,182,203,280,191,239,104,105,320,513,372,508,"1,707","1,017"
2020년11월_남_30~39세,"5,073",295,120,104,165,187,200,163,207,97,99,217,477,278,402,"1,137",925
2020년11월_남_40~49세,"7,041",459,171,144,307,249,339,270,339,154,130,309,595,409,548,"1,470","1,148"
2020년11월_남_50~59세,"9,560",657,352,296,599,513,524,433,534,296,272,419,711,455,806,"1,564","1,129"
2020년11월_남_60~69세,"9,122",900,387,344,694,513,441,589,577,339,389,384,654,439,698,"1,074",700
2020년11월_남_70~79세,"5,264",504,259,259,433,240,250,353,396,218,240,261,362,215,416,535,323
2020년11월_남_80~89세,"2,485",264,120,155,200,104,107,213,182,149,118,122,160,72,172,207,140
2020년11월_남_90~99세,272,22,21,12,22,14,10,30,30,8,17,15,15,4,13,16,23
2020년11월_남_100세 이상,13,4,0,0,2,0,0,0,0,1,0,0,1,1,0,3,1
2020년11월_여_총인구수,"52,342","3,717","1,623","1,438","2,728","2,010","2,258","2,253","2,534","1,480","1,795","2,340","4,220","2,724","3,955","9,940","7,327"
2020년11월_여_연령구간인구수,"52,342","3,717","1,623","1,438","2,728","2,010","2,258","2,253","2,534","1,480","1,795","2,340","4,220","2,724","3,955","9,940","7,327"
2020년11월_여_0~9세,"2,800",123,57,35,84,64,100,53,76,34,40,91,204,178,153,681,827
2020년11월_여_10~19세,"3,979",197,46,66,132,82,179,102,152,82,45,159,362,286,267,"1,002",820
2020년11월_여_20~29세,"5,055",187,97,65,147,146,189,105,142,91,69,250,438,381,367,"1,521",860
2020년11월_여_30~39세,"4,434",196,83,76,137,132,171,112,133,55,89,166,374,246,289,"1,145","1,030"
2020년11월_여_40~49세,"6,301",341,99,91,206,222,245,162,204,105,180,280,550,374,444,"1,552","1,246"
2020년11월_여_50~59세,"8,992",694,265,209,442,454,447,388,410,232,361,398,701,427,757,"1,692","1,115"
2020년11월_여_60~69세,"9,139",847,355,297,671,466,402,517,546,326,460,403,764,412,763,"1,240",670
2020년11월_여_70~79세,"6,215",608,302,275,447,265,264,385,426,273,301,338,493,225,551,660,402
2020년11월_여_80~89세,"4,626",453,283,270,395,148,217,358,377,246,212,212,286,167,320,381,301
2020년11월_여_90~99세,752,68,31,51,64,30,43,67,61,33,33,40,42,27,43,65,54
2020년11월_여_100세 이상,49,3,5,3,3,1,1,4,7,3,5,3,6,1,1,1,2
