,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2021년04월_계_총인구수,"812,158","63,663","89,537","41,552","130,604","86,069","81,355","56,719","95,610","83,093","83,956"
2021년04월_계_연령구간인구수,"812,158","63,663","89,537","41,552","130,604","86,069","81,355","56,719","95,610","83,093","83,956"
2021년04월_계_0~9세,"55,482","2,983","5,429","2,707","9,620","7,788","4,542","3,713","9,470","4,358","4,872"
2021년04월_계_10~19세,"69,159","3,826","7,099","3,820","11,161","9,769","6,257","4,257","9,293","6,865","6,812"
2021년04월_계_20~29세,"115,879","10,064","12,788","6,046","19,262","12,056","11,566","7,790","11,253","12,466","12,588"
2021년04월_계_30~39세,"114,038","9,348","11,900","5,417","21,359","12,453","11,085","8,099","14,024","9,652","10,701"
2021년04월_계_40~49세,"127,571","9,448","13,785","6,306","20,495","15,139","12,218","7,824","17,353","12,290","12,713"
2021년04월_계_50~59세,"145,892","11,563","16,393","7,604","22,551","15,224","14,547","10,096","14,303","16,828","16,783"
2021년04월_계_60~69세,"113,955","9,831","13,475","6,029","17,109","9,159","12,699","9,216","11,933","12,338","12,166"
2021년04월_계_70~79세,"46,738","4,588","5,859","2,376","5,882","2,934","5,684","3,909","5,264","5,392","4,850"
2021년04월_계_80~89세,"20,174","1,747","2,475","1,041","2,658","1,301","2,381","1,571","2,308","2,544","2,148"
2021년04월_계_90~99세,"3,122",252,314,195,487,240,360,229,386,350,309
2021년04월_계_100세 이상,148,13,20,11,20,6,16,15,23,10,14
2021년04월_남_총인구수,"402,851","32,352","44,781","20,548","63,115","42,308","40,311","28,007","46,859","41,615","42,955"
2021년04월_남_연령구간인구수,"402,851","32,352","44,781","20,548","63,115","42,308","40,311","28,007","46,859","41,615","42,955"
2021년04월_남_0~9세,"28,545","1,591","2,782","1,398","4,967","3,965","2,352","1,911","4,857","2,208","2,514"
2021년04월_남_10~19세,"35,457","1,953","3,696","1,989","5,638","4,992","3,232","2,134","4,631","3,590","3,602"
2021년04월_남_20~29세,"59,790","5,153","6,657","3,086","9,416","6,176","6,115","4,070","5,795","6,568","6,754"
2021년04월_남_30~39세,"58,682","5,141","6,200","2,780","10,569","5,984","5,920","4,280","6,842","5,163","5,803"
2021년04월_남_40~49세,"64,362","5,169","7,194","3,108","9,795","7,129","6,204","3,912","8,847","6,252","6,752"
2021년04월_남_50~59세,"70,741","5,816","8,083","3,654","10,412","7,381","6,940","4,740","6,840","8,410","8,465"
2021년04월_남_60~69세,"56,139","4,717","6,515","2,988","8,612","4,799","6,003","4,462","5,712","6,172","6,159"
2021년04월_남_70~79세,"21,602","2,155","2,691","1,153","2,750","1,412","2,595","1,883","2,443","2,353","2,167"
2021년04월_남_80~89세,"6,782",612,868,335,853,415,872,554,791,815,667
2021년04월_남_90~99세,712,43,89,53,98,52,74,58,93,83,69
2021년04월_남_100세 이상,39,2,6,4,5,3,4,3,8,1,3
2021년04월_여_총인구수,"409,307","31,311","44,756","21,004","67,489","43,761","41,044","28,712","48,751","41,478","41,001"
2021년04월_여_연령구간인구수,"409,307","31,311","44,756","21,004","67,489","43,761","41,044","28,712","48,751","41,478","41,001"
2021년04월_여_0~9세,"26,937","1,392","2,647","1,309","4,653","3,823","2,190","1,802","4,613","2,150","2,358"
2021년04월_여_10~19세,"33,702","1,873","3,403","1,831","5,523","4,777","3,025","2,123","4,662","3,275","3,210"
2021년04월_여_20~29세,"56,089","4,911","6,131","2,960","9,846","5,880","5,451","3,720","5,458","5,898","5,834"
2021년04월_여_30~39세,"55,356","4,207","5,700","2,637","10,790","6,469","5,165","3,819","7,182","4,489","4,898"
2021년04월_여_40~49세,"63,209","4,279","6,591","3,198","10,700","8,010","6,014","3,912","8,506","6,038","5,961"
2021년04월_여_50~59세,"75,151","5,747","8,310","3,950","12,139","7,843","7,607","5,356","7,463","8,418","8,318"
2021년04월_여_60~69세,"57,816","5,114","6,960","3,041","8,497","4,360","6,696","4,754","6,221","6,166","6,007"
2021년04월_여_70~79세,"25,136","2,433","3,168","1,223","3,132","1,522","3,089","2,026","2,821","3,039","2,683"
2021년04월_여_80~89세,"13,392","1,135","1,607",706,"1,805",886,"1,509","1,017","1,517","1,729","1,481"
2021년04월_여_90~99세,"2,410",209,225,142,389,188,286,171,293,267,240
2021년04월_여_100세 이상,109,11,14,7,15,3,12,12,15,9,11
