,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020년09월_계_총인구수,"219,531","14,729","36,032","13,700","11,163","6,385","14,736","14,507","4,443","4,783","2,687","17,289","54,004","14,798","10,275"
2020년09월_계_연령구간인구수,"219,531","14,729","36,032","13,700","11,163","6,385","14,736","14,507","4,443","4,783","2,687","17,289","54,004","14,798","10,275"
2020년09월_계_0~9세,"19,169",984,"3,404","1,057",793,316,"1,471","1,263",153,188,68,"1,004","6,924",961,583
2020년09월_계_10~19세,"23,663","1,396","4,504","1,116",867,834,"1,906","1,238",258,233,124,"1,555","7,888",947,797
2020년09월_계_20~29세,"29,913","1,534","4,948","1,659","1,274",771,"2,143","2,498",388,396,187,"2,810","6,780","3,014","1,511"
2020년09월_계_30~39세,"30,674","1,538","5,161","1,835","1,270",651,"2,393","2,540",357,399,144,"2,224","8,400","2,404","1,358"
2020년09월_계_40~49세,"34,811","2,045","6,745","1,940","1,617",731,"1,937","2,120",509,499,254,"2,587","10,463","1,873","1,491"
2020년09월_계_50~59세,"35,302","2,544","5,489","2,545","2,156","1,104","1,994","1,998",876,910,451,"3,049","7,887","2,339","1,960"
2020년09월_계_60~69세,"25,320","2,372","3,316","2,015","1,681","1,030","1,543","1,507",945,"1,003",667,"2,379","3,471","1,863","1,528"
2020년09월_계_70~79세,"13,000","1,415","1,578",995,911,585,853,870,560,667,399,"1,129","1,410",919,709
2020년09월_계_80~89세,"6,668",799,783,447,501,316,425,399,355,419,339,491,683,417,294
2020년09월_계_90~99세,947,91,100,85,88,46,65,69,40,63,50,57,96,56,41
2020년09월_계_100세 이상,64,11,4,6,5,1,6,5,2,6,4,4,2,5,3
2020년09월_남_총인구수,"113,655","7,506","18,872","7,211","5,677","3,462","8,014","7,413","2,389","2,521","1,380","8,581","27,011","8,360","5,258"
2020년09월_남_연령구간인구수,"113,655","7,506","18,872","7,211","5,677","3,462","8,014","7,413","2,389","2,521","1,380","8,581","27,011","8,360","5,258"
2020년09월_남_0~9세,"9,904",504,"1,724",546,407,165,740,665,89,90,39,523,"3,599",505,308
2020년09월_남_10~19세,"12,446",737,"2,332",626,459,519,"1,042",609,142,126,66,798,"4,117",502,371
2020년09월_남_20~29세,"16,936",927,"2,893",900,692,428,"1,299","1,253",243,228,109,"1,497","3,596","2,071",800
2020년09월_남_30~39세,"16,429",811,"2,748",992,645,385,"1,359","1,348",228,245,91,"1,233","4,064","1,490",790
2020년09월_남_40~49세,"17,984","1,063","3,469","1,064",864,424,"1,102","1,167",293,305,158,"1,259","5,014","1,024",778
2020년09월_남_50~59세,"18,365","1,316","2,938","1,339","1,090",617,"1,087","1,066",484,502,236,"1,446","4,038","1,213",993
2020년09월_남_60~69세,"12,903","1,179","1,721","1,075",866,531,809,753,501,531,347,"1,112","1,751",938,789
2020년09월_남_70~79세,"5,989",654,730,472,422,267,404,392,265,325,194,530,593,434,307
2020년09월_남_80~89세,"2,448",285,293,177,208,116,150,145,132,156,127,164,220,166,109
2020년09월_남_90~99세,233,26,24,18,24,10,20,13,12,11,12,19,18,14,12
2020년09월_남_100세 이상,18,4,0,2,0,0,2,2,0,2,1,0,1,3,1
2020년09월_여_총인구수,"105,876","7,223","17,160","6,489","5,486","2,923","6,722","7,094","2,054","2,262","1,307","8,708","26,993","6,438","5,017"
2020년09월_여_연령구간인구수,"105,876","7,223","17,160","6,489","5,486","2,923","6,722","7,094","2,054","2,262","1,307","8,708","26,993","6,438","5,017"
2020년09월_여_0~9세,"9,265",480,"1,680",511,386,151,731,598,64,98,29,481,"3,325",456,275
2020년09월_여_10~19세,"11,217",659,"2,172",490,408,315,864,629,116,107,58,757,"3,771",445,426
2020년09월_여_20~29세,"12,977",607,"2,055",759,582,343,844,"1,245",145,168,78,"1,313","3,184",943,711
2020년09월_여_30~39세,"14,245",727,"2,413",843,625,266,"1,034","1,192",129,154,53,991,"4,336",914,568
2020년09월_여_40~49세,"16,827",982,"3,276",876,753,307,835,953,216,194,96,"1,328","5,449",849,713
2020년09월_여_50~59세,"16,937","1,228","2,551","1,206","1,066",487,907,932,392,408,215,"1,603","3,849","1,126",967
2020년09월_여_60~69세,"12,417","1,193","1,595",940,815,499,734,754,444,472,320,"1,267","1,720",925,739
2020년09월_여_70~79세,"7,011",761,848,523,489,318,449,478,295,342,205,599,817,485,402
2020년09월_여_80~89세,"4,220",514,490,270,293,200,275,254,223,263,212,327,463,251,185
2020년09월_여_90~99세,714,65,76,67,64,36,45,56,28,52,38,38,78,42,29
2020년09월_여_100세 이상,46,7,4,4,5,1,4,3,2,4,3,4,1,2,2
