카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020년09월_계_총인구수,"125,800","2,086","5,182","2,956","4,028","4,692","5,072","1,835","7,631","14,386","17,250","14,117","10,618","10,720","12,649","12,578"
2020년09월_계_연령구간인구수,"125,800","2,086","5,182","2,956","4,028","4,692","5,072","1,835","7,631","14,386","17,250","14,117","10,618","10,720","12,649","12,578"
2020년09월_계_0~9세,"7,002",169,199,89,195,185,138,50,274,586,"1,163",787,606,758,744,"1,059"
2020년09월_계_10~19세,"6,953",113,204,139,174,318,204,34,292,854,984,906,566,869,529,767
2020년09월_계_20~29세,"18,575",220,504,347,720,"1,243",792,200,"1,326","2,427","2,054","2,009","1,678","1,460","2,116","1,479"
2020년09월_계_30~39세,"20,262",429,552,406,632,657,778,299,"1,294","2,278","2,445","2,239","1,764","1,352","2,833","2,304"
2020년09월_계_40~49세,"18,261",448,682,432,490,582,634,198,"1,064","2,102","2,493","2,000","1,590","1,639","1,836","2,071"
2020년09월_계_50~59세,"20,842",310,975,502,614,602,862,339,"1,391","2,366","2,887","2,375","1,881","1,949","1,797","1,992"
2020년09월_계_60~69세,"17,376",231,"1,051",532,612,503,863,402,"1,016","1,939","2,632","1,935","1,311","1,411","1,494","1,444"
2020년09월_계_70~79세,"10,665",107,589,329,359,384,540,203,663,"1,233","1,633","1,168",838,783,898,938
2020년09월_계_80~89세,"4,770",45,294,144,173,183,206,79,245,507,792,600,322,423,339,418
2020년09월_계_90~99세,893,9,88,27,49,32,40,20,58,80,158,90,49,63,55,75
2020년09월_계_100세 이상,201,5,44,9,10,3,15,11,8,14,9,8,13,13,8,31
2020년09월_남_총인구수,"61,526","1,024","2,753","1,265","2,079","2,367","2,669","1,099","3,824","6,987","8,121","6,692","5,170","5,163","6,030","6,283"
2020년09월_남_연령구간인구수,"61,526","1,024","2,753","1,265","2,079","2,367","2,669","1,099","3,824","6,987","8,121","6,692","5,170","5,163","6,030","6,283"
2020년09월_남_0~9세,"3,570",93,110,51,103,99,70,25,120,300,563,392,295,411,391,547
2020년09월_남_10~19세,"3,494",31,85,58,94,153,106,12,151,461,504,465,291,432,259,392
2020년09월_남_20~29세,"8,897",93,227,159,369,662,366,86,626,"1,184","1,033",974,775,724,891,728
2020년09월_남_30~39세,"10,098",205,262,207,344,343,445,174,667,"1,184","1,148","1,112",897,626,"1,379","1,105"
2020년09월_남_40~49세,"9,323",237,378,190,280,312,347,128,580,"1,057","1,230",969,806,805,910,"1,094"
2020년09월_남_50~59세,"10,585",158,573,208,345,307,495,237,745,"1,139","1,368","1,151",986,935,908,"1,030"
2020년09월_남_60~69세,"8,657",132,625,226,290,241,456,274,503,904,"1,230",929,634,716,736,761
2020년09월_남_70~79세,"4,786",53,299,120,173,169,282,112,312,554,707,450,357,347,423,428
2020년09월_남_80~89세,"1,779",18,138,36,63,71,77,39,102,185,292,222,113,145,115,163
2020년09월_남_90~99세,272,3,36,7,15,10,19,8,15,16,42,25,16,18,18,24
2020년09월_남_100세 이상,65,1,20,3,3,0,6,4,3,3,4,3,0,4,0,11
2020년09월_여_총인구수,"64,274","1,062","2,429","1,691","1,949","2,325","2,403",736,"3,807","7,399","9,129","7,425","5,448","5,557","6,619","6,295"
2020년09월_여_연령구간인구수,"64,274","1,062","2,429","1,691","1,949","2,325","2,403",736,"3,807","7,399","9,129","7,425","5,448","5,557","6,619","6,295"
2020년09월_여_0~9세,"3,432",76,89,38,92,86,68,25,154,286,600,395,311,347,353,512
2020년09월_여_10~19세,"3,459",82,119,81,80,165,98,22,141,393,480,441,275,437,270,375
2020년09월_여_20~29세,"9,678",127,277,188,351,581,426,114,700,"1,243","1,021","1,035",903,736,"1,225",751
2020년09월_여_30~39세,"10,164",224,290,199,288,314,333,125,627,"1,094","1,297","1,127",867,726,"1,454","1,199"
2020년09월_여_40~49세,"8,938",211,304,242,210,270,287,70,484,"1,045","1,263","1,031",784,834,926,977
2020년09월_여_50~59세,"10,257",152,402,294,269,295,367,102,646,"1,227","1,519","1,224",895,"1,014",889,962
2020년09월_여_60~69세,"8,719",99,426,306,322,262,407,128,513,"1,035","1,402","1,006",677,695,758,683
2020년09월_여_70~79세,"5,879",54,290,209,186,215,258,91,351,679,926,718,481,436,475,510
2020년09월_여_80~89세,"2,991",27,156,108,110,112,129,40,143,322,500,378,209,278,224,255
2020년09월_여_90~99세,621,6,52,20,34,22,21,12,43,64,116,65,33,45,37,51
2020년09월_여_100세 이상,136,4,24,6,7,3,9,7,5,11,5,5,13,9,8,20
