,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2021년02월_계_총인구수,"350,374","34,967","34,968","40,073","22,158","24,738","37,687","26,029","27,052","27,807","28,977","45,918"
2021년02월_계_연령구간인구수,"350,374","34,967","34,968","40,073","22,158","24,738","37,687","26,029","27,052","27,807","28,977","45,918"
2021년02월_계_0~9세,"34,435","3,235","1,546","3,458","2,264","2,400","4,969","2,935","2,564","2,501","3,181","5,382"
2021년02월_계_10~19세,"38,001","3,373","1,489","3,202","3,024","3,432","4,593","2,947","3,186","3,060","4,531","5,164"
2021년02월_계_20~29세,"52,519","4,393","8,362","8,394","2,865","3,136","3,788","4,122","4,334","4,243","3,716","5,166"
2021년02월_계_30~39세,"55,662","4,416","6,788","6,382","3,170","3,089","6,304","5,217","4,375","4,095","4,033","7,793"
2021년02월_계_40~49세,"60,367","5,956","4,399","5,598","4,372","4,755","7,361","4,241","4,332","4,757","5,940","8,656"
2021년02월_계_50~59세,"53,979","6,202","5,532","5,884","3,250","4,014","5,240","3,498","4,480","4,685","4,452","6,742"
2021년02월_계_60~69세,"34,283","4,408","4,107","4,553","1,838","2,173","3,473","1,966","2,471","2,547","2,130","4,617"
2021년02월_계_70~79세,"13,521","1,902","1,780","1,698",879,"1,122","1,328",653,731,"1,166",654,"1,608"
2021년02월_계_80~89세,"6,436",935,794,770,422,531,529,387,465,653,290,660
2021년02월_계_90~99세,"1,113",137,146,128,73,85,98,62,111,96,50,127
2021년02월_계_100세 이상,58,10,25,6,1,1,4,1,3,4,0,3
2021년02월_남_총인구수,"176,852","17,738","18,065","20,834","10,992","12,167","18,508","13,629","13,874","14,252","14,801","21,992"
2021년02월_남_연령구간인구수,"176,852","17,738","18,065","20,834","10,992","12,167","18,508","13,629","13,874","14,252","14,801","21,992"
2021년02월_남_0~9세,"17,688","1,627",795,"1,732","1,183","1,240","2,503","1,555","1,361","1,289","1,653","2,750"
2021년02월_남_10~19세,"19,640","1,807",760,"1,645","1,554","1,773","2,356","1,509","1,623","1,583","2,354","2,676"
2021년02월_남_20~29세,"28,200","2,404","4,255","4,913","1,471","1,604","1,985","2,275","2,397","2,361","1,979","2,556"
2021년02월_남_30~39세,"29,002","2,266","3,915","3,494","1,565","1,526","3,004","2,875","2,411","2,208","2,056","3,682"
2021년02월_남_40~49세,"29,699","3,066","2,344","2,816","2,086","2,236","3,588","2,131","2,066","2,404","2,832","4,130"
2021년02월_남_50~59세,"26,891","3,105","2,742","2,820","1,673","2,025","2,554","1,806","2,199","2,441","2,418","3,108"
2021년02월_남_60~69세,"17,065","2,218","2,123","2,281",891,"1,058","1,663","1,030","1,305","1,280","1,109","2,107"
2021년02월_남_70~79세,"6,277",904,798,826,397,490,644,324,350,470,318,756
2021년02월_남_80~89세,"2,130",312,285,270,156,196,191,111,129,196,71,213
2021년02월_남_90~99세,246,25,44,36,15,18,19,13,31,20,11,14
2021년02월_남_100세 이상,14,4,4,1,1,1,1,0,2,0,0,0
2021년02월_여_총인구수,"173,522","17,229","16,903","19,239","11,166","12,571","19,179","12,400","13,178","13,555","14,176","23,926"
2021년02월_여_연령구간인구수,"173,522","17,229","16,903","19,239","11,166","12,571","19,179","12,400","13,178","13,555","14,176","23,926"
2021년02월_여_0~9세,"16,747","1,608",751,"1,726","1,081","1,160","2,466","1,380","1,203","1,212","1,528","2,632"
2021년02월_여_10~19세,"18,361","1,566",729,"1,557","1,470","1,659","2,237","1,438","1,563","1,477","2,177","2,488"
2021년02월_여_20~29세,"24,319","1,989","4,107","3,481","1,394","1,532","1,803","1,847","1,937","1,882","1,737","2,610"
2021년02월_여_30~39세,"26,660","2,150","2,873","2,888","1,605","1,563","3,300","2,342","1,964","1,887","1,977","4,111"
2021년02월_여_40~49세,"30,668","2,890","2,055","2,782","2,286","2,519","3,773","2,110","2,266","2,353","3,108","4,526"
2021년02월_여_50~59세,"27,088","3,097","2,790","3,064","1,577","1,989","2,686","1,692","2,281","2,244","2,034","3,634"
2021년02월_여_60~69세,"17,218","2,190","1,984","2,272",947,"1,115","1,810",936,"1,166","1,267","1,021","2,510"
2021년02월_여_70~79세,"7,244",998,982,872,482,632,684,329,381,696,336,852
2021년02월_여_80~89세,"4,306",623,509,500,266,335,338,276,336,457,219,447
2021년02월_여_90~99세,867,112,102,92,58,67,79,49,80,76,39,113
2021년02월_여_100세 이상,44,6,21,5,0,0,3,1,1,4,0,3
