카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년08월_계_총인구수,"228,768","36,119","19,955","60,210","31,920","16,157","64,407"
2020년08월_계_연령구간인구수,"228,768","36,119","19,955","60,210","31,920","16,157","64,407"
2020년08월_계_0~9세,"24,291","4,129",955,"7,275","4,109","1,469","6,354"
2020년08월_계_10~19세,"24,888","4,243","1,198","6,835","3,286","1,983","7,343"
2020년08월_계_20~29세,"30,983","4,475","3,688","6,997","4,085","2,169","9,569"
2020년08월_계_30~39세,"39,348","5,732","4,818","10,001","6,086","2,424","10,287"
2020년08월_계_40~49세,"43,015","6,785","3,671","11,348","6,038","3,114","12,059"
2020년08월_계_50~59세,"32,915","5,336","2,793","8,336","4,201","2,479","9,770"
2020년08월_계_60~69세,"19,293","3,070","1,689","5,435","2,547","1,399","5,153"
2020년08월_계_70~79세,"9,600","1,568",799,"2,709","1,077",755,"2,692"
2020년08월_계_80~89세,"3,899",689,303,"1,129",414,329,"1,035"
2020년08월_계_90~99세,491,84,34,133,71,31,138
2020년08월_계_100세 이상,45,8,7,12,6,5,7
2020년08월_남_총인구수,"118,304","18,110","11,723","30,397","16,379","8,321","33,374"
2020년08월_남_연령구간인구수,"118,304","18,110","11,723","30,397","16,379","8,321","33,374"
2020년08월_남_0~9세,"12,367","2,127",479,"3,693","2,092",777,"3,199"
2020년08월_남_10~19세,"12,728","2,093",604,"3,458","1,669","1,022","3,882"
2020년08월_남_20~29세,"16,762","2,343","2,083","3,719","2,170","1,195","5,252"
2020년08월_남_30~39세,"21,231","2,950","3,110","5,163","3,192","1,317","5,499"
2020년08월_남_40~49세,"22,804","3,442","2,273","5,995","3,173","1,580","6,341"
2020년08월_남_50~59세,"17,131","2,722","1,747","4,185","2,110","1,307","5,060"
2020년08월_남_60~69세,"9,511","1,510",916,"2,575","1,279",676,"2,555"
2020년08월_남_70~79세,"4,236",652,375,"1,189",535,329,"1,156"
2020년08월_남_80~89세,"1,420",254,127,388,147,109,395
2020년08월_남_90~99세,101,14,7,29,11,6,34
2020년08월_남_100세 이상,13,3,2,3,1,3,1
2020년08월_여_총인구수,"110,464","18,009","8,232","29,813","15,541","7,836","31,033"
2020년08월_여_연령구간인구수,"110,464","18,009","8,232","29,813","15,541","7,836","31,033"
2020년08월_여_0~9세,"11,924","2,002",476,"3,582","2,017",692,"3,155"
2020년08월_여_10~19세,"12,160","2,150",594,"3,377","1,617",961,"3,461"
2020년08월_여_20~29세,"14,221","2,132","1,605","3,278","1,915",974,"4,317"
2020년08월_여_30~39세,"18,117","2,782","1,708","4,838","2,894","1,107","4,788"
2020년08월_여_40~49세,"20,211","3,343","1,398","5,353","2,865","1,534","5,718"
2020년08월_여_50~59세,"15,784","2,614","1,046","4,151","2,091","1,172","4,710"
2020년08월_여_60~69세,"9,782","1,560",773,"2,860","1,268",723,"2,598"
2020년08월_여_70~79세,"5,364",916,424,"1,520",542,426,"1,536"
2020년08월_여_80~89세,"2,479",435,176,741,267,220,640
2020년08월_여_90~99세,390,70,27,104,60,25,104
2020년08월_여_100세 이상,32,5,5,9,5,2,6
