,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2021년07월_계_총인구수,"230,665","23,377","43,755","18,890","24,252","15,376","32,967","21,377","10,863","20,456","19,352"
2021년07월_계_연령구간인구수,"230,665","23,377","43,755","18,890","24,252","15,376","32,967","21,377","10,863","20,456","19,352"
2021년07월_계_0~9세,"12,016",677,"3,257",826,952,630,"1,719","1,499",522,"1,035",899
2021년07월_계_10~19세,"14,235",670,"2,339","1,154","1,315",945,"2,221","2,071",677,"1,464","1,379"
2021년07월_계_20~29세,"37,200","6,658","7,701","2,838","3,913","2,262","4,848","2,393","1,400","2,670","2,517"
2021년07월_계_30~39세,"35,930","5,656","8,938","2,514","3,558","2,003","4,735","2,384","1,392","2,530","2,220"
2021년07월_계_40~49세,"32,045","2,739","6,387","2,555","3,124","1,996","4,734","3,415","1,466","2,848","2,781"
2021년07월_계_50~59세,"39,507","2,907","6,372","3,720","4,618","3,163","5,788","3,669","1,969","3,804","3,497"
2021년07월_계_60~69세,"34,222","2,444","5,120","3,128","4,007","2,572","4,988","3,343","1,964","3,522","3,134"
2021년07월_계_70~79세,"17,906","1,170","2,595","1,554","1,917","1,332","2,741","1,779","1,050","1,822","1,946"
2021년07월_계_80~89세,"6,692",401,931,527,736,421,"1,035",717,384,677,863
2021년07월_계_90~99세,867,52,107,71,109,50,153,103,38,81,103
2021년07월_계_100세 이상,45,3,8,3,3,2,5,4,1,3,13
2021년07월_남_총인구수,"116,699","12,778","22,486","9,581","12,160","7,754","16,426","10,291","5,409","10,139","9,675"
2021년07월_남_연령구간인구수,"116,699","12,778","22,486","9,581","12,160","7,754","16,426","10,291","5,409","10,139","9,675"
2021년07월_남_0~9세,"6,205",323,"1,691",434,514,327,884,764,271,525,472
2021년07월_남_10~19세,"7,188",324,"1,143",624,643,474,"1,195","1,018",333,739,695
2021년07월_남_20~29세,"18,542","3,106","3,791","1,476","1,915","1,140","2,432","1,217",754,"1,367","1,344"
2021년07월_남_30~39세,"19,883","3,499","4,950","1,345","1,997","1,106","2,524","1,167",739,"1,348","1,208"
2021년07월_남_40~49세,"16,906","1,724","3,519","1,315","1,620","1,004","2,422","1,670",756,"1,428","1,448"
2021년07월_남_50~59세,"19,876","1,700","3,222","1,887","2,285","1,604","2,835","1,741",958,"1,841","1,803"
2021년07월_남_60~69세,"16,786","1,332","2,574","1,531","1,937","1,275","2,406","1,594",922,"1,723","1,492"
2021년07월_남_70~79세,"8,424",586,"1,160",751,932,631,"1,277",831,521,870,865
2021년07월_남_80~89세,"2,666",174,405,198,290,180,402,272,150,272,323
2021년07월_남_90~99세,210,9,29,20,26,13,46,16,5,24,22
2021년07월_남_100세 이상,13,1,2,0,1,0,3,1,0,2,3
2021년07월_여_총인구수,"113,966","10,599","21,269","9,309","12,092","7,622","16,541","11,086","5,454","10,317","9,677"
2021년07월_여_연령구간인구수,"113,966","10,599","21,269","9,309","12,092","7,622","16,541","11,086","5,454","10,317","9,677"
2021년07월_여_0~9세,"5,811",354,"1,566",392,438,303,835,735,251,510,427
2021년07월_여_10~19세,"7,047",346,"1,196",530,672,471,"1,026","1,053",344,725,684
2021년07월_여_20~29세,"18,658","3,552","3,910","1,362","1,998","1,122","2,416","1,176",646,"1,303","1,173"
2021년07월_여_30~39세,"16,047","2,157","3,988","1,169","1,561",897,"2,211","1,217",653,"1,182","1,012"
2021년07월_여_40~49세,"15,139","1,015","2,868","1,240","1,504",992,"2,312","1,745",710,"1,420","1,333"
2021년07월_여_50~59세,"19,631","1,207","3,150","1,833","2,333","1,559","2,953","1,928","1,011","1,963","1,694"
2021년07월_여_60~69세,"17,436","1,112","2,546","1,597","2,070","1,297","2,582","1,749","1,042","1,799","1,642"
2021년07월_여_70~79세,"9,482",584,"1,435",803,985,701,"1,464",948,529,952,"1,081"
2021년07월_여_80~89세,"4,026",227,526,329,446,241,633,445,234,405,540
2021년07월_여_90~99세,657,43,78,51,83,37,107,87,33,57,81
2021년07월_여_100세 이상,32,2,6,3,2,2,2,3,1,1,10
