카테고리,세종특별자치시,세종특별자치시 세종특별자치시
2021년09월_계_총인구수,"366,560","366,560"
2021년09월_계_연령구간인구수,"366,560","366,560"
2021년09월_계_0~9세,"46,960","46,960"
2021년09월_계_10~19세,"44,826","44,826"
2021년09월_계_20~29세,"38,131","38,131"
2021년09월_계_30~39세,"61,187","61,187"
2021년09월_계_40~49세,"71,533","71,533"
2021년09월_계_50~59세,"47,566","47,566"
2021년09월_계_60~69세,"32,942","32,942"
2021년09월_계_70~79세,"14,652","14,652"
2021년09월_계_80~89세,"7,442","7,442"
2021년09월_계_90~99세,"1,283","1,283"
2021년09월_계_100세 이상,38,38
2021년09월_남_총인구수,"183,044","183,044"
2021년09월_남_연령구간인구수,"183,044","183,044"
2021년09월_남_0~9세,"23,953","23,953"
2021년09월_남_10~19세,"22,595","22,595"
2021년09월_남_20~29세,"19,501","19,501"
2021년09월_남_30~39세,"29,846","29,846"
2021년09월_남_40~49세,"36,286","36,286"
2021년09월_남_50~59세,"24,873","24,873"
2021년09월_남_60~69세,"16,368","16,368"
2021년09월_남_70~79세,"6,807","6,807"
2021년09월_남_80~89세,"2,544","2,544"
2021년09월_남_90~99세,262,262
2021년09월_남_100세 이상,9,9
2021년09월_여_총인구수,"183,516","183,516"
2021년09월_여_연령구간인구수,"183,516","183,516"
2021년09월_여_0~9세,"23,007","23,007"
2021년09월_여_10~19세,"22,231","22,231"
2021년09월_여_20~29세,"18,630","18,630"
2021년09월_여_30~39세,"31,341","31,341"
2021년09월_여_40~49세,"35,247","35,247"
2021년09월_여_50~59세,"22,693","22,693"
2021년09월_여_60~69세,"16,574","16,574"
2021년09월_여_70~79세,"7,845","7,845"
2021년09월_여_80~89세,"4,898","4,898"
2021년09월_여_90~99세,"1,021","1,021"
2021년09월_여_100세 이상,29,29
