,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년09월_계_총인구수,"69,070","22,711","7,790","4,876","7,006","4,520","4,193","3,071","4,077","1,840","3,193","2,921","2,226",378,268
2020년09월_계_연령구간인구수,"69,070","22,711","7,790","4,876","7,006","4,520","4,193","3,071","4,077","1,840","3,193","2,921","2,226",378,268
2020년09월_계_0~9세,"3,348","1,472",518,183,313,164,156,76,122,62,127,72,69,7,7
2020년09월_계_10~19세,"4,609","2,185",666,205,399,200,226,120,155,72,139,121,106,12,3
2020년09월_계_20~29세,"5,399","2,304",714,310,522,260,252,191,234,87,207,174,116,18,10
2020년09월_계_30~39세,"5,353","2,143",669,334,612,333,244,187,236,68,216,157,127,19,8
2020년09월_계_40~49세,"7,767","3,237","1,078",434,733,389,420,272,347,149,280,203,188,23,14
2020년09월_계_50~59세,"12,032","3,829","1,328",868,"1,359",788,738,530,650,344,540,539,393,75,51
2020년09월_계_60~69세,"14,033","3,586","1,378","1,217","1,591","1,145",958,751,947,413,671,642,552,103,79
2020년09월_계_70~79세,"10,106","2,505",865,781,951,767,704,604,813,383,592,619,397,65,60
2020년09월_계_80~89세,"5,587","1,268",485,449,440,406,428,312,514,236,377,345,245,51,31
2020년09월_계_90~99세,799,166,89,92,83,67,64,27,56,26,40,47,32,5,5
2020년09월_계_100세 이상,37,16,0,3,3,1,3,1,3,0,4,2,1,0,0
2020년09월_남_총인구수,"34,613","11,210","3,898","2,462","3,537","2,300","2,088","1,508","2,082",916,"1,599","1,513","1,163",191,146
2020년09월_남_연령구간인구수,"34,613","11,210","3,898","2,462","3,537","2,300","2,088","1,508","2,082",916,"1,599","1,513","1,163",191,146
2020년09월_남_0~9세,"1,762",782,262,83,163,75,82,47,67,37,67,44,44,5,4
2020년09월_남_10~19세,"2,374","1,097",343,108,208,121,118,60,84,31,67,62,67,7,1
2020년09월_남_20~29세,"3,095","1,295",412,182,303,147,146,105,149,54,111,110,67,7,7
2020년09월_남_30~39세,"2,807","1,111",326,177,308,194,133,100,125,35,122,85,77,10,4
2020년09월_남_40~49세,"4,225","1,645",566,249,412,229,235,154,204,80,180,136,110,15,10
2020년09월_남_50~59세,"6,190","1,935",674,440,687,381,378,259,354,196,302,293,216,45,30
2020년09월_남_60~69세,"6,974","1,729",684,624,785,586,481,368,486,203,317,334,286,47,44
2020년09월_남_70~79세,"4,777","1,105",421,397,476,377,324,282,382,177,287,292,190,37,30
2020년09월_남_80~89세,"2,203",467,188,179,176,172,174,124,223,98,134,140,98,15,15
2020년09월_남_90~99세,196,39,22,23,17,18,16,8,8,5,12,16,8,3,1
2020년09월_남_100세 이상,10,5,0,0,2,0,1,1,0,0,0,1,0,0,0
2020년09월_여_총인구수,"34,457","11,501","3,892","2,414","3,469","2,220","2,105","1,563","1,995",924,"1,594","1,408","1,063",187,122
2020년09월_여_연령구간인구수,"34,457","11,501","3,892","2,414","3,469","2,220","2,105","1,563","1,995",924,"1,594","1,408","1,063",187,122
2020년09월_여_0~9세,"1,586",690,256,100,150,89,74,29,55,25,60,28,25,2,3
2020년09월_여_10~19세,"2,235","1,088",323,97,191,79,108,60,71,41,72,59,39,5,2
2020년09월_여_20~29세,"2,304","1,009",302,128,219,113,106,86,85,33,96,64,49,11,3
2020년09월_여_30~39세,"2,546","1,032",343,157,304,139,111,87,111,33,94,72,50,9,4
2020년09월_여_40~49세,"3,542","1,592",512,185,321,160,185,118,143,69,100,67,78,8,4
2020년09월_여_50~59세,"5,842","1,894",654,428,672,407,360,271,296,148,238,246,177,30,21
2020년09월_여_60~69세,"7,059","1,857",694,593,806,559,477,383,461,210,354,308,266,56,35
2020년09월_여_70~79세,"5,329","1,400",444,384,475,390,380,322,431,206,305,327,207,28,30
2020년09월_여_80~89세,"3,384",801,297,270,264,234,254,188,291,138,243,205,147,36,16
2020년09월_여_90~99세,603,127,67,69,66,49,48,19,48,21,28,31,24,2,4
2020년09월_여_100세 이상,27,11,0,3,1,1,2,0,3,0,4,1,1,0,0
