카테고리,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2020년11월_계_총인구수,"26,798","7,014","6,288","2,402","3,781","7,313",0
2020년11월_계_연령구간인구수,"26,798","7,014","6,288","2,402","3,781","7,313",0
2020년11월_계_0~9세,"1,290",563,209,59,157,302,0
2020년11월_계_10~19세,"1,628",590,342,102,189,405,0
2020년11월_계_20~29세,"2,868",891,533,158,411,875,0
2020년11월_계_30~39세,"2,228",792,359,154,314,609,0
2020년11월_계_40~49세,"3,067",909,633,206,397,922,0
2020년11월_계_50~59세,"4,844","1,141","1,148",450,695,"1,410",0
2020년11월_계_60~69세,"5,166","1,019","1,379",583,762,"1,423",0
2020년11월_계_70~79세,"3,509",668,"1,009",431,523,878,0
2020년11월_계_80~89세,"1,843",363,556,221,286,417,0
2020년11월_계_90~99세,338,73,116,37,43,69,0
2020년11월_계_100세 이상,17,5,4,1,4,3,0
2020년11월_남_총인구수,"13,824","3,664","3,125","1,187","1,971","3,877",0
2020년11월_남_연령구간인구수,"13,824","3,664","3,125","1,187","1,971","3,877",0
2020년11월_남_0~9세,655,291,101,28,78,157,0
2020년11월_남_10~19세,884,326,184,59,93,222,0
2020년11월_남_20~29세,"1,825",558,344,90,258,575,0
2020년11월_남_30~39세,"1,258",427,198,94,195,344,0
2020년11월_남_40~49세,"1,720",483,346,132,233,526,0
2020년11월_남_50~59세,"2,618",615,639,239,364,761,0
2020년11월_남_60~69세,"2,640",513,682,297,405,743,0
2020년11월_남_70~79세,"1,504",314,410,176,229,375,0
2020년11월_남_80~89세,640,116,198,63,104,159,0
2020년11월_남_90~99세,77,20,23,9,12,13,0
2020년11월_남_100세 이상,3,1,0,0,0,2,0
2020년11월_여_총인구수,"12,974","3,350","3,163","1,215","1,810","3,436",0
2020년11월_여_연령구간인구수,"12,974","3,350","3,163","1,215","1,810","3,436",0
2020년11월_여_0~9세,635,272,108,31,79,145,0
2020년11월_여_10~19세,744,264,158,43,96,183,0
2020년11월_여_20~29세,"1,043",333,189,68,153,300,0
2020년11월_여_30~39세,970,365,161,60,119,265,0
2020년11월_여_40~49세,"1,347",426,287,74,164,396,0
2020년11월_여_50~59세,"2,226",526,509,211,331,649,0
2020년11월_여_60~69세,"2,526",506,697,286,357,680,0
2020년11월_여_70~79세,"2,005",354,599,255,294,503,0
2020년11월_여_80~89세,"1,203",247,358,158,182,258,0
2020년11월_여_90~99세,261,53,93,28,31,56,0
2020년11월_여_100세 이상,14,4,4,1,4,1,0
