카테고리,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021년08월_계_총인구수,"148,296","45,316","8,693","4,586","7,718","12,410","2,139","4,758","9,405","6,266","8,204","2,735","2,703","18,793","14,570"
2021년08월_계_연령구간인구수,"148,296","45,316","8,693","4,586","7,718","12,410","2,139","4,758","9,405","6,266","8,204","2,735","2,703","18,793","14,570"
2021년08월_계_0~9세,"8,188","2,865",571,103,200,608,41,166,451,520,599,51,184,"1,165",664
2021년08월_계_10~19세,"11,962","4,894",557,184,488,923,63,223,679,357,442,139,141,"1,770","1,102"
2021년08월_계_20~29세,"18,051","6,038",953,435,777,"1,446",178,410,957,845,958,230,302,"2,510","2,012"
2021년08월_계_30~39세,"14,594","4,459","1,113",346,621,"1,176",128,280,851,903,952,118,336,"1,931","1,380"
2021년08월_계_40~49세,"19,918","7,158","1,113",505,821,"1,605",191,485,"1,178",626,839,234,265,"2,717","2,181"
2021년08월_계_50~59세,"29,108","9,231","1,594","1,115","1,827","2,446",368,961,"1,551",856,"1,229",516,441,"3,644","3,329"
2021년08월_계_60~69세,"26,337","6,515","1,595","1,089","1,750","2,469",600,"1,150","1,930","1,098","1,562",691,551,"2,938","2,399"
2021년08월_계_70~79세,"12,335","2,600",722,492,708,"1,060",343,666,"1,065",677,954,468,279,"1,358",943
2021년08월_계_80~89세,"6,785","1,357",409,278,449,574,204,364,627,345,577,262,178,664,497
2021년08월_계_90~99세,978,191,65,38,75,97,22,51,112,38,90,25,25,92,57
2021년08월_계_100세 이상,40,8,1,1,2,6,1,2,4,1,2,1,1,4,6
2021년08월_남_총인구수,"78,594","23,110","4,669","2,649","4,527","6,851","1,196","2,579","4,902","3,430","4,428","1,428","1,429","9,518","7,878"
2021년08월_남_연령구간인구수,"78,594","23,110","4,669","2,649","4,527","6,851","1,196","2,579","4,902","3,430","4,428","1,428","1,429","9,518","7,878"
2021년08월_남_0~9세,"4,193","1,454",285,62,95,328,27,87,231,261,315,22,86,582,358
2021년08월_남_10~19세,"6,286","2,554",287,101,263,512,39,117,365,172,222,63,65,946,580
2021년08월_남_20~29세,"10,474","3,249",555,272,463,873,121,244,602,595,664,147,174,"1,367","1,148"
2021년08월_남_30~39세,"8,167","2,290",620,218,385,696,87,168,497,542,577,82,191,"1,045",769
2021년08월_남_40~49세,"10,741","3,574",622,317,544,879,111,306,677,369,484,142,158,"1,346","1,212"
2021년08월_남_50~59세,"15,997","4,863",885,665,"1,145","1,436",222,565,820,454,694,270,238,"1,868","1,872"
2021년08월_남_60~69세,"14,252","3,413",890,649,"1,063","1,372",333,635,976,583,810,371,312,"1,524","1,321"
2021년08월_남_70~79세,"5,759","1,196",365,237,370,505,161,306,495,320,416,222,138,586,442
2021년08월_남_80~89세,"2,470",480,147,118,182,221,87,131,207,124,219,103,60,231,160
2021년08월_남_90~99세,240,34,13,9,16,28,8,19,31,9,25,5,7,22,14
2021년08월_남_100세 이상,15,3,0,1,1,1,0,1,1,1,2,1,0,1,2
2021년08월_여_총인구수,"69,702","22,206","4,024","1,937","3,191","5,559",943,"2,179","4,503","2,836","3,776","1,307","1,274","9,275","6,692"
2021년08월_여_연령구간인구수,"69,702","22,206","4,024","1,937","3,191","5,559",943,"2,179","4,503","2,836","3,776","1,307","1,274","9,275","6,692"
2021년08월_여_0~9세,"3,995","1,411",286,41,105,280,14,79,220,259,284,29,98,583,306
2021년08월_여_10~19세,"5,676","2,340",270,83,225,411,24,106,314,185,220,76,76,824,522
2021년08월_여_20~29세,"7,577","2,789",398,163,314,573,57,166,355,250,294,83,128,"1,143",864
2021년08월_여_30~39세,"6,427","2,169",493,128,236,480,41,112,354,361,375,36,145,886,611
2021년08월_여_40~49세,"9,177","3,584",491,188,277,726,80,179,501,257,355,92,107,"1,371",969
2021년08월_여_50~59세,"13,111","4,368",709,450,682,"1,010",146,396,731,402,535,246,203,"1,776","1,457"
2021년08월_여_60~69세,"12,085","3,102",705,440,687,"1,097",267,515,954,515,752,320,239,"1,414","1,078"
2021년08월_여_70~79세,"6,576","1,404",357,255,338,555,182,360,570,357,538,246,141,772,501
2021년08월_여_80~89세,"4,315",877,262,160,267,353,117,233,420,221,358,159,118,433,337
2021년08월_여_90~99세,738,157,52,29,59,69,14,32,81,29,65,20,18,70,43
2021년08월_여_100세 이상,25,5,1,0,1,5,1,1,3,0,0,0,1,3,4
