카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021년10월_계_총인구수,"150,154","48,404","2,145","3,059","4,988","2,769","2,765","1,768","1,674","57,361","11,805","11,680","1,736"
2021년10월_계_연령구간인구수,"150,154","48,404","2,145","3,059","4,988","2,769","2,765","1,768","1,674","57,361","11,805","11,680","1,736"
2021년10월_계_0~9세,"12,689","4,202",68,72,256,56,72,39,56,"6,140",860,812,56
2021년10월_계_10~19세,"15,668","5,064",127,134,269,115,80,86,68,"7,250","1,105","1,257",113
2021년10월_계_20~29세,"19,364","5,940",179,245,607,181,187,118,142,"8,049","1,495","2,036",185
2021년10월_계_30~39세,"17,977","5,725",142,151,502,156,144,87,160,"8,299","1,222","1,268",121
2021년10월_계_40~49세,"23,040","7,741",191,259,530,202,240,151,172,"10,279","1,785","1,310",180
2021년10월_계_50~59세,"29,308","8,529",430,617,"1,155",535,476,324,273,"11,143","2,709","2,748",369
2021년10월_계_60~69세,"18,123","6,228",427,659,799,576,605,429,301,"4,259","1,749","1,745",346
2021년10월_계_70~79세,"8,346","3,034",296,486,489,503,537,287,265,"1,276",588,375,210
2021년10월_계_80~89세,"4,785","1,643",233,367,331,375,346,217,194,583,251,109,136
2021년10월_계_90~99세,832,294,51,67,50,68,75,26,41,80,40,20,20
2021년10월_계_100세 이상,22,4,1,2,0,2,3,4,2,3,1,0,0
2021년10월_남_총인구수,"78,423","24,789","1,118","1,509","2,569","1,396","1,370",890,907,"30,243","6,242","6,430",960
2021년10월_남_연령구간인구수,"78,423","24,789","1,118","1,509","2,569","1,396","1,370",890,907,"30,243","6,242","6,430",960
2021년10월_남_0~9세,"6,457","2,113",50,37,133,25,33,19,26,"3,137",444,413,27
2021년10월_남_10~19세,"8,121","2,659",77,65,136,76,43,44,32,"3,719",558,653,59
2021년10월_남_20~29세,"11,276","3,283",112,144,356,114,114,80,87,"4,622",867,"1,371",126
2021년10월_남_30~39세,"9,673","2,953",80,77,285,85,85,44,96,"4,454",684,743,87
2021년10월_남_40~49세,"11,938","4,072",109,130,263,119,154,98,112,"5,208",964,591,118
2021년10월_남_50~59세,"15,962","4,527",251,354,625,321,292,183,186,"6,056","1,483","1,468",216
2021년10월_남_60~69세,"9,519","3,217",227,366,419,296,289,229,161,"2,281",902,938,194
2021년10월_남_70~79세,"3,816","1,398",122,208,223,222,237,111,129,580,275,219,92
2021년10월_남_80~89세,"1,524",514,77,114,122,127,114,78,71,177,61,30,39
2021년10월_남_90~99세,136,53,12,14,7,11,9,4,7,9,4,4,2
2021년10월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"71,731","23,615","1,027","1,550","2,419","1,373","1,395",878,767,"27,118","5,563","5,250",776
2021년10월_여_연령구간인구수,"71,731","23,615","1,027","1,550","2,419","1,373","1,395",878,767,"27,118","5,563","5,250",776
2021년10월_여_0~9세,"6,232","2,089",18,35,123,31,39,20,30,"3,003",416,399,29
2021년10월_여_10~19세,"7,547","2,405",50,69,133,39,37,42,36,"3,531",547,604,54
2021년10월_여_20~29세,"8,088","2,657",67,101,251,67,73,38,55,"3,427",628,665,59
2021년10월_여_30~39세,"8,304","2,772",62,74,217,71,59,43,64,"3,845",538,525,34
2021년10월_여_40~49세,"11,102","3,669",82,129,267,83,86,53,60,"5,071",821,719,62
2021년10월_여_50~59세,"13,346","4,002",179,263,530,214,184,141,87,"5,087","1,226","1,280",153
2021년10월_여_60~69세,"8,604","3,011",200,293,380,280,316,200,140,"1,978",847,807,152
2021년10월_여_70~79세,"4,530","1,636",174,278,266,281,300,176,136,696,313,156,118
2021년10월_여_80~89세,"3,261","1,129",156,253,209,248,232,139,123,406,190,79,97
2021년10월_여_90~99세,696,241,39,53,43,57,66,22,34,71,36,16,18
2021년10월_여_100세 이상,21,4,0,2,0,2,3,4,2,3,1,0,0
