카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년06월_계_총인구수,"406,827","11,262","6,729","16,041","4,780","32,537","26,990","11,580","16,464","7,333","26,772","43,864","21,072","31,895","78,368","23,366","2,169","1,940","4,054","2,286","2,082","35,243"
2020년06월_계_연령구간인구수,"406,827","11,262","6,729","16,041","4,780","32,537","26,990","11,580","16,464","7,333","26,772","43,864","21,072","31,895","78,368","23,366","2,169","1,940","4,054","2,286","2,082","35,243"
2020년06월_계_0~9세,"41,687",751,361,"1,550",360,"4,031","2,180",773,"1,260",688,"1,979","4,005","2,229","3,227","10,808","3,224",63,52,140,59,43,"3,904"
2020년06월_계_10~19세,"53,366","1,219",406,"1,772",433,"3,627","2,176","1,229","2,145",788,"3,582","5,827","3,163","4,088","13,604","3,143",122,82,148,121,89,"5,602"
2020년06월_계_20~29세,"58,070","1,746",968,"2,240",610,"3,949","4,116","1,971","2,473",923,"4,976","7,870","2,951","4,816","9,319","2,824",186,181,425,170,148,"5,208"
2020년06월_계_30~39세,"55,905","1,244",948,"2,335",592,"5,579","4,144","1,327","1,838",937,"3,122","5,925","2,659","4,242","11,044","3,744",120,146,450,159,136,"5,214"
2020년06월_계_40~49세,"77,442","1,962",893,"2,790",733,"5,966","4,079","1,784","3,012","1,408","4,450","8,278","4,384","5,976","18,061","4,732",183,184,508,207,242,"7,610"
2020년06월_계_50~59세,"62,891","1,824","1,095","2,450",793,"4,434","4,793","2,308","3,031","1,329","5,326","7,493","3,184","5,444","9,467","3,130",387,331,663,405,334,"4,670"
2020년06월_계_60~69세,"31,836","1,290",934,"1,449",626,"2,889","3,076","1,342","1,646",648,"2,083","2,606","1,414","2,228","3,717","1,700",449,397,779,463,352,"1,748"
2020년06월_계_70~79세,"16,857",865,769,"1,007",449,"1,391","1,518",551,730,382,796,"1,182",777,"1,264","1,657",573,362,366,577,363,395,883
2020년06월_계_80~89세,"7,604",312,310,386,148,575,777,261,289,210,390,587,273,539,598,259,256,178,299,297,307,353
2020년06월_계_90~99세,"1,105",46,39,57,31,90,129,34,37,20,68,87,34,67,89,33,39,20,63,39,34,49
2020년06월_계_100세 이상,64,3,6,5,5,6,2,0,3,0,0,4,4,4,4,4,2,3,2,3,2,2
2020년06월_남_총인구수,"204,865","5,684","3,395","8,065","2,419","16,621","13,722","5,893","8,355","3,851","13,277","22,081","10,760","15,672","38,707","11,883","1,113",990,"2,235","1,165","1,031","17,946"
2020년06월_남_연령구간인구수,"204,865","5,684","3,395","8,065","2,419","16,621","13,722","5,893","8,355","3,851","13,277","22,081","10,760","15,672","38,707","11,883","1,113",990,"2,235","1,165","1,031","17,946"
2020년06월_남_0~9세,"21,434",379,196,815,190,"2,083","1,124",397,661,337,"1,008","2,081","1,166","1,642","5,571","1,635",29,29,69,25,18,"1,979"
2020년06월_남_10~19세,"27,459",640,205,948,231,"1,834","1,121",652,"1,114",417,"1,811","2,996","1,616","2,132","6,836","1,653",67,42,73,68,51,"2,952"
2020년06월_남_20~29세,"30,746",959,518,"1,194",327,"2,154","2,164","1,064","1,321",518,"2,625","4,195","1,602","2,454","4,800","1,462",106,108,254,105,77,"2,739"
2020년06월_남_30~39세,"28,294",663,547,"1,195",318,"2,887","2,311",725,930,491,"1,579","3,050","1,305","2,104","5,076","1,828",72,91,298,100,78,"2,646"
2020년06월_남_40~49세,"38,647","1,010",491,"1,429",387,"3,231","2,109",885,"1,490",767,"2,005","3,869","2,221","2,892","8,819","2,501",111,112,341,124,155,"3,698"
2020년06월_남_50~59세,"32,765",966,553,"1,242",413,"2,211","2,441","1,150","1,565",752,"2,609","3,881","1,751","2,754","5,030","1,575",233,198,420,255,192,"2,574"
2020년06월_남_60~69세,"15,867",596,422,672,288,"1,423","1,623",682,829,344,"1,132","1,356",683,"1,036","1,731",894,249,193,417,248,195,854
2020년06월_남_70~79세,"7,219",351,347,435,209,618,627,253,341,166,354,472,331,476,674,260,164,168,262,157,160,394
2020년06월_남_80~89세,"2,225",110,107,124,50,165,188,78,93,54,143,163,76,166,157,68,77,45,87,77,95,102
2020년06월_남_90~99세,204,10,9,11,6,14,14,7,11,5,11,17,8,16,13,7,5,3,14,5,10,8
2020년06월_남_100세 이상,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2020년06월_여_총인구수,"201,962","5,578","3,334","7,976","2,361","15,916","13,268","5,687","8,109","3,482","13,495","21,783","10,312","16,223","39,661","11,483","1,056",950,"1,819","1,121","1,051","17,297"
2020년06월_여_연령구간인구수,"201,962","5,578","3,334","7,976","2,361","15,916","13,268","5,687","8,109","3,482","13,495","21,783","10,312","16,223","39,661","11,483","1,056",950,"1,819","1,121","1,051","17,297"
2020년06월_여_0~9세,"20,253",372,165,735,170,"1,948","1,056",376,599,351,971,"1,924","1,063","1,585","5,237","1,589",34,23,71,34,25,"1,925"
2020년06월_여_10~19세,"25,907",579,201,824,202,"1,793","1,055",577,"1,031",371,"1,771","2,831","1,547","1,956","6,768","1,490",55,40,75,53,38,"2,650"
2020년06월_여_20~29세,"27,324",787,450,"1,046",283,"1,795","1,952",907,"1,152",405,"2,351","3,675","1,349","2,362","4,519","1,362",80,73,171,65,71,"2,469"
2020년06월_여_30~39세,"27,611",581,401,"1,140",274,"2,692","1,833",602,908,446,"1,543","2,875","1,354","2,138","5,968","1,916",48,55,152,59,58,"2,568"
2020년06월_여_40~49세,"38,795",952,402,"1,361",346,"2,735","1,970",899,"1,522",641,"2,445","4,409","2,163","3,084","9,242","2,231",72,72,167,83,87,"3,912"
2020년06월_여_50~59세,"30,126",858,542,"1,208",380,"2,223","2,352","1,158","1,466",577,"2,717","3,612","1,433","2,690","4,437","1,555",154,133,243,150,142,"2,096"
2020년06월_여_60~69세,"15,969",694,512,777,338,"1,466","1,453",660,817,304,951,"1,250",731,"1,192","1,986",806,200,204,362,215,157,894
2020년06월_여_70~79세,"9,638",514,422,572,240,773,891,298,389,216,442,710,446,788,983,313,198,198,315,206,235,489
2020년06월_여_80~89세,"5,379",202,203,262,98,410,589,183,196,156,247,424,197,373,441,191,179,133,212,220,212,251
2020년06월_여_90~99세,901,36,30,46,25,76,115,27,26,15,57,70,26,51,76,26,34,17,49,34,24,41
2020년06월_여_100세 이상,59,3,6,5,5,5,2,0,3,0,0,3,3,4,4,4,2,2,2,2,2,2
