카테고리,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2021년09월_계_총인구수,"175,799","13,879","12,183","14,787","27,500","11,004","25,934","18,748","9,503","13,709","28,552"
2021년09월_계_연령구간인구수,"175,799","13,879","12,183","14,787","27,500","11,004","25,934","18,748","9,503","13,709","28,552"
2021년09월_계_0~9세,"10,027",707,845,576,"1,627",641,"1,180","1,047",259,925,"2,220"
2021년09월_계_10~19세,"11,507","1,158","1,166",664,"1,919",766,"1,528","1,233",394,911,"1,768"
2021년09월_계_20~29세,"23,996","1,800","1,303","1,749","2,968","1,189","5,154","2,888","1,934","1,712","3,299"
2021년09월_계_30~39세,"23,603","1,596","1,212","1,718","3,275","1,331","4,141","2,779","1,420","2,034","4,097"
2021년09월_계_40~49세,"25,115","1,995","1,921","1,887","3,786","1,618","3,506","2,817","1,162","2,111","4,312"
2021년09월_계_50~59세,"27,164","2,443","2,175","2,254","4,203","1,824","3,525","2,750","1,293","2,081","4,616"
2021년09월_계_60~69세,"29,113","2,161","1,956","2,991","5,213","1,979","3,702","2,677","1,607","2,083","4,744"
2021년09월_계_70~79세,"17,219","1,274","1,103","1,979","3,024","1,180","2,202","1,763","1,012","1,218","2,464"
2021년09월_계_80~89세,"7,114",637,424,865,"1,312",427,866,712,385,582,904
2021년09월_계_90~99세,907,105,71,99,172,48,124,74,36,51,127
2021년09월_계_100세 이상,34,3,7,5,1,1,6,8,1,1,1
2021년09월_남_총인구수,"83,017","6,383","5,682","7,084","13,154","5,440","12,074","8,711","4,511","6,207","13,771"
2021년09월_남_연령구간인구수,"83,017","6,383","5,682","7,084","13,154","5,440","12,074","8,711","4,511","6,207","13,771"
2021년09월_남_0~9세,"5,151",337,430,298,853,340,620,523,129,487,"1,134"
2021년09월_남_10~19세,"5,915",587,599,349,982,412,819,620,200,448,899
2021년09월_남_20~29세,"11,588",869,665,878,"1,554",664,"2,236","1,332",853,784,"1,753"
2021년09월_남_30~39세,"11,766",785,576,891,"1,627",716,"2,063","1,371",743,973,"2,021"
2021년09월_남_40~49세,"12,396",924,862,"1,018","1,895",839,"1,731","1,372",595,953,"2,207"
2021년09월_남_50~59세,"12,605","1,133",962,"1,073","1,940",882,"1,611","1,279",653,935,"2,137"
2021년09월_남_60~69세,"12,909",947,894,"1,316","2,318",892,"1,625","1,171",749,865,"2,132"
2021년09월_남_70~79세,"7,712",529,514,898,"1,416",513,"1,005",740,432,536,"1,129"
2021년09월_남_80~89세,"2,728",238,168,337,512,177,325,279,148,213,331
2021년09월_남_90~99세,240,33,11,26,57,5,37,21,9,13,28
2021년09월_남_100세 이상,7,1,1,0,0,0,2,3,0,0,0
2021년09월_여_총인구수,"92,782","7,496","6,501","7,703","14,346","5,564","13,860","10,037","4,992","7,502","14,781"
2021년09월_여_연령구간인구수,"92,782","7,496","6,501","7,703","14,346","5,564","13,860","10,037","4,992","7,502","14,781"
2021년09월_여_0~9세,"4,876",370,415,278,774,301,560,524,130,438,"1,086"
2021년09월_여_10~19세,"5,592",571,567,315,937,354,709,613,194,463,869
2021년09월_여_20~29세,"12,408",931,638,871,"1,414",525,"2,918","1,556","1,081",928,"1,546"
2021년09월_여_30~39세,"11,837",811,636,827,"1,648",615,"2,078","1,408",677,"1,061","2,076"
2021년09월_여_40~49세,"12,719","1,071","1,059",869,"1,891",779,"1,775","1,445",567,"1,158","2,105"
2021년09월_여_50~59세,"14,559","1,310","1,213","1,181","2,263",942,"1,914","1,471",640,"1,146","2,479"
2021년09월_여_60~69세,"16,204","1,214","1,062","1,675","2,895","1,087","2,077","1,506",858,"1,218","2,612"
2021년09월_여_70~79세,"9,507",745,589,"1,081","1,608",667,"1,197","1,023",580,682,"1,335"
2021년09월_여_80~89세,"4,386",399,256,528,800,250,541,433,237,369,573
2021년09월_여_90~99세,667,72,60,73,115,43,87,53,27,38,99
2021년09월_여_100세 이상,27,2,6,5,1,1,4,5,1,1,1
