카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020년07월_계_총인구수,"257,609","48,726","4,610","14,013","51,152","38,658","29,849","25,354","23,483","8,031","3,717","10,016"
2020년07월_계_연령구간인구수,"257,609","48,726","4,610","14,013","51,152","38,658","29,849","25,354","23,483","8,031","3,717","10,016"
2020년07월_계_0~9세,"29,852","3,469",266,901,"6,172","6,431","5,473","2,718","2,562",420,119,"1,321"
2020년07월_계_10~19세,"23,628","4,699",177,"1,532","5,881","3,377","3,315","1,725","1,713",511,125,573
2020년07월_계_20~29세,"29,094","6,464",467,"1,934","5,816","4,012","2,495","2,753","3,180",704,295,974
2020년07월_계_30~39세,"42,210","5,401",564,"1,438","7,635","8,761","6,547","4,164","4,630",680,281,"2,109"
2020년07월_계_40~49세,"42,833","7,346",565,"2,686","9,488","6,883","5,816","3,589","3,627",988,342,"1,503"
2020년07월_계_50~59세,"40,664","9,865",933,"3,009","7,950","4,936","2,907","4,373","3,231","1,370",837,"1,253"
2020년07월_계_60~69세,"28,700","6,807",868,"1,485","4,990","2,823","2,078","3,568","2,518","1,631",836,"1,096"
2020년07월_계_70~79세,"13,734","3,221",484,654,"2,281","1,058",806,"1,689","1,333","1,010",508,690
2020년07월_계_80~89세,"6,119","1,280",253,332,834,336,361,703,614,614,342,450
2020년07월_계_90~99세,748,164,32,39,105,39,49,72,72,99,31,46
2020년07월_계_100세 이상,27,10,1,3,0,2,2,0,3,4,1,1
2020년07월_남_총인구수,"130,821","24,310","2,514","7,381","25,347","19,777","15,079","12,818","12,239","4,002","2,009","5,345"
2020년07월_남_연령구간인구수,"130,821","24,310","2,514","7,381","25,347","19,777","15,079","12,818","12,239","4,002","2,009","5,345"
2020년07월_남_0~9세,"15,196","1,796",138,446,"3,091","3,277","2,813","1,408","1,291",210,58,668
2020년07월_남_10~19세,"12,388","2,438",89,802,"3,092","1,790","1,720",919,902,276,64,296
2020년07월_남_20~29세,"15,975","3,554",277,"1,160","3,092","2,114","1,319","1,496","1,805",407,183,568
2020년07월_남_30~39세,"21,983","2,836",341,766,"3,767","4,493","3,234","2,186","2,633",341,166,"1,220"
2020년07월_남_40~49세,"22,337","3,539",354,"1,434","4,720","3,693","3,050","1,895","1,991",525,222,914
2020년07월_남_50~59세,"20,276","4,774",518,"1,638","3,800","2,418","1,439","2,139","1,634",732,484,700
2020년07월_남_60~69세,"14,253","3,405",491,776,"2,368","1,401","1,005","1,755","1,231",794,489,538
2020년07월_남_70~79세,"6,248","1,444",215,257,"1,090",493,380,784,553,490,239,303
2020년07월_남_80~89세,"2,004",476,85,98,305,94,103,222,185,204,100,132
2020년07월_남_90~99세,153,43,6,4,22,4,15,14,13,22,4,6
2020년07월_남_100세 이상,8,5,0,0,0,0,1,0,1,1,0,0
2020년07월_여_총인구수,"126,788","24,416","2,096","6,632","25,805","18,881","14,770","12,536","11,244","4,029","1,708","4,671"
2020년07월_여_연령구간인구수,"126,788","24,416","2,096","6,632","25,805","18,881","14,770","12,536","11,244","4,029","1,708","4,671"
2020년07월_여_0~9세,"14,656","1,673",128,455,"3,081","3,154","2,660","1,310","1,271",210,61,653
2020년07월_여_10~19세,"11,240","2,261",88,730,"2,789","1,587","1,595",806,811,235,61,277
2020년07월_여_20~29세,"13,119","2,910",190,774,"2,724","1,898","1,176","1,257","1,375",297,112,406
2020년07월_여_30~39세,"20,227","2,565",223,672,"3,868","4,268","3,313","1,978","1,997",339,115,889
2020년07월_여_40~49세,"20,496","3,807",211,"1,252","4,768","3,190","2,766","1,694","1,636",463,120,589
2020년07월_여_50~59세,"20,388","5,091",415,"1,371","4,150","2,518","1,468","2,234","1,597",638,353,553
2020년07월_여_60~69세,"14,447","3,402",377,709,"2,622","1,422","1,073","1,813","1,287",837,347,558
2020년07월_여_70~79세,"7,486","1,777",269,397,"1,191",565,426,905,780,520,269,387
2020년07월_여_80~89세,"4,115",804,168,234,529,242,258,481,429,410,242,318
2020년07월_여_90~99세,595,121,26,35,83,35,34,58,59,77,27,40
2020년07월_여_100세 이상,19,5,1,3,0,2,1,0,2,3,1,1
