,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2021년05월_계_총인구수,"210,579","5,842","28,192","10,801","8,786","13,000","22,281","13,533","15,413","23,318","13,228","28,600","27,585"
2021년05월_계_연령구간인구수,"210,579","5,842","28,192","10,801","8,786","13,000","22,281","13,533","15,413","23,318","13,228","28,600","27,585"
2021년05월_계_0~9세,"11,826",229,"1,539",262,495,684,"1,038",498,952,"1,402",716,"1,815","2,196"
2021년05월_계_10~19세,"14,775",289,"1,984",438,640,919,"1,042",669,"1,085","1,850","1,063","2,220","2,576"
2021년05월_계_20~29세,"28,571",636,"3,597",840,"1,033","1,683","4,272","1,628","2,096","4,044","1,772","3,391","3,579"
2021년05월_계_30~39세,"24,697",574,"3,255",752,978,"1,463","3,272","1,573","1,783","3,017","1,475","3,304","3,251"
2021년05월_계_40~49세,"28,920",677,"3,740","1,260","1,198","1,690","2,691","1,733","2,001","3,423","1,780","4,298","4,429"
2021년05월_계_50~59세,"40,002","1,245","5,426","2,128","1,752","2,579","4,156","2,775","3,071","3,830","2,417","5,295","5,328"
2021년05월_계_60~69세,"37,680","1,263","5,364","2,561","1,561","2,527","3,749","2,791","2,829","3,410","2,396","5,190","4,039"
2021년05월_계_70~79세,"17,315",672,"2,374","1,713",816,"1,076","1,556","1,365","1,155","1,655","1,100","2,238","1,595"
2021년05월_계_80~89세,"6,089",232,805,771,288,332,451,441,392,616,463,773,525
2021년05월_계_90~99세,660,21,91,72,25,45,50,57,48,67,46,73,65
2021년05월_계_100세 이상,44,4,17,4,0,2,4,3,1,4,0,3,2
2021년05월_남_총인구수,"106,324","3,128","14,105","5,167","4,503","6,564","11,572","7,170","7,892","11,665","6,470","14,305","13,783"
2021년05월_남_연령구간인구수,"106,324","3,128","14,105","5,167","4,503","6,564","11,572","7,170","7,892","11,665","6,470","14,305","13,783"
2021년05월_남_0~9세,"6,031",129,765,133,259,346,531,256,497,690,367,935,"1,123"
2021년05월_남_10~19세,"7,686",157,"1,034",226,335,480,556,355,569,943,545,"1,175","1,311"
2021년05월_남_20~29세,"15,269",369,"1,940",494,606,905,"2,080",885,"1,143","2,066",928,"1,882","1,971"
2021년05월_남_30~39세,"13,304",316,"1,766",415,536,766,"1,813",914,964,"1,630",797,"1,734","1,653"
2021년05월_남_40~49세,"15,246",389,"1,927",762,629,908,"1,507","1,012","1,024","1,794",909,"2,211","2,174"
2021년05월_남_50~59세,"19,930",707,"2,636","1,118",918,"1,230","2,191","1,498","1,499","1,834","1,099","2,571","2,629"
2021년05월_남_60~69세,"18,671",672,"2,596","1,176",756,"1,269","1,947","1,435","1,458","1,693","1,148","2,532","1,989"
2021년05월_남_70~79세,"8,030",305,"1,138",626,362,538,765,635,584,793,504,"1,008",772
2021년05월_남_80~89세,"2,042",81,284,205,98,116,177,171,149,209,163,236,153
2021년05월_남_90~99세,111,3,19,12,4,5,4,8,5,12,10,21,8
2021년05월_남_100세 이상,4,0,0,0,0,1,1,1,0,1,0,0,0
2021년05월_여_총인구수,"104,255","2,714","14,087","5,634","4,283","6,436","10,709","6,363","7,521","11,653","6,758","14,295","13,802"
2021년05월_여_연령구간인구수,"104,255","2,714","14,087","5,634","4,283","6,436","10,709","6,363","7,521","11,653","6,758","14,295","13,802"
2021년05월_여_0~9세,"5,795",100,774,129,236,338,507,242,455,712,349,880,"1,073"
2021년05월_여_10~19세,"7,089",132,950,212,305,439,486,314,516,907,518,"1,045","1,265"
2021년05월_여_20~29세,"13,302",267,"1,657",346,427,778,"2,192",743,953,"1,978",844,"1,509","1,608"
2021년05월_여_30~39세,"11,393",258,"1,489",337,442,697,"1,459",659,819,"1,387",678,"1,570","1,598"
2021년05월_여_40~49세,"13,674",288,"1,813",498,569,782,"1,184",721,977,"1,629",871,"2,087","2,255"
2021년05월_여_50~59세,"20,072",538,"2,790","1,010",834,"1,349","1,965","1,277","1,572","1,996","1,318","2,724","2,699"
2021년05월_여_60~69세,"19,009",591,"2,768","1,385",805,"1,258","1,802","1,356","1,371","1,717","1,248","2,658","2,050"
2021년05월_여_70~79세,"9,285",367,"1,236","1,087",454,538,791,730,571,862,596,"1,230",823
2021년05월_여_80~89세,"4,047",151,521,566,190,216,274,270,243,407,300,537,372
2021년05월_여_90~99세,549,18,72,60,21,40,46,49,43,55,36,52,57
2021년05월_여_100세 이상,40,4,17,4,0,1,3,2,1,3,0,3,2
