,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년01월_계_총인구수,"9,657,969","149,125","125,038","230,045","293,103","346,067","342,034","394,532","437,684","307,487","324,281","521,852","479,223","311,720","371,492","453,382","579,176","403,518","231,634","380,169","390,433","494,175","424,707","538,536","667,222","461,334"
2021년01월_계_연령구간인구수,"9,657,969","149,125","125,038","230,045","293,103","346,067","342,034","394,532","437,684","307,487","324,281","521,852","479,223","311,720","371,492","453,382","579,176","403,518","231,634","380,169","390,433","494,175","424,707","538,536","667,222","461,334"
2021년01월_계_0~9세,"618,497","7,449","6,740","13,411","20,297","19,328","20,553","22,888","28,855","15,539","18,500","32,855","29,387","20,039","24,694","31,243","39,043","27,854","12,413","25,798","24,348","22,109","33,544","36,450","50,373","34,787"
2021년01월_계_10~19세,"778,910","10,937","6,766","15,563","19,679","25,774","23,514","26,617","37,128","21,915","25,493","52,892","38,521","23,502","28,282","50,644","44,573","29,970","14,577","24,245","27,675","28,399","45,303","59,070","58,871","39,000"
2021년01월_계_20~29세,"1,455,044","23,331","18,494","33,405","44,823","62,730","56,085","56,045","66,679","42,757","43,170","72,828","66,911","50,031","61,680","59,540","86,649","55,259","37,102","59,096","66,129","108,625","54,856","73,534","93,905","61,380"
2021년01월_계_30~39세,"1,471,606","19,917","20,034","38,098","48,730","55,902","49,944","57,979","59,977","38,518","40,721","64,457","68,232","45,057","64,383","57,632","98,706","62,904","35,474","69,418","61,997","86,722","63,085","81,385","110,044","72,290"
2021년01월_계_40~49세,"1,524,671","22,132","17,960","35,612","44,943","52,331","50,441","57,740","69,867","46,530","48,275","85,841","76,435","47,321","60,825","78,574","90,719","62,999","32,844","56,449","58,688","68,220","77,198","99,180","109,224","74,323"
2021년01월_계_50~59세,"1,522,983","25,410","20,697","37,106","47,248","54,458","53,221","69,436","69,541","52,613","56,837","87,727","77,199","49,362","54,289","76,471","86,029","63,156","40,225","57,040","58,279","68,024","63,365","80,512","102,505","72,233"
2021년01월_계_60~69세,"1,250,098","20,069","17,648","28,959","36,697","42,685","46,567","58,588","55,189","46,062","49,968","68,252","64,721","38,789","39,802","57,877","76,746","56,252","33,317","47,343","49,321","59,467","47,848","59,621","84,533","63,777"
2021년01월_계_70~79세,"706,115","12,485","10,730","17,249","20,627","22,415","28,187","31,551","33,660","30,175","27,809","37,607","39,219","24,317","24,313","28,727","39,036","31,864","18,097","27,449","29,899","37,251","27,586","34,309","40,707","30,846"
2021년01월_계_80~89세,"280,163","6,016","4,865","8,637","8,617","8,932","11,603","11,850","14,301","11,608","11,652","16,563","16,040","11,338","11,194","10,767","14,900","11,545","6,520","11,448","11,966","13,254","9,853","11,910","14,213","10,571"
2021년01월_계_90~99세,"43,029","1,103",898,"1,631","1,189","1,296","1,603","1,635","2,094","1,517","1,679","2,541","2,132","1,660","1,683","1,715","2,532","1,534",885,"1,592","1,816","1,780","1,833","2,264","2,547","1,870"
2021년01월_계_100세 이상,"6,853",276,206,374,253,216,316,203,393,253,177,289,426,304,347,192,243,181,180,291,315,324,236,301,300,257
2021년01월_남_총인구수,"4,695,999","72,528","61,122","110,700","143,151","166,964","169,337","194,990","211,123","149,822","158,103","251,763","229,827","149,211","174,958","222,417","279,458","199,243","117,141","187,960","188,743","247,853","203,097","257,647","321,948","226,893"
2021년01월_남_연령구간인구수,"4,695,999","72,528","61,122","110,700","143,151","166,964","169,337","194,990","211,123","149,822","158,103","251,763","229,827","149,211","174,958","222,417","279,458","199,243","117,141","187,960","188,743","247,853","203,097","257,647","321,948","226,893"
